% Model:              3channel3D.mph
% Version:            COMSOL 5.3.0.316
% Date:               Mar 1 2023, 16:37
% Dimension:          3
% Nodes:              2069
% Expressions:        4
% Description:        Velocity field, x component, Velocity field, y component, Velocity field, z component, Pressure
% Length unit:        m
% X                       Y                        Z                        u (m/s) @ t=10           v (m/s) @ t=10           w (m/s) @ t=10           p (Pa) @ t=10
0                         0                        0                        7.865712897438519E-21    1.1469033493161877E-20   1.8597518755348652E-20   16.835622827970287
0.125                     0                        0                        2.567312669274139E-19    -1.0685029612930573E-19  -1.5856752008790003E-21  16.835466046294403
0                         0.0792088                0.0827545                0                        0                        0                        16.83610695909101
0.0830939                 0                        0.0770737                0                        0                        0                        16.83561980930901
0                         0                        0.125                    0                        0                        0                        16.83586222106569
0.0519358                 0.0592503                0.114121                 4.9256743276582634E-5    7.182149231345219E-5     1.1646156157211805E-4    16.835923982223168
0.187584                  0                        0.0890807                0                        0                        0                        16.835533496779526
0.0778045                 0.0830956                0                        0                        0                        0                        16.83553612324575
0.114436                  0.0592503                0.0516215                -4.7317389243504727E-4   1.9693197273911822E-4    2.923262711176076E-6     16.835540649467493
0                         0.125                    0                        4.4321431800431955E-19   -3.58037065577206E-19    -1.8728131101885826E-19  16.83602638406126
0.187248                  0.112192                 0                        0                        0                        0                        16.835680111733865
0.0894878                 0.186615                 0                        0                        0                        0                        16.835569755007864
0                         0.25                     0                        0                        0                        0                        16.835904260412686
0.25                      0                        0                        0                        0                        0                        16.835552645444817
0.375                     0                        0                        0                        0                        0                        16.835767345338027
0                         0                        0.625                    0                        0                        0                        16.835027325435206
0                         0.0998487                0.434882                 0                        0                        0                        16.835499349509412
0                         0.0957336                0.552254                 0                        0                        0                        16.835229880390127
0                         0                        0.375                    0                        0                        0                        16.835071924928016
0                         0                        0.5                      0                        0                        0                        16.834876609083988
0.111068                  0                        0.5625                   0                        0                        0                        16.833940823297283
0                         0.187493                 0.107984                 0                        0                        0                        16.837030375659864
0                         0.0880129                0.191921                 0                        0                        0                        16.836430590171823
0                         0.187637                 0.257433                 0                        0                        0                        16.83711149506199
0.103872                  0.118501                 0.103243                 -0.001701830625118972    0.0013747632770831904    7.191090979837707E-4     16.83568181368652
0                         0.0982994                0.313751                 0                        0                        0                        16.83630517695626
0                         0                        0.25                     0                        0                        0                        16.836122622102195
0.20194                   0.0738494                0.1422                   -0.00636452247558629     0.0011003777666198271    0.0017391236504941713    16.835561494147456
0.112969                  0                        0.187108                 0                        0                        0                        16.835070864340704
0.110558                  0.0838341                0.206742                 -0.0029648577471721215   0.0017971238870007247    0.002403774516449806     16.835471863307642
0.10658                   0                        0.320041                 0                        0                        0                        16.834504089619784
0.200631                  0                        0.283544                 0                        0                        0                        16.834472368639823
0.0750699                 0.142799                 0.311822                 -0.002274741624904085    0.005084108111232806     0.0046807282461757025    16.835223594543216
0.313455                  0                        0.102724                 0                        0                        0                        16.83555876870406
0.24817                   0                        0.195697                 0                        0                        0                        16.834844260611426
0.320071                  0.10219                  0                        0                        0                        0                        16.835157513380725
0.268184                  0.124944                 0.0976594                -0.010010087369919818    0.002239300096371948     0.0014818500702743834    16.83613961100312
0.625                     0                        0                        -8.806331897539461E-17   1.2689298838572399E-17   1.036747610933163E-17    16.84311644689201
0.75                      0.45                     0                        0                        0                        0                        15.87212975697648
0.76571                   0.48325                  0                        -0.23633185812636015     0.21040767409202266      -1.554352602622335       11.567087820453139
0.785355                  0.464645                 0                        -4.163735700234905E-6    3.7070376323412268E-6    -2.738443930130018E-5    15.838096182286817
0.289089                  0.197105                 0                        0                        0                        0                        16.8353160540935
0.155949                  0.174596                 0.0647061                -0.0036625776210834583   0.002311682051762084     5.951077937796263E-4     16.83547609463877
