% Model:              3channel3D.mph
% Version:            COMSOL 5.3.0.316
% Date:               Mar 1 2023, 16:57
% Dimension:          3
% Nodes:              11626
% Expressions:        4
% Description:        Velocity field, x component, Velocity field, y component, Velocity field, z component, Pressure
% Length unit:        m
% X                       Y                        Z                        u (m/s) @ t=10           v (m/s) @ t=10           w (m/s) @ t=10           p (Pa) @ t=10
0                         0                        0                        -3.0891355207736924E-21  5.604623868599935E-22    3.1034333110946094E-21   13.218365824543042
0                         0                        0.0666667                0                        0                        0                        13.21839697334608
0                         0.0421135                0.0464958                0                        0                        0                        13.218407580825582
0                         0.0666667                0                        0                        0                        0                        13.21840334789134
0.0422258                 0.0464949                0                        0                        0                        0                        13.218341967826653
0.0464949                 0                        0.0422238                0                        0                        0                        13.218339738220811
0.0666667                 0                        0                        0                        0                        0                        13.218298611244832
0.0436069                 0.028533                 0.0577189                -2.782482600279978E-5    5.048320047987988E-6     2.7953445738881414E-5    13.21835639235114
0.0429864                 0.0426915                0.0936808                -9.677567222085984E-5    1.6331642320933726E-5    1.1654273982574599E-4    13.218361509517452
0                         0                        0.133333                 0                        0                        0                        13.218432865983768
0.101135                  0                        0.0474889                0                        0                        0                        13.21827699328327
0.0606883                 0                        0.101261                 0                        0                        0                        13.218306718521873
0.0486514                 0.073464                 0.0555701                -1.1281102947457302E-4   9.123375288722306E-5     6.013531091920504E-5     13.2183673754746
0.133333                  0                        0                        0                        0                        0                        13.218143892856261
0.101263                  0.0606837                0                        0                        0                        0                        13.218307368659898
0                         0.0474502                0.100006                 0                        0                        0                        13.218471091121106
0                         0.0998891                0.0603534                0                        0                        0                        13.218500447200787
0.0474925                 0.101134                 0                        0                        0                        0                        13.218317574356119
0                         0.133333                 0                        0                        0                        0                        13.218443958473834
0                         0.2                      0                        0                        0                        0                        13.218503119615221
0                         0.170554                 0.0563664                0                        0                        0                        13.21859035729485
0.088272                  0.0483819                0.0418831                -1.5941247106469116E-4   3.995712405236788E-5     4.168657473598906E-5     13.218354120796404
0.0846508                 0.131471                 0.0368385                -3.842249733313722E-4    3.6332547583836335E-4    5.335790467421197E-5     13.218368254374377
0.0928289                 0.0417995                0.0973499                -4.2173973975228403E-4   9.152562118112294E-5     2.304692194057431E-4     13.218340314563338
0.0621894                 0.127864                 0.0736771                -3.4640104345212995E-4   4.936448414560841E-4     1.6635827618725722E-4    13.218427656766105
