% Model:              doublePipe.mph
% Version:            COMSOL 5.3.0.316
% Date:               Feb 28 2023, 17:37
% Dimension:          2
% Nodes:              256
% Expressions:        3
% Description:        Velocity field, x component, Velocity field, y component, Pressure
% Length unit:        m
% X                       Y                        u (m/s)                  v (m/s)                  p (Pa)
-0.333333                 0.166667                 3.977713087286154E-6     -5.545761765281335E-8    3.721346583795943
-0.333333                 0.25                     0.9999998570155368       -4.325635536765525E-9    3.6985448674369716
-0.277778                 0.208333                 0.49628154421661974      -0.00924286233205496     3.7333022241709477
-0.222222                 0.166667                 3.871661182855628E-6     -2.6309178391490252E-8   3.7278886772844397
0                         0                        0                        0                        2.9863155033328495
-0.277778                 0.291667                 0.49564766372758345      0.008072938305399041     3.7433216123561355
-0.333333                 0.333333                 3.973909773550765E-6     4.8438017336133295E-8    3.7309812019273276
-0.222222                 0.25                     0.9523384848108983       -0.0014418805511610196   3.7655488668940014
-0.166667                 0.208333                 0.491742105529532        -0.0058563084905150185   3.6096612372148082
-0.111111                 0.166667                 3.7980881798395195E-6    -4.192163374781581E-8    3.493380777922414
0                         0.0833333                0                        0                        2.9998839374217128
0.0625                    0.0421721                -0.0016595621661772261   0.0036580102805352913    2.9833048444136963
0.125                     0                        0                        0                        2.9779936439187464
-0.222222                 0.333333                 3.845756074056696E-6     6.408120684177491E-9     3.742880355245683
-0.166667                 0.291667                 0.4852658802388621       0.0023229508435319104    3.6486136021171434
-0.111111                 0.25                     0.938590009757716        -0.002461358402007414    3.5398865248142926
-0.0555556                0.208333                 0.491155108797656        -0.017268687991063385    3.2882485394933263
0                         0.166667                 3.655447401874868E-6     -1.348384807835654E-7    3.0524789014426075
0.0625                    0.126633                 0.026968344671686684     0.0482799692124544       2.980954560020609
0.125                     0.0853549                -0.07776656444357571     0.03346877489300367      2.9529017632985304
0.25                      0                        0                        0                        3.133986447913874
0.1875                    0.0430798                -0.045395306905650516    0.015003758674214236     3.0302061840551207
-0.111111                 0.333333                 3.766295032802228E-6     -2.1225017919092375E-8   3.580842602814803
-0.0555556                0.291667                 0.4752586626112289       -0.006920462866341956    3.4850708500260033
0                         0.25                     0.9138618504170729       -0.03370962019398636     3.2842882846030115
0.0625                    0.211542                 0.6043527776778261       -0.11778747829022117     2.972605678167005
0.375                     0                        0                        0                        3.4074076786940735
0.3125                    0.0437294                0.015330844206481085     -0.012364545655014353    3.2643915679436106
0.125                     0.171177                 0.399528005666473        -0.08545224975870487     2.9308662149048668
0.1875                    0.129521                 0.22386522286779675      -0.06211751498639522     3.026358115556435
0.25                      0.0869642                0.06865905385593053      -0.04582892037457589     3.1106225293516965
-0.333333                 0.666667                 3.974025690312131E-6     -4.8720890825134434E-8   3.6980750967198595
0                         0.333333                 3.655447401570489E-6     -1.348384807723378E-7    3.4515800554407323
0.0625                    0.297786                 0.3728838957857779       -0.03787710644143071     3.420700744422688
0.5                       0                        0                        0                        3.609645519606269
0.4375                    0.0440609                0.14127889964451296      -0.0366495693996558      3.530291900112304
0.125                     0.258324                 0.7553390985923204       -0.09449566474484322     3.3007322861924795
0.1875                    0.216955                 0.6302328977157132       -0.1642816991603336      3.110512020128375
0.375                     0.0879533                0.2637825693688615       -0.09842825237116365     3.3732436085308923
0.25                      0.174589                 0.5647690905769446       -0.16131959972686696     3.1427222960336385
0.3125                    0.131517                 0.41342123086119903      -0.1421564312197283      3.2130617070765273
-0.333333                 0.75                     0.9999998570459929       3.9422473433583444E-9    3.6660152152578083
-0.277778                 0.708333                 0.4956669829147972       -0.008120083509584717    3.7104082182228386
-0.222222                 0.666667                 3.846967082587991E-6     -7.136208606283105E-9    3.709806124929075
0                         0.444444                 0                        0                        3.389663264845894
0.0625                    0.393743                 -0.011127104356608906    0.020653971314691263     3.4072957925465346
0.125                     0.349488                 -0.10623555993607156     -0.04682213848136765     3.391810347248018
0.1875                    0.306738                 0.22735330936336143      -0.06132544400669992     3.38857140735499
0.625                     0                        0                        0                        3.562485486370737
0.5625                    0.0440672                0.20891330107026673      -0.0077169746607805454   3.5819028333810574
0.5                       0.0882904                0.36656081705144833      -0.05330694048238093     3.537331175225954
0.4375                    0.132506                 0.4831679172016439       -0.11495890854629844     3.3573659441601027
0.25                      0.263732                 0.5513566888573906       -0.11923399449423583     3.307435455919102
0.3125                    0.220342                 0.5556288007216803       -0.16357659654166126     3.1669397329325455
0.375                     0.17656                  0.601126179586689        -0.1523628088934319      3.2480722575449907
-0.277778                 0.791667                 0.49626320555181436      0.009192150373988791     3.7011370033157935
-0.333333                 0.833333                 3.977603054660754E-6     5.515334346818423E-8     3.689176701055275
-0.222222                 0.75                     0.9523486365423938       0.0013140845613815934    3.732990038781319
-0.166667                 0.708333                 0.4855635539433318       -0.002441073846505163    3.6146001746857666
-0.111111                 0.666667                 3.767131422154054E-6     1.8910239794791478E-8    3.544810692814327
0                         0.555556                 0                        0                        3.3652343506021882
0.0625                    0.499678                 0.015233535488534527     0.02171009288477671      3.3654210277638215
0.125                     0.447707                 0.004237389282038205     0.015162121996638057     3.3712530440325246
0.1875                    0.400489                 -0.0699283454316069      -0.055778448232995576    3.3556829386215683
0.75                      0                        0                        0                        3.5327836206284093
0.6875                    0.0437446                0.18319348789961126      0.01739788127598841      3.5393916032354373
0.25                      0.355406                 -0.09980179823363311     -0.08017188886331292     3.318122244591223
0.3125                    0.310952                 0.14213346236780366      -0.06888545278907907     3.2356687263007116
0.625                     0.0879785                0.38734454192140644      0.019596350037788257     3.5030115508209883
0.5625                    0.132529                 0.486913792122869        -0.01940691687629197     3.3918243909979546
0.5                       0.177222                 0.5850408745705558       -0.06729026900786292     3.2021835458509345
0.375                     0.266489                 0.38156569219403563      -0.1019131006944557      3.1235551465074725
0.4375                    0.221914                 0.4708339862941862       -0.10136493599024839     3.0658252007620654
-0.222222                 0.833333                 3.8705844939241835E-6    2.557999797420594E-8     3.6958982737045036
-0.166667                 0.791667                 0.49146785985559316      0.0057379123666495314    3.5786669155071515
0                         1                        0                        0                        2.9749636436493407
-0.111111                 0.75                     0.9385978462994153       0.0023710540812073764    3.507578433232297
-0.0555556                0.708333                 0.47566509899612436      0.005898533911852884     3.445300503965952
0                         0.666667                 3.655647430978931E-6     1.2235329867214386E-7    3.4059193758017603
0.0625                    0.605762                 0.005371768427941765     -0.001133620398460124    3.37099369506757
1.33333                   0.166667                 3.930877284727933E-6     1.0141759518321315E-7    0.4189378081349414
0.125                     0.551004                 0.029461899994626593     0.02923515680539642      3.3599843622798424
0.1875                    0.49911                  -0.011674785172766504    0.013836784855900253     3.3640460654409963
0.875                     0                        0                        0                        3.6230170397702635
0.8125                    0.043095                 0.1012270901871839       0.0040322411109875575    3.5862459313402923
0.25                      0.449354                 -0.08874954570742095     -0.04608009269524221     3.3471664520031394
0.3125                    0.403671                 -0.12447597386767272     -0.08874746102460843     3.2421259981452883
0.75                      0.0869999                0.31518568799329316      0.060219246619298256     3.5350439373241738
0.6875                    0.131572                 0.4522051899537003       0.06615991483515561      3.432400404584345
0.375                     0.358181                 -0.07072579165127928     -0.08978469861891171     3.1018233523550744
0.4375                    0.31279                  0.12095465346165753      -0.06052549341009731     2.968323628069916
0.625                     0.176626                 0.5632218401698993       0.04116026441926109      3.1987372832420746
0.5625                    0.221968                 0.4427236276070485       -0.005618159671527419    2.984291191251409
0.5                       0.267386                 0.31199606525208234      -0.047521161076480085    2.8932681640995956
-0.111111                 0.833333                 3.7973349859057927E-6    3.962276648376274E-8     3.4643465916823373
-0.0555556                0.791667                 0.490766760670056        0.01625471441357709      3.26344736041638
0                         0.916667                 0                        0                        2.9882463227580307
0.0625                    0.957807                 -0.0018699769736614212   -0.0034762677855077256   2.971567860782336
0.125                     1                        1.92058670376712E-18     -1.4655714966108164E-18  2.9652657118212318
0                         0.75                     0.9139118576169883       0.030588324663760408     3.25011945152298
0.0625                    0.701951                 0.37650741779435143      0.03392923380278321      3.3755589604188945
0.125                     0.649823                 -0.0734039268622813      0.056319346896954656     3.356397442933234
0.1875                    0.598183                 -0.014035996038568506    0.06449289376249961      3.3402887270653863
0.9375                    0.0421784                0.014037437549938341     9.329986701946967E-4     3.641919496454582
1                         0                        0                        0                        3.6521901376464756
1.33333                   0.25                     0.9996743189443432       0.009900286568302243     0.2763547237109182
1.27778                   0.208333                 0.49135600099286875      0.012676850727006219     0.5634799938525408
1.22222                   0.166667                 3.804966625243222E-6     -3.625385748947998E-8    0.7965330287416112
0.25                      0.548374                 -0.03851122807210259     0.04651244318026382      3.3395624821108676
0.3125                    0.499161                 -0.1327877003244851      3.173229155090528E-4     3.282398043757716
0.875                     0.0853802                0.12974748392598134      0.047960524619322285     3.6096605435114553
0.8125                    0.129577                 0.36890162899344775      0.11843571215763246      3.543581714410204
0.375                     0.451741                 -0.22164708448186268     -0.047156971690514374    3.176007629031136
0.4375                    0.405314                 -0.18040088747388566     -0.0710330456141453      2.9975168922658146
0.75                      0.174684                 0.509112921528712        0.11745152901958655      3.3603218668970865
0.6875                    0.220475                 0.4581705003872489       0.0999824836483692       3.085182243867686
0.5                       0.359105                 -0.055326735795352945    -0.048143162221802455    2.8348106949105216
0.625                     0.266637                 0.32004075932293624      0.03669163699509354      2.845123109207271
0.5625                    0.312901                 0.13026070755711153      -0.010156228324482883    2.7918404808577644
0                         0.833333                 3.6556474321965014E-6    1.2235329871289555E-7    3.036099463978823
0.0625                    0.788319                 0.601489063297705        0.11319225706941832      2.954949556548584
0.0625                    0.873298                 0.025300645101557846     -0.049485349636113694    2.968505704286991
0.125                     0.914561                 -0.08065069804484716     -0.034203472398558706    2.940478521389544
