% Model:              doublePipe.mph
% Version:            COMSOL 5.3.0.316
% Date:               Mar 1 2023, 11:17
% Dimension:          2
% Nodes:              1440
% Expressions:        3
% Description:        Velocity field, x component, Velocity field, y component, Pressure
% Length unit:        m
% X                       Y                        u (m/s)                  v (m/s)                  p (Pa)
1.33333                   0.833333                 5.315592113773424E-6     -1.058840816855522E-8    0.10324569900934027
1.33333                   0.791667                 0.677436884191826        0.02006835126584952      0.055777936091969904
1.3125                    0.8125                   0.33222450695374844      -6.617755102218288E-4    0.11131962958640891
1.29167                   0.833333                 5.315592110269412E-6     -1.0588408161575394E-8   0.1700505164986196
1.33333                   0.75                     0.9859078252450212       0.01558285282971485      0.04478928349306896
1.3125                    0.770833                 0.8271987996815943       0.012390640839959366     0.0877188500765319
1.29167                   0.791667                 0.6547798016226396       0.0028753636363324396    0.15980599318683741
1.27083                   0.8125                   0.3313063765758341       9.292779673411785E-4     0.21051284722647218
1.25                      0.833333                 5.140524155974485E-6     5.807521202942603E-8     0.2714207817050509
1.33333                   0.708333                 0.836640902969667        -0.004893426432702574    0.05826318070043108
1.3125                    0.729167                 0.9141388382785528       0.011866426403817812     0.07922195018665122
1.29167                   0.75                     0.9790531296593131       0.013623875663780292     0.14793675707184797
1.27083                   0.770833                 0.8147389424229492       0.011263349096913814     0.20056877356644032
1.25                      0.791667                 0.6425603790467739       0.007259343444299996     0.26564811197164745
1.22917                   0.8125                   0.32409801645036296      0.001833383354551793     0.3096004542383504
1.20833                   0.833333                 5.084124444515186E-6     4.717256051676114E-8     0.3653926337292117
1.3125                    0.6875                   0.41846272481275515      0.0038866275307106847    0.08615231757347544
1.33333                   0.666667                 6.695403597939952E-6     6.21860405000635E-8      0.07193567404067165
1.29167                   0.708333                 0.8367368768272728       0.01143358503718441      0.1528323916860957
1.27083                   0.729167                 0.9138174495908196       0.015089550259875089     0.18900158567348888
1.25                      0.75                     0.9733744156231897       0.015331243802936705     0.2619551803480945
1.22917                   0.770833                 0.806576946795222        0.012570589618039018     0.3056455703013879
1.20833                   0.791667                 0.6300723646556493       0.007246608871026637     0.3611880155931055
1.1875                    0.8125                   0.3177577778436165       0.002948285032867427     0.3941144667995654
1.16667                   0.833333                 5.084124444515186E-6     4.717256051676114E-8     0.4303291068002572
1                         1                        0                        0                        3.561532086130117
1.29167                   0.666667                 6.695403597939952E-6     6.21860405000635E-8      0.14063339441711542
1.27083                   0.6875                   0.42997519028004566      0.0026886638928340424    0.18861159739757444
1.25                      0.708333                 0.8509983573042259       0.009055761877963428     0.2677682880197648
1.22917                   0.729167                 0.9197356720186809       0.015320852961209445     0.3088053057829669
1.20833                   0.75                     0.9694792850904396       0.014882906717504956     0.3719974806713664
1.1875                    0.770833                 0.7991181089446333       0.011127200145371122     0.39424913376168486
1.16667                   0.791667                 0.6213507307452228       0.007227799456735589     0.4323916752275937
1.14583                   0.8125                   0.31319062763217026      0.006921485589390524     0.4232466556243812
1.125                     0.833333                 5.0183271843593624E-6    3.0641070941536696E-8    0.3845389412793078
1                         0.958333                 0                        0                        3.567168800561864
0.978261                  0.979167                 -0.0017864325688890146   0.0012631231791854834    3.5620612588191536
0.956522                  1                        0                        0                        3.5601695178919073
1.25                      0.666667                 6.808041323745986E-6     7.244667458743634E-8     0.254052589372633
1.22917                   0.6875                   0.4375906832395432       0.0025621652393274736    0.3093655428124497
1.20833                   0.708333                 0.8660346253854727       0.009588902420731692     0.396047844360925
1.1875                    0.729167                 0.9248346902165145       0.01348565737954323      0.4368099362044733
1.16667                   0.75                     0.9662199628613461       0.010011107700356271     0.47540284516526077
1.14583                   0.770833                 0.7965267150615613       0.004213750161958288     0.44936042463875764
1.125                     0.791667                 0.6272858798369275       0.003830103213999808     0.43189330047584623
1.10417                   0.8125                   0.3151781314665457       0.009760923884637906     0.2960295220577397
1.08333                   0.833333                 5.42993601993316E-6      -3.787060421572622E-7    0.09187482062688163
1                         0.916667                 0                        0                        3.593888373723394
0.978261                  0.9375                   0.001422645658750067     0.003945494880333969     3.574353281503407
0.956522                  0.958333                 -0.004477676811528957    0.00408244782911158      3.559767151534876
0.934783                  0.979167                 -0.005455376889857367    7.196277045101228E-4     3.554009171905269
0.913043                  1                        0                        0                        3.5436495499874656
1.20833                   0.666667                 7.133198675622965E-6     4.9444905660655335E-8    0.3881445463855774
1.1875                    0.6875                   0.4458249171672145       0.003090306603380498     0.4579457770061491
1.16667                   0.708333                 0.8779673709990067       0.007337626992773659     0.5524024637236002
1.14583                   0.729167                 0.9270890706662308       0.005144881559106879     0.5922059708516522
1.125                     0.75                     0.9640688167854657       -0.006105659251459833    0.5773535502920484
1.10417                   0.770833                 0.8065529760604885       -0.02100126244401032     0.47948049554179945
1.08333                   0.791667                 0.6725444288467912       -0.02478555216514759     0.2892053990271691
1.0625                    0.8125                   0.33937100131141734      -0.023669127639403743    0.009327683825483876
1.04167                   0.833333                 5.429936019895482E-6     -3.787060421546344E-7    -0.13659330195396818
1                         0.875                    0                        0                        3.581724854706458
0.978261                  0.895833                 0.02091749586573477      -0.027653414822292176    3.583728025909477
0.956522                  0.916667                 0.029920254032682985     -0.01876327099063568     3.5742077943527115
0.934783                  0.9375                   0.021709516351964647     -0.005620747315655499    3.557573252541107
0.913043                  0.958333                 6.682082765441843E-5     -0.0031139155162861853   3.5444201081120132
0.891304                  0.979167                 -0.0028697251697610703   -5.657855741734699E-4    3.533748979490137
0.869565                  1                        0                        0                        3.5206322536315695
1.16667                   0.666667                 7.133198675622965E-6     4.9444905660655335E-8    0.5627549807464381
1.14583                   0.6875                   0.45165767991321093      0.002577196017057243     0.652872014958469
1.125                     0.708333                 0.8799545669804494       2.741936106850922E-4     0.7608069360934653
1.10417                   0.729167                 0.9198538374541196       -0.01437760331227218     0.8458564733436038
1.08333                   0.75                     0.9528244885986513       -0.04704850261174275     0.7737686810461002
1.0625                    0.770833                 0.8296381539179024       -0.09505529259493509     0.6841449027828082
1.04167                   0.791667                 0.755494131425624        -0.13743764177990522     0.30315285416641274
1.02083                   0.8125                   0.4080685419255317       -0.17546374853267707     0.5535015027926665
1                         0.833333                 6.078572685094332E-6     -2.4469302177434273E-6   2.4073618533508685
0.978261                  0.854167                 0.1719336943607044       -0.12626988318483048     3.2476015628313997
0.956522                  0.875                    0.13100765047360624      -0.11489890895616577     3.502770481014324
0.934783                  0.895833                 0.13105090237111847      -0.05243856904771149     3.553122733501993
0.913043                  0.916667                 0.07810519382979209      -0.029401868974817426    3.548091922106862
0.891304                  0.9375                   0.04921268728702164      -0.010756709635448928    3.5378129627044173
0.869565                  0.958333                 0.009646583964158767     -0.0037061588414587575   3.52257000059535
0.847826                  0.979167                 8.732647357690023E-4     -3.457001318955134E-4    3.509027759716295
0.826087                  1                        9.695341287900127E-20    -3.838103870125455E-20   3.4936007085833256
1.125                     0.666667                 7.039692854619382E-6     2.1935664863405552E-9    0.7944678712580125
1.10417                   0.6875                   0.4502418710912424       0.0028550567702492666    0.9197422313306143
1.08333                   0.708333                 0.8584991756130818       -0.007330429331423151    1.0917960755518017
1.0625                    0.729167                 0.88025165518419         -0.044321407130945054    1.3556211848626634
1.04167                   0.75                     0.8899165774005101       -0.11847661370410376     1.3605211536347546
1.02083                   0.770833                 0.8217507896542642       -0.21217544757771487     1.3864510655959394
1                         0.791667                 0.7598155067068069       -0.3058638301438797      1.4117110196779181
0.978261                  0.8125                   0.5378775280723819       -0.3266637323261866      2.4225203199150154
0.956522                  0.833333                 0.4186835729757857       -0.27663106779414043     3.2038965360540086
0.934783                  0.854167                 0.3403737869700767       -0.16658870186117206     3.4421403784462696
0.913043                  0.875                    0.2624092005166641       -0.09569223258225297     3.5255347189880886
0.891304                  0.895833                 0.1982522991638154       -0.053599519685658494    3.5316664274810754
0.869565                  0.916667                 0.12266486836989132      -0.027759631631546065    3.525882267578596
0.847826                  0.9375                   0.07382437216388993      -0.00954831522755742     3.512801765505623
0.826087                  0.958333                 0.01835668739148155      -0.0023486328032834127   3.4950540869101565
0.804348                  0.979167                 0.003140327130437808     1.0811971696015228E-4    3.4790653918755563
0.782609                  1                        3.48651926937542E-19     1.200389198078333E-20    3.461177020940265
1.08333                   0.666667                 6.98269857220496E-6      2.212519551833591E-7     1.1269172120185809
1.0625                    0.6875                   0.4364186605564545       0.013828247192421187     1.3702713211017503
1.04167                   0.708333                 0.7866102928875798       -0.0035830466264075585   1.7611577563339407
1.02083                   0.729167                 0.7719197894618524       -0.08234197789897149     2.026134001919369
1                         0.75                     0.7610872570998478       -0.16720125250435247     2.194794032735422
0.978261                  0.770833                 0.7094825083727089       -0.23395453539694216     2.1935903982292158
0.956522                  0.791667                 0.6389937790018259       -0.26520447907590144     2.751793156700961
0.934783                  0.8125                   0.539338463730091        -0.22520364801675666     3.119285491847832
0.913043                  0.833333                 0.48600777271556433      -0.15981564512536328     3.3390960163223404
0.891304                  0.854167                 0.4070244410132637       -0.12001883378489599     3.4414203574958444
0.869565                  0.875                    0.33250520435454917      -0.07855382635695413     3.490059962046471
0.847826                  0.895833                 0.2512205199537577       -0.04467036195557071     3.50130417867313
0.826087                  0.916667                 0.15891967286307077      -0.021739243070396576    3.4954513000508234
0.804348                  0.9375                   0.09384495406839496      -0.005283573042293555    3.482111864479053
0.782609                  0.958333                 0.023048317168925164     2.2652879761184705E-4    3.461387592029213
0.76087                   0.979167                 0.0025966726666629488    8.141309380400734E-4     3.442877079851338
0.73913                   1                        -1.996164156468394E-19   1.8568941357901207E-19   3.4219775084006283
1.04167                   0.666667                 6.982698569879254E-6     2.212519551096674E-7     1.7978128385998466
1.02083                   0.6875                   0.40827048658312715      0.03751139799693937      2.3522143486818647
1                         0.708333                 0.6452574538623397       -0.043645750280305165    2.735066834832981
0.978261                  0.729167                 0.6465626101524812       -0.1505803404792435      2.647963796124217
0.956522                  0.75                     0.6795053459637487       -0.20947288769991412     2.698409657069343
0.934783                  0.770833                 0.6466537936868181       -0.22755466842590238     2.818361311388282
0.913043                  0.791667                 0.6399643641818249       -0.2108361690950257      3.046713344925058
0.891304                  0.8125                   0.5900327886694008       -0.18207895232974483     3.2035118029789964
0.869565                  0.833333                 0.5531832728945995       -0.1427480755874852      3.336245313396483
0.847826                  0.854167                 0.47397265512747666      -0.10185255168081475     3.4095900780454587
0.826087                  0.875                    0.39411965788795356      -0.06491088898630355     3.4527862175875668
0.804348                  0.895833                 0.29628137276315814      -0.03344622771890918     3.4653165789520037
0.782609                  0.916667                 0.18830371348961017      -0.012799415324408179    3.459722579109095
0.76087                   0.9375                   0.1071509414498242       9.209179238407202E-4     3.444838843088108
0.73913                   0.958333                 0.02197099414051715      0.00372208727518511      3.4206828078246176
0.717391                  0.979167                 -0.0017979560624909918   0.001672514786937404     3.398601894044063
0.695652                  1                        0                        0                        3.3739245067001384
1.33333                   0.333333                 6.695403596778462E-6     -6.218604048927611E-8    0.07193567404067032
1                         0.666667                 5.162100928434429E-6     -3.491687956420682E-7    3.3549978134991285
0.978261                  0.6875                   0.36013584616882693      -0.03887911936517277     3.21712836917203
0.956522                  0.708333                 0.5096807210513914       -0.13284981757811115     3.032361356446028
0.934783                  0.729167                 0.5669770003625025       -0.17832601252214375     2.8657367701789145
0.913043                  0.75                     0.6237223920601822       -0.20130976009797327     2.884312158515336
0.891304                  0.770833                 0.6340282144127664       -0.19952796073923842     2.950694155056284
