50	2
0.0209321	165.109	
0.0209319	165.124	
0.0208929	167.945	
0.0208478	168.261	
0.0208438	168.462	
0.0207902	169.12	
0.0207885	170.146	
0.0207901	170.201	
0.0207926	171.122	
0.0207956	171.957	
0.0208037	172.8	
0.0208047	173.412	
0.0207945	172.652	
0.0207334	173.189	
0.020731	173.211	
0.0207278	173.193	
0.0207294	173.529	
0.0207282	173.418	
0.0207242	173.551	
0.0207211	173.517	
0.0207211	173.603	
0.020718	173.492	
0.0207177	173.479	
0.0207169	173.468	
0.0207154	173.452	
0.0207133	173.366	
0.020712	173.34	
0.0207125	173.301	
0.0207113	173.289	
0.0207111	173.246	
0.0207078	173.199	
0.0207068	173.159	
0.0206176	172.351	
0.020616	172.306	
0.020616	172.262	
0.0206152	172.22	
0.0206124	172.127	
0.0206124	172.088	
0.0206135	172.058	
0.0206136	172.017	
0.0206099	171.932	
0.0206097	171.885	
0.0206089	171.845	
0.0206083	171.806	
0.0206049	171.738	
0.0206045	171.705	
0.0206045	171.685	
0.0206043	171.656	
0.0206015	171.61	
0.0206	171.572	
