300	2
0.0110824	128.815	
0.00935161	138.254	
0.00830628	161.095	
0.00717716	190.833	
0.00761327	196.292	
0.00814724	159.258	
0.00817252	143.284	
0.00814143	135.14	
0.00809814	130.081	
0.00808148	126.422	
0.0080659	122.12	
0.00805403	117.981	
0.00786574	126.613	
0.00802872	114.196	
0.00802122	113.367	
0.00783521	124.277	
0.00782665	124.123	
0.00781547	123.878	
0.00781306	124.147	
0.0078066	124.212	
0.00779932	124.214	
0.0077929	124.369	
0.00778556	124.264	
0.00778007	124.322	
0.00794972	113.599	
0.0077671	124.314	
0.00793917	113.696	
0.00776222	124.481	
0.00776001	124.705	
0.00793593	114.123	
0.00793187	114.209	
0.00791929	114.485	
0.00792277	114.086	
0.00792288	114.107	
0.00791745	114.201	
0.00791843	114.382	
0.00791139	114.235	
0.00790809	114.761	
0.00790286	114.998	
0.00790463	114.382	
0.00789751	114.9	
0.00789738	114.235	
0.00789294	114.793	
0.00789749	115.047	
0.00789837	114.621	
0.00789474	115.084	
0.00789621	115.38	
0.00789475	115.216	
0.00789572	115.49	
0.00788925	114.431	
0.00788982	115.316	
0.00789088	115.537	
0.00788284	115.183	
0.00788654	115.332	
0.00788621	115.452	
0.0078822	115.448	
0.00788253	115.661	
0.00788122	115.51	
0.00787668	115.615	
0.00787855	115.571	
0.00787664	115.597	
0.00787545	115.721	
0.00787114	115.519	
0.00787134	115.565	
0.00786977	115.575	
0.00786295	114.659	
0.0078695	115.736	
0.00786316	115.7	
0.00786225	115.75	
0.00786442	115.272	
0.00785527	115.757	
0.00785544	115.668	
0.00785997	115.964	
0.00785573	115.825	
0.00785715	116.097	
0.00786029	116.094	
0.00785244	115.891	
0.00785828	116.099	
0.00785312	116.045	
0.00785822	116.351	
0.00785446	116.317	
0.00785569	116.493	
0.00784853	116.231	
0.00785087	116.388	
0.00784979	116.361	
0.00784953	116.465	
0.00784684	116.327	
0.00784812	116.613	
0.00784142	116.43	
0.007844	116.834	
0.00783853	116.31	
0.00784706	117.036	
0.0078365	116.667	
0.00783783	117.113	
0.00783811	116.875	
0.00783633	116.851	
0.00783557	117.134	
0.0078327	116.942	
0.0078237	116.604	
0.00782728	116.716	
0.00782681	116.854	
0.00783149	117.183	
0.00783	117.2	
0.00781995	116.678	
0.00782545	117.093	
0.00782413	117.072	
0.00782509	117.24	
0.00782292	117.057	
0.00782129	116.873	
0.00782655	117.126	
0.00782273	117.263	
0.00782527	117.167	
0.00782123	116.971	
0.00782247	117.19	
0.00782159	117.168	
0.00782207	117.331	
0.00782751	117.474	
0.00781895	117.255	
0.00782146	117.279	
0.00782331	117.627	
0.00781878	117.321	
0.00782036	117.277	
0.00781431	117.195	
0.00781927	117.135	
0.00782101	117.168	
0.007816	117.347	
0.00781801	117.302	
0.00781804	117.383	
0.00781921	117.386	
0.00781982	117.536	
0.00781985	117.354	
0.00782002	117.426	
0.00781418	117.132	
0.00782174	117.597	
0.00781711	117.4	
0.00781901	117.392	
0.00781051	117.179	
0.00782234	117.764	
0.00781239	117.366	
0.00781126	117.311	
0.00781749	117.612	
0.00782271	117.724	
0.00781108	117.307	
0.00781289	117.388	
0.00781755	117.704	
0.00781374	117.679	
0.00781072	117.464	
0.00781018	117.55	
0.00781374	117.643	
0.00780923	117.238	
0.00781649	117.859	
0.00781227	117.654	
0.00781013	117.565	
0.00780939	117.469	
0.00780999	117.58	
0.00781307	117.611	
0.00781563	117.974	
0.00781119	117.661	
0.00780565	117.348	
0.00780954	117.546	
0.00780823	117.514	
0.00780953	117.495	
0.00780508	117.687	
0.00780695	117.648	
0.00781029	117.713	
0.00780661	117.63	
0.0078099	117.883	
0.00781152	117.928	
0.00781441	118.073	
0.00780382	117.69	
0.0078074	117.841	
0.00779742	117.325	
0.00763017	128.913	
0.00780324	117.961	
0.00762682	128.768	
0.00780232	117.73	
0.00779895	117.821	
0.00779627	117.607	
0.00780439	117.873	
0.00780338	117.665	
0.00779635	117.416	
0.00779977	117.739	
0.00780311	117.797	
0.00780855	118.011	
0.00779631	117.741	
0.00780097	117.619	
0.00780314	117.912	
0.00780325	117.864	
0.00779852	117.812	
0.00779938	117.787	
0.00779789	117.757	
0.0078026	117.844	
0.00780564	117.924	
0.00779818	117.695	
0.00780019	117.765	
0.00780469	117.929	
0.00780235	118.035	
0.00780354	118.011	
0.00779934	117.956	
0.00780041	117.883	
0.0078099	118.264	
0.00780231	118.091	
0.00779702	117.884	
0.00779943	117.894	
0.00779926	118.32	
0.00780597	118.17	
0.00780542	118.21	
0.00780018	118.265	
0.0077999	118.055	
0.0077959	118.099	
0.00779955	118.17	
0.00780379	118.346	
0.00779668	118.083	
0.00780308	118.463	
0.00780004	118.247	
0.0078051	118.479	
0.00780791	118.526	
0.00780191	118.268	
0.00779628	118.012	
0.00779909	118.187	
0.0077961	118.073	
0.00780251	118.544	
0.00778716	117.823	
0.0077995	118.199	
0.00779447	118.114	
0.00762157	129.38	
0.00779294	118.268	
0.00779463	118.171	
0.00779838	118.337	
0.00780354	118.594	
0.00780178	118.593	
0.00779362	118.271	
0.00779751	118.432	
0.00778642	117.92	
0.00779641	118.382	
0.00780082	118.641	
0.00779447	118.174	
0.00780603	118.808	
0.00779479	118.157	
0.00779905	118.581	
0.00780139	118.513	
0.00780025	118.643	
0.00779758	118.397	
0.00779685	118.449	
0.00779985	118.676	
0.0077988	118.541	
0.00779277	118.269	
0.0077968	118.393	
0.00779402	118.377	
0.00779451	118.361	
0.00779942	118.599	
0.00780152	118.679	
