200	2
0.0110632	128.46	
0.00612494	276.696	
0.00641223	344.074	
0.00690317	396.112	
0.00747294	390.004	
0.00813918	293.563	
0.00857335	218.057	
0.00868309	195.865	
0.00851543	197.38	
0.00852726	188.886	
0.00851253	183.129	
0.00850732	179.672	
0.00846122	175.928	
0.00843378	172.264	
0.00841467	169.93	
0.00840978	167.997	
0.00839933	166.412	
0.0083548	162.234	
0.00834744	161.067	
0.00835272	160.719	
0.00834602	159.38	
0.00831162	156.57	
0.00831215	156.109	
0.00828513	153.405	
0.00830018	153.86	
0.00828332	151.768	
0.00825677	149.404	
0.00825431	148.758	
0.00824238	147.59	
0.00824989	147.792	
0.00824448	147.352	
0.00823481	160.582	
0.00822477	145.863	
0.00824457	146.433	
0.0082409	146.283	
0.00822553	145.209	
0.00822354	144.949	
0.00821075	143.897	
0.00822154	144.724	
0.0081931	142.881	
0.00820741	143.577	
0.0081838	142.223	
0.008208	143.326	
0.00820437	143.015	
0.00816182	140.584	
0.00817733	141.051	
0.008207	143.128	
0.00819819	142.233	
0.0081633	140.593	
0.0081625	140.227	
0.00818425	141.695	
0.00816409	140.421	
0.00818029	141.446	
0.00817276	141.241	
0.0081896	141.913	
0.00818436	141.448	
0.00817724	141.312	
0.00818255	141.511	
0.00816579	140.381	
0.00815662	139.717	
0.00817418	140.623	
0.00814896	139.35	
0.0081649	140.079	
0.00815623	139.688	
0.00815341	139.711	
0.00815882	139.755	
0.00815276	139.633	
0.00815332	139.62	
0.00814512	138.701	
0.00814936	139.21	
0.00815885	139.716	
0.00814473	138.855	
0.00815154	139.31	
0.00814142	138.838	
0.00813728	138.553	
0.00813617	138.581	
0.0081269	138.003	
0.00809189	136.565	
0.00814188	138.632	
0.00813958	138.516	
0.00813104	138.224	
0.00813478	138.268	
0.00811447	136.93	
0.00812025	137.584	
0.0081154	137.347	
0.00811738	137.342	
0.00812382	137.767	
0.00811425	137.239	
0.00810561	136.641	
0.0081138	137.348	
0.00812408	137.632	
0.0081141	137.086	
0.00809388	136.019	
0.00810867	137.011	
0.00809265	135.907	
0.00809465	136.04	
0.00809159	136.179	
0.00808242	135.498	
0.00809741	136.217	
0.00809689	136.205	
0.00809811	136.166	
0.0081044	136.63	
0.00809249	135.671	
0.00809111	135.978	
0.00808816	135.819	
0.0080968	136.06	
0.00808323	135.411	
0.00809068	135.726	
0.00808705	135.52	
0.00808756	135.598	
0.00808641	135.518	
0.00807178	135.012	
0.00809728	136.018	
0.00807867	135.046	
0.00807976	135.217	
0.00807296	134.897	
0.00807301	135.051	
0.00808531	135.317	
0.00806915	134.358	
0.0080829	135.134	
0.00806987	134.444	
0.00806986	134.436	
0.00807533	134.775	
0.00808899	135.372	
0.00807539	134.659	
0.00808393	135.128	
0.00807322	134.389	
0.00808019	134.978	
0.00806692	134.166	
0.00808246	134.82	
0.00807145	134.443	
0.00805845	133.754	
0.00805206	133.246	
0.00804989	133.31	
0.00807228	134.29	
0.00806933	134.192	
0.00806603	134.041	
0.00804753	132.933	
0.00805223	133.295	
0.00806645	133.948	
0.00806054	133.756	
0.00806009	133.806	
0.00806732	133.956	
0.00806033	133.814	
0.00805016	133.172	
0.00805417	133.553	
0.00805173	133.306	
0.00806383	134.06	
0.0080624	133.987	
0.00805524	133.498	
0.00804844	132.913	
0.00804111	132.747	
0.00805733	133.708	
0.00806131	133.89	
0.00804828	133.317	
0.00805387	133.378	
0.00805524	133.561	
0.00805923	133.84	
0.00805254	133.524	
0.008058	133.906	
0.00805698	133.688	
0.00804793	133.246	
0.00805412	133.571	
0.00804097	132.697	
0.00804958	133.342	
0.00805544	133.618	
0.00805319	133.552	
0.00805062	133.261	
0.00804449	133.198	
0.00803897	133.015	
0.00804489	133.18	
0.00803752	132.899	
0.00804117	133.055	
0.00803139	132.601	
0.00802835	132.304	
0.00802536	132.058	
0.00803445	132.571	
0.00802652	132.546	
0.00803698	132.711	
0.00801867	131.772	
0.00802601	132.128	
0.00803174	132.522	
0.00803359	132.541	
0.00802462	132.18	
0.00802848	132.11	
0.00802169	132.1	
0.00802626	132.137	
0.00803216	132.451	
0.0080221	132.055	
0.00802319	132.11	
0.00803258	132.426	
0.0080233	131.931	
0.00802541	132.296	
0.00803734	132.933	
0.00801842	132.043	
0.0080342	132.642	
0.00801908	131.793	
0.00801665	131.851	
0.00802741	132.246	
0.00802309	132.027	
