200	2
0.0110729	128.842	
0.0110735	129.336	
0.0109147	129.269	
0.00894608	136.054	
0.00721194	190.98	
0.0074167	203.361	
0.00813254	218.69	
0.00852334	173.522	
0.00849662	160.629	
0.00828105	165.995	
0.00826004	159.937	
0.0082471	155.717	
0.00822443	152.544	
0.00821088	150.138	
0.00818676	147.724	
0.00818198	144.073	
0.0081733	145.285	
0.00816071	143.749	
0.00815223	142.775	
0.00814805	141.984	
0.00813455	140.768	
0.00813532	137.899	
0.00812281	138.987	
0.00811965	138.66	
0.00811808	135.805	
0.00810506	137.38	
0.00810795	135.031	
0.00809355	134.174	
0.00808879	136.285	
0.00808108	133.43	
0.00808016	135.758	
0.00807476	135.34	
0.00807603	132.732	
0.00806513	134.474	
0.00807639	132.552	
0.00806571	134.37	
0.00805526	133.984	
0.00805988	131.647	
0.0080561	131.429	
0.00804855	133.254	
0.00804324	130.491	
0.00804969	130.9	
0.00804558	130.483	
0.00803527	132.291	
0.00804798	130.428	
0.00803155	129.765	
0.00803384	129.624	
0.00803717	129.588	
0.00803657	129.51	
0.00801878	130.987	
0.00802911	129.011	
0.00801571	128.354	
0.00801293	130.221	
0.00800772	129.767	
0.00800851	129.866	
0.00801093	127.411	
0.00800545	129.276	
0.00800945	127.016	
0.00799731	128.606	
0.00799665	128.723	
0.00799149	128.294	
0.0079974	128.595	
0.00800904	126.814	
0.00798902	128.181	
0.00800031	126.443	
0.00798894	128.253	
0.00798432	128.336	
0.00798594	128.188	
0.0079822	128.021	
0.00797739	127.648	
0.00797756	127.704	
0.0079827	125.819	
0.00797812	127.877	
0.00797855	128.041	
0.00798078	125.789	
0.00798275	125.856	
0.00797632	127.916	
0.00797259	127.627	
0.00797646	125.609	
0.00797356	127.721	
0.00796937	127.708	
0.00796753	127.446	
0.00797325	125.481	
0.00797384	125.468	
0.00797932	125.809	
0.00796698	127.536	
0.00797337	125.454	
0.00796768	127.435	
0.00797557	125.561	
0.00796735	125.223	
0.00796952	127.626	
0.00796921	127.539	
0.00796237	127.499	
0.00796666	127.466	
0.00796446	127.453	
0.00796799	127.725	
0.00797076	125.527	
0.00796309	127.4	
0.00796272	127.441	
0.0079605	127.336	
0.00795317	127.172	
0.00795622	127.229	
0.00795161	127.074	
0.00796646	125.308	
0.00795996	125.225	
0.00795476	127.233	
0.00795056	126.984	
0.00796193	125.216	
0.00795165	127.15	
0.00794857	127.017	
0.00795165	127.142	
0.0079492	127.137	
0.00794676	127.099	
0.00794475	126.934	
0.00795066	125.11	
0.00794379	127.032	
0.00794486	127.06	
0.0079462	127.115	
0.00795045	125.133	
0.00795435	125.084	
0.00794859	125.101	
0.0079444	124.939	
0.00794331	124.889	
0.00793997	124.862	
0.00794211	127.228	
0.00794126	124.911	
0.00792972	127.012	
0.00792733	126.718	
0.00792815	126.888	
0.00792625	126.77	
0.00792632	126.81	
0.00793191	124.766	
0.00792964	127.127	
0.00791723	126.876	
0.00792766	124.819	
0.00792496	124.83	
0.00792975	125.008	
0.00792894	124.999	
0.00791754	126.708	
0.00792758	127.132	
0.00792528	127.039	
0.00792846	125.044	
0.00792005	126.933	
0.00792859	125.113	
0.00792107	126.863	
0.00792999	125.148	
0.00791394	126.485	
0.00792657	125.004	
0.0079171	126.748	
0.00790989	126.39	
0.00790718	126.391	
0.00792302	124.853	
0.00792267	124.708	
0.00792591	124.932	
0.00790794	123.826	
0.0079197	124.667	
0.00789728	123.371	
0.00790323	123.76	
0.00792149	124.92	
0.00788897	124.223	
0.00791099	124.565	
0.00791692	124.537	
0.00791625	124.524	
0.00791891	124.838	
0.00790621	126.37	
0.00791	124.298	
0.0079066	124.192	
0.0079127	124.526	
0.00791889	124.809	
0.00790104	124.221	
0.00790807	124.28	
0.00791267	124.599	
0.00791711	124.85	
0.00791577	124.552	
0.007901	126.255	
0.00790721	124.269	
0.0079048	124.416	
0.0078989	123.764	
0.00791891	124.887	
0.00790369	124.252	
0.00791443	124.643	
0.00790468	124.497	
0.00791291	124.61	
0.00788901	124.026	
0.00791344	124.723	
0.00789487	123.994	
0.00790755	124.685	
0.0079053	124.447	
0.00790709	124.607	
0.00791096	124.767	
0.0079038	124.439	
0.0079101	124.95	
0.00790859	124.665	
0.00789649	124.171	
0.00790943	124.72	
0.00788565	123.976	
0.00791081	124.98	
0.00789531	124.51	
0.00790719	124.838	
0.00790465	124.596	
