79	2
0.0110776	128.964	
0.0110512	128.915	
0.0106655	129.503	
0.0100361	128.989	
0.0098392	127.029	
0.0097383	126.491	
0.00965382	126.757	
0.00955418	126.82	
0.00944121	126.265	
0.00935242	126.556	
0.00924814	125.638	
0.00916816	125.183	
0.00911977	126.459	
0.00906579	126.088	
0.00901097	126.116	
0.00896469	126.176	
0.00892238	126.16	
0.00888499	126.036	
0.00885551	126.253	
0.00883136	126.624	
0.00880925	127.061	
0.00879679	127.869	
0.00877044	127.671	
0.00876112	128.534	
0.00874621	128.758	
0.00873182	128.859	
0.00871951	129.115	
0.00870237	128.723	
0.00870287	129.935	
0.00869554	130.383	
0.008426	136.494	
0.00867879	130.438	
0.00867646	130.963	
0.00866379	131.308	
0.00866121	131.741	
0.00866337	133.116	
0.00853187	133.627	
0.00865006	133.492	
0.00865227	134.155	
0.00864494	134.241	
0.00863411	133.803	
0.00863452	134.476	
0.00850078	135.547	
0.0086176	134.629	
0.00848889	135.434	
0.00861521	135.563	
0.00861597	136.094	
0.00861314	136.474	
0.00860838	136.254	
0.00847197	136.785	
0.00847079	136.925	
0.00845414	136.577	
0.00845504	137.116	
0.00858919	136.981	
0.00858533	136.852	
0.00845104	137.161	
0.00843896	137.005	
0.00843927	137.246	
0.00857482	137.509	
0.00856919	136.988	
0.00856956	137.488	
0.00842784	137.385	
0.00856314	137.67	
0.00855773	137.374	
0.00842243	137.743	
0.00841903	137.836	
0.00841801	137.819	
0.00841411	137.814	
0.00854382	137.88	
0.00841011	137.598	
0.00854136	138.026	
0.00840656	137.719	
0.00853399	138.159	
0.0084031	137.78	
0.00853209	138.497	
0.00840517	138.412	
0.00852184	137.794	
0.00839192	137.711	
0.00839424	138.207	
