206	2
0.0110927	129.358	
0.0110826	129.043	
0.0108888	128.743	
0.00894716	136.157	
0.00721161	190.753	
0.00741195	203.335	
0.00811552	217.802	
0.00826981	262.94	
0.00878237	185.358	
0.00885698	170.632	
0.00883675	163.119	
0.00882055	159.251	
0.00858055	170.944	
0.00855862	168.898	
0.00855374	166.728	
0.00853755	164.811	
0.00852077	163.467	
0.00853033	162.558	
0.00853425	161.781	
0.0085181	160.617	
0.00850695	160.12	
0.00850177	159.455	
0.00849344	158.625	
0.00849535	158.449	
0.00848035	157.954	
0.00846907	157.319	
0.00847289	157.6	
0.00845503	156.436	
0.00847239	156.989	
0.00846265	156.23	
0.00841812	154.528	
0.00842039	169.405	
0.00843373	155.505	
0.00844056	155.778	
0.008404	154.189	
0.00840472	154.009	
0.00839676	153.686	
0.00843251	155.757	
0.00841486	154.31	
0.00841078	154.198	
0.00835373	151.917	
0.00844821	169.104	
0.00840332	152.913	
0.00841644	153.745	
0.00838605	152.122	
0.00841124	153.235	
0.00839847	166.603	
0.00837594	151.608	
0.00835598	151.323	
0.00833311	150.602	
0.00831212	149.455	
0.00840182	166.984	
0.00831028	148.481	
0.00836966	150.007	
0.00840946	165.662	
0.00839371	165.268	
0.00835763	148.977	
0.00841797	165.657	
0.00837206	149.679	
0.00836638	149.241	
0.00839887	151.036	
0.00833501	148.187	
0.00836866	148.989	
0.0083993	151.224	
0.008374	149.13	
0.00831524	147.151	
0.00835413	147.94	
0.00834243	147.597	
0.00838215	149.431	
0.00833156	146.872	
0.00834964	147.619	
0.00837208	148.848	
0.00837336	148.681	
0.00836724	147.91	
0.0083518	146.891	
0.00837471	148.194	
0.00838797	149.233	
0.00836782	147.218	
0.00837077	147.491	
0.00835977	146.483	
0.00837148	147.865	
0.00837444	147.2	
0.00837784	147.421	
0.008357	145.694	
0.00836193	146.186	
0.00838971	147.692	
0.00825022	142.581	
0.00834742	145.157	
0.008364	145.677	
0.0083591	146.154	
0.00838237	147.268	
0.00835527	145.379	
0.00836955	146.164	
0.00836106	145.6	
0.00823847	141.237	
0.00837155	146.482	
0.00834902	144.397	
0.00836555	145.468	
0.00836392	145.552	
0.00835758	145.281	
0.00832709	143.778	
0.00835846	144.943	
0.00836174	145.586	
0.00836101	145.336	
0.00837385	146.123	
0.00830429	142.998	
0.00835638	144.981	
0.00836704	145.61	
0.00829947	142.728	
0.00835414	144.797	
0.00833452	143.584	
0.00837482	145.787	
0.00835828	144.915	
0.00836266	145.424	
0.00834779	144.238	
0.00834615	144.078	
0.00836707	145.525	
0.00833757	143.376	
0.00835511	144.422	
0.00834593	144.174	
0.00833663	143.188	
0.00835895	144.59	
0.00835045	143.852	
0.00834394	143.49	
0.00836391	144.752	
0.00834915	144.096	
0.00834223	143.386	
0.00833136	142.712	
0.00834436	143.589	
0.00835901	144.547	
0.00836949	145.218	
0.00832817	143.089	
0.00833728	143.426	
0.00833596	143.663	
0.00835249	144.106	
0.00835253	144.108	
0.00836467	145.109	
0.0083542	144.099	
0.0083504	143.748	
0.00835265	144.154	
0.00834048	143.837	
0.00833343	142.748	
0.00835119	143.777	
0.00831526	142.103	
0.00834353	143.553	
0.0082949	141.223	
0.00836391	144.348	
0.00834198	143.275	
0.00833603	143.108	
0.00834827	143.632	
0.00835939	144.559	
0.00829788	141.423	
0.00832945	142.621	
0.00834402	143.569	
0.00835981	144.716	
0.00829192	141.303	
0.00835943	144.513	
0.00831938	142.033	
0.00834702	143.967	
0.00834905	143.302	
0.00830073	141.106	
0.00833232	142.964	
0.00834009	143.015	
0.00836101	144.406	
0.00831842	141.756	
0.00834325	143.191	
0.00833289	157.479	
0.00835808	144.089	
0.00830357	141.328	
0.00833389	142.772	
0.00834844	143.546	
0.00835827	143.809	
0.00826504	140.841	
0.00835555	144.018	
0.00833001	142.038	
0.00824289	139.523	
0.00834858	143.431	
0.00831695	141.636	
0.0083544	143.343	
0.00833139	142.526	
0.0083365	142.845	
0.0082623	140.474	
0.00834207	142.897	
0.00828559	154.082	
0.00835156	143.751	
0.00834934	143.533	
0.0083567	144.011	
0.00831837	141.802	
0.0083218	141.93	
0.00835593	144.136	
0.00832162	141.744	
0.00832848	142.321	
0.00834897	143.28	
0.00828657	141.131	
0.00835049	143.278	
0.00832214	141.589	
0.00831424	141.238	
0.00835105	143.306	
0.0083596	144.068	
0.00833156	142.114	
0.00834505	142.928	
0.00833882	142.609	
0.00834845	143.204	
0.00836653	144.01	
0.00833663	142.255	
0.00832502	141.972	
