300	2
0.00956781	32.4188	
0.00638341	54.7232	
0.00776844	56.0531	
0.00870742	54.6735	
0.00857979	55.1822	
0.00850375	55.5653	
0.00842657	55.7574	
0.00835119	55.5699	
0.00828491	54.5148	
0.0082621	53.0339	
0.00824615	52.3774	
0.00823604	52.0118	
0.00822519	51.9253	
0.00821758	51.7979	
0.00821182	51.7503	
0.00820561	51.812	
0.00819995	51.842	
0.00819289	51.7756	
0.00818579	51.6835	
0.0081803	51.6255	
0.00817385	51.7072	
0.00817044	51.8108	
0.00816767	51.8496	
0.00816419	51.8225	
0.00816211	51.7836	
0.00815983	51.7467	
0.00815723	51.7389	
0.00815368	51.7714	
0.00815257	51.7932	
0.00815164	51.7995	
0.00815127	51.81	
0.00815099	51.8266	
0.00815048	51.8397	
0.00815	51.8499	
0.00815167	51.8842	
0.00815157	51.9014	
0.0081514	51.9141	
0.00815092	51.9265	
0.00815062	51.937	
0.00815022	51.947	
0.00814996	51.9559	
0.00814953	51.9623	
0.00814948	51.9743	
0.00814895	51.977	
0.00814852	51.9819	
0.00814819	51.9881	
0.00814713	51.9826	
0.00814677	51.9867	
0.00814626	51.993	
0.00814595	51.9948	
0.00814568	51.9993	
0.00814544	52.004	
0.0081452	52.0084	
0.00814484	52.0153	
0.0081446	52.0188	
0.00814267	52.0041	
0.00814274	52.0089	
0.00814266	52.0143	
0.00814265	52.0229	
0.00814255	52.0273	
0.00814422	52.0509	
0.00814415	52.0556	
0.00814424	52.0695	
0.00814431	52.0734	
0.00814425	52.0779	
0.00814548	52.0959	
0.00814538	52.0998	
0.00814517	52.1057	
0.00814512	52.1095	
0.00814535	52.1144	
0.00814535	52.1184	
0.00814536	52.1223	
0.00814538	52.126	
0.00814523	52.131	
0.00814525	52.1339	
0.00814528	52.1368	
0.0081464	52.1503	
0.00814642	52.1528	
0.00814644	52.1552	
0.00814646	52.1575	
0.00814648	52.1597	
0.00814649	52.1618	
0.00814651	52.1637	
0.00814652	52.1656	
0.00814653	52.1674	
0.00814655	52.1692	
0.00814656	52.1709	
0.00814658	52.1726	
0.00814659	52.1742	
0.00814661	52.1757	
0.00814664	52.1776	
0.00814666	52.179	
0.00814668	52.1804	
0.0081467	52.1818	
0.00814671	52.1831	
0.00814673	52.1843	
0.00814674	52.1854	
0.00814675	52.1865	
0.00814676	52.1875	
0.00814677	52.1885	
0.00814678	52.1893	
0.00814678	52.1902	
0.00814679	52.191	
0.0081468	52.1919	
0.00814681	52.1926	
0.00814682	52.1934	
0.00814683	52.1941	
0.00814683	52.1949	
0.00814684	52.1956	
0.00814685	52.1963	
0.00814686	52.197	
0.00814687	52.1977	
0.00814688	52.1984	
0.00814689	52.199	
0.0081469	52.1997	
0.00814691	52.2003	
0.00814692	52.201	
0.00814693	52.2016	
0.00814694	52.2022	
0.00814695	52.2028	
0.00814696	52.2034	
0.00814697	52.204	
0.00814698	52.2045	
0.00814699	52.2051	
0.008147	52.2057	
0.00814701	52.2062	
0.00814702	52.2068	
0.00814703	52.2073	
0.00814704	52.2079	
0.00814705	52.2084	
0.00814863	52.2314	
0.00814864	52.2319	
0.00814865	52.2324	
0.00814866	52.2329	
0.00814868	52.2333	
0.00814869	52.2338	
0.0081487	52.2343	
0.00814871	52.2348	
0.00814872	52.2352	
0.00814873	52.2357	
0.00814874	52.2362	
0.00814875	52.2366	
0.00814876	52.2371	
0.00814877	52.2375	
0.00814878	52.238	
0.00814879	52.2384	
0.0081488	52.2389	
0.00814881	52.2393	
0.00814882	52.2397	
0.00814883	52.2402	
0.00814882	52.2403	
0.00814883	52.2407	
0.00814884	52.2411	
0.00814885	52.2416	
0.00814886	52.242	
0.00814887	52.2424	
0.00814888	52.2428	
0.0081489	52.2433	
0.00814891	52.2437	
0.00814892	52.2441	
0.00814893	52.2445	
0.00814891	52.2446	
0.00814895	52.2453	
0.00814896	52.2457	
0.00814897	52.2461	
0.00814898	52.2466	
0.00814899	52.247	
0.008149	52.2474	
0.00814902	52.2478	
0.00814903	52.2482	
0.00814904	52.2486	
0.00814905	52.249	
0.00814906	52.2494	
0.00814907	52.2498	
0.00814908	52.2502	
0.0081491	52.2506	
0.00814909	52.2507	
0.0081491	52.2511	
0.00814911	52.2514	
0.00814912	52.2518	
0.00814913	52.2522	
0.00814914	52.2526	
0.00814916	52.253	
0.00814917	52.2534	
0.00814918	52.2538	
0.00814919	52.2542	
0.0081492	52.2546	
0.00814921	52.255	
0.00814923	52.2554	
0.00814924	52.2558	
0.00814925	52.2562	
0.00814926	52.2566	
0.00814927	52.257	
0.00814929	52.2574	
0.0081493	52.2578	
0.00814931	52.2582	
0.00814932	52.2586	
0.00814934	52.259	
0.00814935	52.2594	
0.00814936	52.2598	
0.00814932	52.2583	
0.00814934	52.2587	
0.00814935	52.2591	
0.00814936	52.2595	
0.00814937	52.2599	
0.00814939	52.2603	
0.0081494	52.2607	
0.00814941	52.2611	
0.00814943	52.2615	
0.00814944	52.2619	
0.00814945	52.2623	
0.00814946	52.2627	
0.00814948	52.2631	
0.00814949	52.2635	
0.0081495	52.2639	
0.00814952	52.2643	
0.00814953	52.2647	
0.00814956	52.2655	
0.0081496	52.2662	
0.00814961	52.2666	
0.00814962	52.267	
0.00814963	52.2674	
0.00814965	52.2678	
0.00814966	52.2682	
0.00814967	52.2686	
0.00814969	52.269	
0.0081497	52.2694	
0.00814971	52.2698	
0.00814973	52.2702	
0.00814974	52.2706	
0.00814975	52.271	
0.00814976	52.2714	
0.00814978	52.2718	
0.00814979	52.2722	
0.0081498	52.2726	
0.00814982	52.273	
0.00814983	52.2734	
0.00814978	52.2764	
0.00814979	52.2768	
0.0081498	52.2771	
0.00814982	52.2775	
0.00814983	52.2779	
0.00814984	52.2783	
0.00814985	52.2787	
0.00814987	52.2791	
0.00814988	52.2794	
0.00814989	52.2798	
0.0081499	52.2802	
0.00814991	52.2805	
0.00814993	52.2809	
0.00814994	52.2812	
0.00814995	52.2816	
0.00814996	52.2819	
0.00814997	52.2822	
0.00814998	52.2825	
0.00814999	52.2829	
0.00815	52.2832	
0.00815001	52.2835	
0.00815002	52.2838	
0.00815003	52.284	
0.00815004	52.2843	
0.00815005	52.2846	
0.00814856	52.2648	
0.00814856	52.2651	
0.00814857	52.2653	
0.00814858	52.2655	
0.00814859	52.2658	
0.00815015	52.2872	
0.00815015	52.2874	
0.00815016	52.2876	
0.00815016	52.2878	
0.00815017	52.288	
0.00815017	52.2882	
0.00815018	52.2884	
0.00815018	52.2885	
0.00815019	52.2887	
0.00815019	52.2889	
0.0081502	52.289	
0.0081502	52.2892	
0.0081502	52.2893	
0.00815021	52.2894	
0.00815021	52.2896	
0.00815021	52.2897	
0.00815022	52.2898	
0.00815022	52.29	
0.00815022	52.2901	
0.00815022	52.2902	
0.00815023	52.2903	
0.00815023	52.2904	
0.00815023	52.2905	
0.00815023	52.2907	
0.00815024	52.2908	
0.00815024	52.2909	
0.00815024	52.291	
0.00815024	52.2911	
0.00815024	52.2912	
0.00815025	52.2913	
0.00815025	52.2913	
0.00815025	52.2914	
0.00815025	52.2915	
