32	2
0.00956781	32.4188	
0.00707869	40.8021	
0.0062371	55.0475	
0.00766777	57.1762	
0.00757159	56.8782	
0.00757173	56.6066	
0.00758099	56.4346	
0.00758894	56.3063	
0.00759661	56.2359	
0.00760268	56.1788	
0.0076078	56.1372	
0.00761152	56.0972	
0.00761512	56.0762	
0.00761798	56.056	
0.00762047	56.0398	
0.00762269	56.0263	
0.00762474	56.0148	
0.0076267	56.0048	
0.00762819	55.9911	
0.00763024	55.9888	
0.00763261	55.9872	
0.00763458	55.9806	
0.00763646	55.9747	
0.00763823	55.9697	
0.00763984	55.9658	
0.00764138	55.9621	
0.00764283	55.959	
0.00764417	55.9552	
0.00764551	55.9527	
0.0076468	55.9504	
0.00764804	55.9483	
0.00764924	55.9463	
