233	2
0.00956781	32.4188	
0.00638341	54.7232	
0.00776844	56.0531	
0.0080957	55.2012	
0.00786858	55.0581	
0.0077498	53.1383	
0.00774074	50.1518	
0.00769027	49.1589	
0.00763983	48.8149	
0.00761942	48.1341	
0.00759259	47.8255	
0.00756896	47.7022	
0.00771559	45.0125	
0.00771307	44.1906	
0.00771596	43.4292	
0.00771135	43.2787	
0.00771275	43.3408	
0.00770048	42.8053	
0.00770679	42.2471	
0.0077098	41.6671	
0.00771035	41.7754	
0.00770012	41.5999	
0.00770177	41.6763	
0.00769995	41.5985	
0.00770912	41.4906	
0.00768669	40.5205	
0.00768574	40.0582	
0.00770649	40.3316	
0.00768242	39.8231	
0.0076869	39.5086	
0.00771422	39.0576	
0.00768193	38.6254	
0.00768265	38.5833	
0.00773254	39.0561	
0.00750789	40.9592	
0.00750832	40.6926	
0.00771565	37.539	
0.00750458	38.8903	
0.00750392	38.2838	
0.00770065	34.6352	
0.00765981	33.4716	
0.00766067	32.9312	
0.00769925	33.0415	
0.00765591	32.932	
0.00765618	32.9374	
0.00770474	33.0534	
0.00748536	35.5541	
0.00748565	35.5758	
0.00768905	33.0806	
0.0074788	35.5818	
0.00747867	35.5975	
0.00767848	33.1338	
0.00746935	35.6091	
0.00746808	35.621	
0.00766347	33.1858	
0.007457	35.6412	
0.0074551	35.6623	
0.00764155	33.2538	
0.00743981	35.7202	
0.00743212	35.7523	
0.00759609	33.3661	
0.00738359	35.8835	
0.0073613	35.9453	
0.00751194	33.5202	
0.00747868	33.4641	
0.00746769	33.5032	
0.00747226	33.7325	
0.00726118	36.3309	
0.00724685	36.4109	
0.00740099	33.9221	
0.00722185	36.5435	
0.00719226	36.7201	
0.00718058	36.8925	
0.00716514	36.876	
0.00714202	37.0254	
0.00712846	37.2013	
0.0071173	37.2245	
0.00709376	37.3372	
0.00707629	37.4467	
0.00707019	37.4919	
0.00706351	37.5367	
0.00704999	37.5507	
0.00702973	37.6937	
0.00702002	37.7477	
0.00701336	37.6932	
0.0070216	37.3271	
0.00707558	36.5388	
0.00709859	36.1968	
0.00711029	36.0151	
0.0071177	35.8155	
0.0071227	35.7616	
0.00712745	35.7389	
0.00712597	35.5827	
0.00713089	36.0273	
0.00714836	35.4484	
0.00713773	36.0286	
0.00715761	35.4211	
0.00715267	35.3974	
0.00717253	35.4797	
0.0071482	35.3634	
0.00714713	35.3545	
0.00717969	35.3933	
0.00714895	35.3057	
0.0071478	35.2833	
0.00718433	35.3957	
0.00714893	35.2932	
0.00714742	35.2835	
0.00717572	35.8143	
0.0071481	35.2833	
0.00713316	35.7027	
0.00718923	35.3783	
0.00713401	35.7052	
0.0071308	35.6836	
0.00717778	35.5216	
0.0071216	35.7475	
0.00711405	35.5832	
0.00713089	35.2328	
0.00711787	35.0903	
0.0071179	35.0889	
0.00715628	35.3007	
0.00711749	35.0661	
0.00711689	35.0192	
0.00715655	35.2933	
0.00711721	35.0068	
0.00711732	34.9022	
0.00714983	34.6839	
0.00711944	34.2252	
0.00712084	34.0358	
0.00714824	34.2476	
0.00711991	33.9883	
0.00712111	33.9841	
0.0071544	34.1133	
0.00711956	33.8865	
0.00712205	33.8636	
0.00714335	33.7767	
0.00712021	33.5393	
0.00711974	33.5	
0.00714198	33.7297	
0.00712107	33.5019	
0.00711952	33.4758	
0.00714188	33.7279	
0.0071211	33.481	
0.00712172	33.4727	
0.00714162	33.7066	
0.00711991	33.4557	
0.00712209	33.4654	
0.00713944	33.6977	
0.0071203	33.4399	
0.00712137	33.4417	
0.00714194	33.7069	
0.00712019	33.4291	
0.00712216	33.4391	
0.00714204	33.7117	
0.00712103	33.4244	
0.00712224	33.4277	
0.00714249	33.7049	
0.00712241	33.4346	
0.00711979	33.3886	
0.00714212	33.6977	
0.00712158	33.4162	
0.00712171	33.4015	
0.00714231	33.6892	
0.0071218	33.4075	
0.00712163	33.3847	
0.00714208	33.6818	
0.00712104	33.3843	
0.00712196	33.3686	
0.00714128	33.6587	
0.00712272	33.3737	
0.00712402	33.3492	
0.00714701	33.5736	
0.00712777	33.2677	
0.00713167	33.2089	
0.00715163	33.3475	
0.00713653	33.1149	
0.0071364	33.115	
0.00715974	33.3993	
0.00713562	33.0902	
0.0071359	33.0825	
0.00715729	33.3028	
0.00713547	33.074	
0.00713583	33.0712	
0.0071565	33.2835	
0.00713512	33.0554	
0.00713532	33.0446	
0.00715308	33.2174	
0.00713225	32.9531	
0.00712899	32.8977	
0.00714236	33.1179	
0.0071287	32.8882	
0.00712734	32.8687	
0.00714805	33.1726	
0.00712812	32.8772	
0.00712768	32.8597	
0.00714849	33.1601	
0.00712747	32.8693	
0.00712598	32.8384	
0.00714691	33.152	
0.00712715	32.8611	
0.00712559	32.8301	
0.00714733	33.1586	
0.00712724	32.8585	
0.00712702	32.8405	
0.00714671	33.1491	
0.0071272	32.8522	
0.00712702	32.8331	
0.00714481	33.1274	
0.00712695	32.8421	
0.00712617	32.8122	
0.00714573	33.1352	
0.0071266	32.8287	
0.00712543	32.793	
0.00714315	33.0828	
0.00712656	32.8042	
0.00712666	32.7848	
0.00714313	33.0168	
0.00712391	32.7371	
0.00712217	32.6907	
0.00713843	32.928	
0.0071187	32.6255	
0.00711839	32.588	
0.00714264	32.759	
0.00712232	32.4707	
0.00712224	32.4237	
0.007142	32.7193	
0.00712408	32.4241	
0.0071245	32.3976	
0.00714854	32.6331	
0.00712609	32.298	
0.00712959	32.2648	
0.00714985	32.4454	
0.00713169	32.1906	
0.00713125	32.1854	
