146	2
0.00956781	32.4188	
0.00638381	54.9814	
0.00777269	56.4127	
0.00809357	55.3827	
0.00783411	54.9437	
0.00766548	53.2407	
0.00758793	50.6582	
0.00751059	48.805	
0.0074323	47.3805	
0.00737863	45.5376	
0.00733453	43.7139	
0.00731956	41.4556	
0.00749099	36.7097	
0.0075272	33.5603	
0.00752795	32.1715	
0.00751149	32.1402	
0.0074916	32.0936	
0.007473	32.1538	
0.00745435	32.179	
0.00742979	32.1414	
0.00741297	32.1764	
0.00739315	32.177	
0.00737035	32.1771	
0.0073484	32.1948	
0.00732168	32.1759	
0.00729601	32.2229	
0.00710606	34.6434	
0.00707279	34.684	
0.00703678	34.7521	
0.00699016	34.8054	
0.00695777	34.8948	
0.00691173	34.895	
0.0069106	34.6493	
0.00687521	34.5314	
0.00687836	34.4346	
0.00689233	33.6011	
0.00699203	32.674	
0.00706216	31.5245	
0.00707309	31.3028	
0.00709413	30.1958	
0.00708146	31.286	
0.00708338	31.3088	
0.00711235	29.1561	
0.00708908	31.2414	
0.00708916	31.2629	
0.00711678	28.7567	
0.00709266	31.0326	
0.00709245	31.0712	
0.00711532	28.5535	
0.00709522	30.8527	
0.00709501	30.9051	
0.00711225	28.4139	
0.0070973	30.7033	
0.00709713	30.7656	
0.00710863	28.3396	
0.00709835	30.5756	
0.00709808	30.6434	
0.00710541	28.3036	
0.00709982	30.4744	
0.0070995	30.5499	
0.00708901	28.6589	
0.0071021	30.4062	
0.00710196	30.4969	
0.0070862	28.629	
0.00710305	30.357	
0.00710311	30.4553	
0.00708397	28.6032	
0.00710331	30.3169	
0.00710346	30.4224	
0.00708215	28.581	
0.00710386	30.2876	
0.00710381	30.3984	
0.00708087	28.5747	
0.00710346	30.2636	
0.00710304	30.3771	
0.00707794	28.5601	
0.00710353	30.2518	
0.00710257	30.3622	
0.00707689	28.5669	
0.00710327	30.2373	
0.00710236	30.3527	
0.00707543	28.564	
0.00710245	30.2197	
0.00710202	30.3402	
0.0070741	28.5566	
0.00710216	30.2035	
0.00710114	30.3237	
0.00707386	28.5588	
0.00710196	30.1886	
0.00710116	30.3119	
0.00707368	28.5575	
0.00710173	30.1722	
0.00710117	30.3024	
0.00707391	28.5574	
0.00710196	30.1666	
0.00710122	30.2987	
0.00707348	28.5504	
0.00710191	30.1609	
0.00710135	30.2992	
0.00707463	28.5594	
0.00710172	30.1519	
0.00710201	30.3021	
0.00707428	28.5497	
0.00710315	30.1647	
0.00710152	30.3012	
0.00707588	28.5625	
0.00710309	30.163	
0.00710266	30.3097	
0.00707616	28.5638	
0.00710384	30.1643	
0.007103	30.3123	
0.00707652	28.5691	
0.00710407	30.1648	
0.00710325	30.3133	
0.00707634	28.5665	
0.00710426	30.1624	
0.00710305	30.3135	
0.00707582	28.5615	
0.00710371	30.1565	
0.00710216	30.3074	
0.00707572	28.5629	
0.00710279	30.1494	
0.00710092	30.3032	
0.0070772	28.5876	
0.0071023	30.1496	
0.00710115	30.3114	
0.00707854	28.6016	
0.00710272	30.159	
0.00710118	30.3194	
0.00708016	28.6249	
0.00710347	30.1751	
0.00710107	30.3284	
0.00708164	28.6475	
0.0071032	30.1821	
0.0071015	30.3438	
0.00708228	28.6627	
0.00710359	30.1963	
0.0071014	30.356	
0.00708281	28.6796	
0.00710336	30.2061	
0.00710123	30.3704	
0.00708317	28.6977	
0.00710346	30.2224	
0.00710129	30.388	
0.00708337	28.717	
0.00710367	30.2423	
