32	2
0.00956781	32.4188	
0.00638381	54.9814	
0.00777269	56.4127	
0.00809357	55.3827	
0.00783411	54.9437	
0.00766548	53.2407	
0.00758793	50.6582	
0.00751059	48.805	
0.0074323	47.3805	
0.00737863	45.5376	
0.00733453	43.7139	
0.00731956	41.4556	
0.00749099	36.7097	
0.0075272	33.5603	
0.00752795	32.1715	
0.00751149	32.1402	
0.0074916	32.0936	
0.007473	32.1538	
0.00745435	32.179	
0.00742979	32.1414	
0.00741297	32.1764	
0.00739315	32.177	
0.00737035	32.1771	
0.007348	32.1877	
0.00732231	32.1809	
0.00729601	32.2228	
0.00710607	34.6434	
0.00707278	34.6839	
0.0070368	34.7521	
0.00699013	34.8053	
0.00695783	34.8955	
0.00691168	34.8948	
