68	2
0.00956781	32.4188	
0.00638668	55.0593	
0.00778423	56.5353	
0.00810373	55.3196	
0.00783972	54.8528	
0.0076726	53.1242	
0.00759365	50.4918	
0.00751636	48.325	
0.00742868	46.1032	
0.00736268	42.7415	
0.00733773	38.8516	
0.00736183	35.0773	
0.00751388	32.1344	
0.00750353	32.0575	
0.00748931	31.8276	
0.00748959	31.9994	
0.00731866	34.5949	
0.0074647	31.8694	
0.00744402	31.8586	
0.00740587	31.7033	
0.00723848	34.6243	
0.00721514	34.7442	
0.00716729	34.5988	
0.0071479	34.9212	
0.00710258	34.9546	
0.00705458	35.2519	
0.00708487	34.7323	
0.00712223	34.0146	
0.00714945	33.6832	
0.00715771	33.077	
0.00719116	33.7578	
0.00719563	33.8692	
0.00719774	32.9049	
0.007211	33.9779	
0.00720522	33.9574	
0.00719631	32.7588	
0.00720895	33.9695	
0.007204	33.9769	
0.00718829	32.87	
0.00720835	33.9264	
0.00720432	33.9349	
0.00717994	32.6018	
0.00720729	33.9274	
0.00720195	33.9437	
0.00718174	32.6525	
0.00720548	33.8678	
0.00720308	33.9051	
0.00718802	31.9569	
0.00720154	33.8432	
0.00719936	33.9212	
0.00716548	32.6762	
0.00719995	33.8528	
0.00719997	33.9189	
0.00717306	32.1031	
0.00719694	33.8541	
0.00719671	33.9363	
0.00715222	32.7486	
0.00719732	33.9342	
0.00719767	34.0103	
0.00716434	32.2737	
0.00719318	33.91	
0.00719316	33.9762	
0.00715856	32.2876	
0.0071906	33.9072	
0.00719224	33.9886	
0.00714012	32.7631	
0.00719025	33.9113	
0.00719093	33.972	
