300	2
0.0104318	143.864	
0.00879997	152.221	
0.00782884	164.67	
0.00712539	184.9	
0.00740098	194.321	
0.00765182	180.784	
0.00758297	170.673	
0.00752556	165.478	
0.00748431	161.757	
0.00745505	159.29	
0.00742503	156.708	
0.00739863	153.611	
0.00723099	172.673	
0.00737273	149.124	
0.00719714	160.326	
0.00719551	160.058	
0.00718513	159.45	
0.00716362	158.665	
0.00733629	147.69	
0.00716066	158.651	
0.00713725	157.828	
0.00732422	147.774	
0.00715371	159.476	
0.0071467	159.154	
0.00730908	147.696	
0.00730463	147.62	
0.00730132	147.7	
0.00715697	160.249	
0.00713127	159.149	
0.00712836	159.284	
0.00713066	159.847	
0.00728741	148.279	
0.00711321	168.094	
0.00728614	148.413	
0.00711148	158.921	
0.00709196	157.555	
0.00710297	158.982	
0.00708437	158.14	
0.00711665	167.747	
0.00728138	148.849	
0.00708658	158.668	
0.00727243	148.544	
0.0071089	160.099	
0.00707958	158.4	
0.00727093	148.544	
0.00709062	159.295	
0.00708291	158.651	
0.0070744	158.053	
0.00707547	157.807	
0.00709308	159.404	
0.00710108	160.105	
0.00708442	159.129	
0.00709044	159.537	
0.00708676	159.368	
0.00710581	160.659	
0.00725162	148.533	
0.00725115	148.597	
0.00705652	157.158	
0.00705566	157.913	
0.00724704	148.684	
0.00724838	148.875	
0.00706452	166.466	
0.00708353	160.065	
0.00708944	169.181	
0.00708669	168.363	
0.00706532	168.089	
0.00704286	157.561	
0.00703179	157.584	
0.00705816	168.207	
0.00707274	160.325	
0.00721764	148.729	
0.00705868	159.798	
0.00703878	167.932	
0.00721716	148.67	
0.00705534	159.604	
0.0070308	158.48	
0.00702235	158.398	
0.00704173	159.301	
0.00703922	159.493	
0.0070265	159.083	
0.00703743	159.309	
0.00701902	158.445	
0.00702111	158.495	
0.00705073	160.503	
0.00701693	158.378	
0.00703736	159.736	
0.00704178	160.041	
0.00704533	160.308	
0.00704455	168.796	
0.00702678	159.435	
0.00704218	160.486	
0.00702654	159.383	
0.00699083	158.475	
0.00701959	159.358	
0.0070281	168.668	
0.00701123	159.3	
0.00703757	169.19	
0.00701984	160.391	
0.00698963	158.187	
0.00718313	149.051	
0.00699494	158.431	
0.00701732	159.594	
0.00701837	160.281	
0.0070266	160.592	
0.00702602	160.764	
0.00702459	160.269	
0.00700881	160.249	
0.00699965	158.898	
0.00701213	168.723	
0.00700606	159.785	
0.0070072	160.011	
0.00701041	169.365	
0.00701621	160.589	
0.00698627	159.089	
0.00700778	168.693	
0.00699446	159.91	
0.00700021	160.195	
0.00697509	158.938	
0.00700416	160.361	
0.00700207	160.36	
0.00700031	160.464	
0.00700178	168.869	
0.00698468	159.633	
0.00715912	149.63	
0.00700266	160.709	
0.00697186	159.081	
0.00697916	159.782	
0.00698789	160.546	
0.00697446	159.783	
0.00700666	161.378	
0.00699571	160.917	
0.00697038	159.535	
0.00699439	160.891	
0.00701134	161.85	
0.00700963	161.904	
0.00699761	160.891	
0.00698849	160.907	
0.00698423	160.63	
0.00697605	159.995	
0.00700855	161.849	
0.00699319	161.121	
0.00699868	161.564	
0.00699492	161.667	
0.00697298	160.455	
0.00699108	161.609	
0.00698684	161.287	
