52	2
0.00553935	4.80752	
0.00289707	7.11363	
0.0031766	23.7315	
0.00334971	19.613	
0.0036982	16.65	
0.00391502	11.8331	
0.00393983	10.2056	
0.00386784	9.76849	
0.00377709	9.77925	
0.00375577	9.99721	
0.00373642	9.90149	
0.00371612	9.80761	
0.00372463	9.91562	
0.00371944	9.90801	
0.00371134	9.85884	
0.00371727	9.92229	
0.00371002	9.86785	
0.00371144	9.88519	
0.00371062	9.88562	
0.00371352	9.92319	
0.00371152	9.91479	
0.00371181	9.92607	
0.00371372	9.9594	
0.00371016	9.93326	
0.00370879	9.92249	
0.00370906	9.92353	
0.00370871	9.92048	
0.00370863	9.92202	
0.00370854	9.91892	
0.00370894	9.92046	
0.00370885	9.91848	
0.00370902	9.91766	
0.00370921	9.91507	
0.00370995	9.91417	
0.00371068	9.90743	
0.00370925	9.91254	
0.00371061	9.90915	
0.00370912	9.91324	
0.00371052	9.90826	
0.00370885	9.9118	
0.00371046	9.9073	
0.0037089	9.91087	
0.00371047	9.90629	
0.00370896	9.90972	
0.00371052	9.90516	
0.00370907	9.9083	
0.00371065	9.9038	
0.00370925	9.90656	
0.00371086	9.90209	
0.00370951	9.9044	
0.00371116	9.89992	
0.00370986	9.90178	
