40	2
0.00553935	4.80752	
0.00279902	7.49719	
0.00317685	24.5042	
0.00321986	22.9841	
0.00326477	21.3793	
0.00329172	19.515	
0.00330674	18.3972	
0.00331404	17.6737	
0.00332076	17.186	
0.00332683	16.873	
0.00333019	16.6926	
0.00333356	16.5636	
0.00333606	16.4815	
0.0033369	16.4162	
0.00334789	16.341	
0.00334221	16.3487	
0.00335026	16.2792	
0.00335057	16.2477	
0.00335421	16.2454	
0.00335408	16.2182	
0.00335496	16.2066	
0.00335491	16.1844	
0.00335431	16.1645	
0.00335604	16.1557	
0.00335498	16.1331	
0.00335433	16.108	
0.00335627	16.1052	
0.00335529	16.0866	
0.00335615	16.0763	
0.00334941	16.1106	
0.00335086	16.1124	
0.00335431	16.0324	
0.00335451	16.0253	
0.00335002	16.08	
0.00335698	16.0257	
0.00335074	16.069	
0.0033556	16.0018	
0.00335082	16.0561	
0.00335089	16.0527	
0.00335564	15.9899	
