39	2
0.00553935	4.80752	
0.00277201	7.36695	
0.00318009	24.6076	
0.00324601	25.1007	
0.00328403	24.7228	
0.00334249	21.1136	
0.00336263	20.2239	
0.00335615	20.2655	
0.00334359	20.7957	
0.00332854	21.6826	
0.00331168	22.417	
0.00329531	23.2101	
0.00328263	23.8873	
0.00324982	23.41	
0.00317312	21.864	
0.00317561	21.9895	
0.00313988	21.4153	
0.00316658	22.1676	
0.00312904	21.5514	
0.00312531	21.6496	
0.00312612	21.717	
0.00311992	21.6537	
0.0031085	21.724	
0.00312938	22.0517	
0.00311465	21.6834	
0.0031036	21.6032	
0.00312353	21.9746	
0.00310464	21.5838	
0.00310345	21.6146	
0.00310276	21.6336	
0.00310413	21.6448	
0.00310082	21.5989	
0.00310577	21.6968	
0.00311976	21.984	
0.00310108	21.6369	
0.00312102	22.0486	
0.00309871	21.6475	
0.0030928	21.7974	
0.00310385	21.8948	
