300	2
0.011121	116.218	
0.00941192	123.078	
0.00834558	145.498	
0.0073298	171.581	
0.0077098	175.084	
0.00858543	172.821	
0.00873805	145.982	
0.00873595	138.371	
0.00872201	133.767	
0.00871181	130.433	
0.00869898	127.07	
0.00868084	124.497	
0.00866753	121.8	
0.0086526	120.369	
0.00864648	118.003	
0.00842081	129.674	
0.00861729	115.732	
0.00860138	114.957	
0.00838678	127.35	
0.00859264	114.505	
0.00837716	125.959	
0.00837239	125.694	
0.00837113	125.362	
0.00837044	124.914	
0.0083616	124.164	
0.00835506	123.327	
0.00835361	123.239	
0.00835349	123.034	
0.00834471	122.82	
0.008342	122.758	
0.00834515	122.786	
0.00832725	121.699	
0.00853775	108.869	
0.00832564	120.999	
0.00832536	120.859	
0.00832398	120.923	
0.00832245	120.714	
0.00831386	120.46	
0.00831595	120.28	
0.0083164	119.963	
0.00830955	119.5	
0.00830686	119.331	
0.00830571	118.987	
0.00830584	118.661	
0.0083088	118.769	
0.00830447	118.873	
0.00830119	118.683	
0.00830696	118.833	
0.00829879	118.227	
0.008298	118.075	
0.00829813	117.95	
0.00829615	117.898	
0.00829584	117.966	
0.00829412	117.666	
0.00829076	117.81	
0.00829357	117.744	
0.00828653	117.681	
0.0082793	117.738	
0.0082896	117.914	
0.00827908	117.646	
0.00827143	117.371	
0.00827184	117.37	
0.00827107	117.137	
0.0082628	116.869	
0.0082632	116.739	
0.00826709	116.606	
0.0082578	116.727	
0.00825991	116.64	
0.00825786	116.706	
0.00826253	116.5	
0.00825942	116.5	
0.00826408	116.802	
0.00825991	116.594	
0.00825577	116.391	
0.00826291	116.608	
0.0082581	116.486	
0.00826149	116.442	
0.0082585	116.367	
0.0082614	116.345	
0.0082576	116.231	
0.00824831	115.887	
0.00846204	104.156	
0.00825577	116.128	
0.00825644	116.361	
0.00825695	115.951	
0.00825108	116.101	
0.00825649	116.019	
0.00825623	116.116	
0.00825518	116.091	
0.00824735	116.137	
0.00825394	115.977	
0.00824863	116.005	
0.00824875	116.012	
0.00825923	116.223	
0.00824214	116.274	
0.00825866	116.155	
0.00825231	115.926	
0.00824774	115.947	
0.00845259	103.719	
0.00824466	115.67	
0.00825398	115.873	
0.00824833	115.729	
0.00824335	115.651	
0.00823644	115.735	
0.00824431	115.632	
0.00824183	115.712	
0.00824013	115.458	
0.00823488	115.464	
0.00823521	115.294	
0.0082277	115.317	
0.00824432	115.467	
0.00823305	115.236	
0.00822935	115.126	
0.00823086	115.104	
0.00824181	115.608	
0.0082329	115.131	
0.00822797	115.022	
0.00823	114.995	
0.00823194	115.132	
0.0082175	114.792	
0.00822401	114.807	
0.00822175	115.225	
0.00843281	103.681	
0.00822355	114.765	
0.00844044	104.057	
0.0084327	103.742	
0.00821969	115.001	
0.00821801	114.84	
0.00821612	114.947	
0.00821487	115.291	
0.00821524	114.623	
0.00821548	114.731	
0.00821467	114.725	
0.00821629	114.591	
0.00821825	114.853	
0.00820963	114.612	
0.00821413	114.593	
0.00820996	114.667	
0.0082163	114.687	
0.0082066	114.649	
0.0082145	114.478	
0.00821361	114.639	
0.00821817	114.79	
0.00841944	103.639	
0.00821382	114.632	
0.00820993	114.495	
0.0082126	114.626	
0.00822409	114.851	
0.008216	114.592	
0.00820347	114.698	
0.00821329	114.554	
0.00821196	114.376	
0.00841811	103.362	
