300	2
0.0111179	116.236	
0.00942559	123.347	
0.00835616	145.113	
0.00722925	171.995	
0.00764772	178.98	
0.00822705	142.656	
0.0082376	124.028	
0.00818709	114.376	
0.00813415	108.658	
0.00809323	105.64	
0.00805572	103.945	
0.00803249	103.378	
0.0080092	103.349	
0.00799299	103.587	
0.00796888	103.213	
0.0079578	103.507	
0.00794654	103.711	
0.00792949	103.671	
0.0079139	103.649	
0.00791127	103.366	
0.00790021	104.193	
0.00789612	104.457	
0.0078867	104.437	
0.00788002	104.694	
0.00787339	104.886	
0.00786853	105.057	
0.007862	105.078	
0.00786062	104.615	
0.00785262	105.344	
0.00785565	105.667	
0.00785047	105.734	
0.00784662	105.958	
0.00784256	105.91	
0.00784041	106.142	
0.00783535	106.155	
0.00783377	105.598	
0.0078298	106.178	
0.00783069	105.862	
0.00782725	105.897	
0.00782342	106.553	
0.00782078	106.522	
0.0078204	106.651	
0.0078174	106.018	
0.00781804	106.27	
0.00781682	106.956	
0.00781365	106.944	
0.00781122	107.018	
0.00780966	107.147	
0.00781087	106.666	
0.00780582	106.459	
0.00780726	107.359	
0.00780629	107.421	
0.00780327	106.819	
0.00780266	106.861	
0.00779972	106.868	
0.0078002	107.64	
0.00779649	107.453	
0.00779577	107.667	
0.00779907	107.301	
0.00779959	107.379	
0.00779445	107.72	
0.00779739	107.399	
0.00779345	107.388	
0.00778931	107.672	
0.00779264	108.1	
0.00779397	107.487	
0.00778963	107.999	
0.00779192	107.594	
0.00779643	108.527	
0.00778649	108.147	
0.00778885	107.76	
0.00778666	107.596	
0.00778758	107.752	
0.0077835	108.243	
0.00778443	107.616	
0.00778973	108.051	
0.00778371	108.351	
0.00779065	108.072	
0.00778673	108.733	
0.00778408	108.563	
0.00778548	108.59	
0.00778446	108.732	
0.00778397	108.703	
0.00787633	107.677	
0.00778564	108.763	
0.00778183	108.769	
0.0077835	108.987	
0.00778491	108.943	
0.00778508	108.376	
0.00778443	108.375	
0.00778292	108.958	
0.00777766	108.747	
0.00777846	108.884	
0.00778022	109.016	
0.00777688	108.882	
0.00778534	109.233	
0.0077792	109.039	
0.00778034	109.197	
0.00777433	108.818	
0.00778154	109.215	
0.00777438	108.864	
0.0077744	108.963	
0.00777865	109.365	
0.00777787	109.247	
0.00777809	109.163	
0.00778051	109.291	
0.00778017	109.33	
0.00777633	109.239	
0.00777667	109.212	
0.00777833	108.757	
0.00778079	109.409	
0.0077787	109.217	
0.00778133	109.498	
0.00777905	109.337	
0.00777301	109.125	
0.00778155	108.932	
0.0077792	109.528	
0.00778114	108.914	
0.00777887	109.479	
0.00777474	109.411	
0.00777612	109.341	
0.00778128	109.07	
0.00778056	109.743	
0.00778206	109.663	
0.00777552	109.503	
0.0077837	109.859	
0.00777752	109.536	
0.00778498	109.751	
0.00778083	109.641	
0.00777718	109.556	
0.00777748	109.753	
0.00777717	109.603	
0.00777073	109.426	
0.00777841	109.768	
0.00777891	109.807	
0.00777507	109.549	
0.00777893	109.865	
0.00777737	109.797	
0.00777709	109.713	
0.00777537	109.786	
0.00777672	109.722	
0.00778019	109.98	
0.00777571	109.681	
0.00777658	109.67	
0.00777683	109.791	
0.00777896	109.9	
0.00778115	110.072	
0.00777986	109.86	
0.00778269	110.011	
0.00777637	109.797	
0.00777859	109.975	
0.0077763	109.939	
0.00778102	110.096	
0.00777797	109.943	
0.00778288	110.115	
0.00777455	109.903	
0.00777811	109.97	
0.00778149	110.175	
0.00778039	110.143	
0.00777673	109.999	
0.00777803	110.065	
0.00777728	109.915	
0.00777794	109.912	
0.00777788	109.961	
0.00777789	109.98	
0.00778111	110.044	
0.00777567	109.939	
0.00778272	110.14	
0.0077811	110.182	
0.00777694	110.024	
0.00777333	109.938	
0.00777776	110.079	
0.00778412	110.28	
0.00777716	109.972	
0.00778241	110.311	
0.00777936	110.193	
0.00787502	109.285	
0.00777862	110.156	
0.00776893	109.84	
0.00777979	110.237	
0.00777847	110.164	
0.00777647	110.147	
0.007782	109.716	
0.0077789	110.169	
0.00777977	110.232	
0.00777737	110.237	
0.00777333	110.046	
0.00777963	110.278	
0.00778414	110.472	
0.00778031	110.243	
0.00777882	110.284	
0.00778033	110.301	
0.00777454	110.199	
0.00777308	110.114	
0.00778105	110.406	
0.00778075	110.445	
0.00778093	110.435	
0.00777827	110.339	
0.00778247	110.349	
0.00777719	110.282	
0.0077819	109.995	
0.00777931	110.452	
0.00777976	110.575	
0.00777879	110.405	
0.00777648	110.341	
0.00777311	110.281	
0.00778534	110.717	
0.00778325	110.681	
0.00778135	110.65	
0.00777739	110.464	
0.0077831	110.756	
0.00777527	110.486	
0.00777851	110.571	
0.0077812	110.838	
0.00777891	110.604	
0.00778223	110.787	
0.00777926	110.563	
0.00778149	110.733	
0.00778205	110.767	
0.00778354	110.786	
0.00777672	110.558	
0.00777769	110.689	
0.00777983	110.701	
0.00777739	110.735	
0.00777814	110.691	
0.00778201	110.348	
0.00778083	110.843	
0.00777778	110.665	
0.00777434	110.793	
0.00777945	110.837	
0.00777833	110.859	
0.00777688	110.682	
0.00777975	110.924	
0.00777952	110.921	
0.0077817	111.052	
0.00777945	110.967	
0.0077796	110.867	
0.00777557	110.792	
0.00778199	110.54	
0.00777915	110.528	
0.00778023	111.006	
0.00778278	111.167	
0.00778085	111.005	
0.00778085	110.915	
0.007782	111.105	
0.0077785	110.933	
0.00778151	111.245	
0.00778164	111.139	
0.00777771	110.898	
0.00777552	111.032	
0.00778114	111.145	
0.0077773	111.02	
0.00778001	111.134	
0.00777629	111.163	
0.00778078	111.213	
0.00778118	111.17	
0.00778154	111.166	
0.00778129	111.326	
0.00778082	111.231	
0.00778213	111.258	
0.00778091	111.143	
0.00778102	111.36	
0.00778212	111.423	
0.00778096	111.333	
0.00777665	111.144	
0.00778181	111.281	
0.00778789	111.553	
0.00778177	111.235	
0.00777718	111.128	
0.00778222	111.355	
0.00778371	111.411	
0.00778036	111.351	
0.0077816	111.421	
0.00777698	111.175	
0.00777825	111.368	
0.00777557	111.203	
0.00778096	111.416	
0.00778031	111.306	
0.00777929	111.247	
0.00778155	111.312	
0.00777862	110.795	
0.00778155	111.361	
0.00778325	111.56	
0.00777989	111.316	
0.00777882	111.304	
0.00778143	111.532	
0.00778199	111.484	
0.00777703	111.339	
0.0077774	111.232	
0.00777826	111.315	
0.00778165	111.535	
0.0077794	111.466	
0.00778346	111.559	
0.00777852	111.441	
0.00778183	111.451	
0.00777751	111.324	
0.00778078	111.585	
0.00778035	111.408	
0.00777823	111.426	
0.00778464	111.627	
