300	2
0.0111315	115.951	
0.0094172	123.227	
0.00834998	145.862	
0.00722476	170.2	
0.00771352	174.831	
0.00847992	144.856	
0.00856314	128.584	
0.00853538	121.807	
0.00850598	117.961	
0.00848199	115.653	
0.00846576	113.664	
0.0084474	112.132	
0.0084326	111.102	
0.00820849	121.583	
0.00840823	109.286	
0.00839855	108.076	
0.00839015	107.739	
0.0083845	107.46	
0.00837461	106.899	
0.00836638	106.657	
0.00835881	106.295	
0.00835796	106.039	
0.00815366	117.609	
0.00834707	105.939	
0.00834052	105.83	
0.00833563	105.369	
0.00812625	116.98	
0.00812579	117.053	
0.00831379	105.09	
0.00810655	116.383	
0.00830792	104.726	
0.00810462	116.191	
0.00829777	104.581	
0.00829884	104.74	
0.00810299	116.167	
0.00829207	104.219	
0.008291	104.2	
0.00829222	104.132	
0.00809303	115.395	
0.00809098	115.181	
0.0082913	103.365	
0.00809097	114.796	
0.008082	114.425	
0.00808277	114.47	
0.0080784	114.355	
0.00807302	114.27	
0.00806841	113.982	
0.00806623	113.868	
0.00807036	114.135	
0.00805842	113.812	
0.00806029	113.872	
0.0080536	113.61	
0.00805257	113.57	
0.00805166	113.473	
0.00805283	113.606	
0.00804712	113.437	
0.00804943	113.602	
0.00804642	113.66	
0.00804752	113.731	
0.00804701	113.651	
0.00824409	102.349	
0.00804523	113.554	
0.0080435	113.512	
0.00823947	102.095	
0.00804128	113.285	
0.00803983	113.322	
0.00803799	113.236	
0.00803505	113.197	
0.00803378	113.144	
0.00803103	113.136	
0.00802847	113.004	
0.00802326	113.015	
0.00802618	113.061	
0.00802403	113.03	
0.00802011	113.035	
0.00801759	113.037	
0.008016	113.158	
0.00801261	112.974	
0.00801188	113.103	
0.00801274	113.216	
0.00801171	113.097	
0.00801111	113.021	
0.00801045	113.013	
0.00801395	113.078	
0.00801013	112.931	
0.00800915	112.881	
0.00800907	112.774	
0.00800547	112.666	
0.00800444	112.579	
0.00800622	112.577	
0.00800668	112.573	
0.00819767	101.124	
0.0082043	101.279	
0.00799974	112.392	
0.00800375	112.543	
0.00799839	112.433	
0.00800144	112.546	
0.00799745	112.387	
0.00819623	101.371	
0.00799409	112.396	
0.00799744	112.512	
0.0079944	112.453	
0.00799601	112.518	
0.00798858	112.475	
0.00799356	112.431	
0.00799146	112.373	
0.00799325	112.542	
0.0079915	112.374	
0.00798423	112.185	
0.00798984	112.35	
0.00798941	112.231	
0.00798622	112.256	
0.00798719	112.266	
0.00798556	112.233	
0.00798812	112.327	
0.00798849	112.312	
0.00799036	112.32	
0.00818168	101.17	
0.00799094	112.259	
0.00817941	100.954	
0.00798899	112.194	
0.00798691	112.182	
0.00798287	112.166	
0.0079816	112.027	
0.00798433	112.099	
0.00798142	112.056	
0.00798666	112.215	
0.00798306	112.097	
0.0079859	112.201	
0.00798565	112.23	
0.00798035	112.162	
0.00797946	112.037	
0.0079819	112.103	
0.00798035	112.004	
0.00798249	112.112	
0.00798415	112.185	
0.00798161	112.016	
0.00797998	112.093	
0.00798317	112.191	
0.00798004	112.057	
0.00798193	112.089	
0.00797693	111.977	
0.00798409	112.335	
0.00797965	112.084	
0.00793787	123.023	
0.00797845	112.104	
0.00797251	111.928	
0.00797164	111.919	
0.00797266	111.996	
0.00797562	112.07	
0.00797553	111.944	
0.00796956	112.088	
0.00797025	111.952	
0.00796431	111.966	
0.00796787	112.088	
0.00796367	111.925	
0.00796512	112.026	
0.00796371	111.994	
0.00795984	111.967	
0.00796141	111.996	
0.00796467	112.034	
0.00796236	112.109	
0.00795933	111.972	
0.00795838	111.982	
0.00796227	112.091	
0.00795716	112.226	
0.00795656	112.037	
0.00796123	112.024	
0.00796081	112.014	
0.00796302	112.139	
0.00792288	122.783	
0.00796355	112.23	
0.00795702	111.954	
0.00795662	112.038	
0.00795929	112.158	
0.0079585	112.137	
0.00795245	112.131	
0.00795428	112.097	
0.00795395	112.156	
0.00795427	112.239	
0.00795353	112.296	
0.00794873	112.231	
0.007953	112.153	
0.00795592	112.296	
0.0079508	112.126	
0.00794928	112.134	
0.00795142	112.215	
0.00795534	112.245	
0.00794963	112.175	
0.00795299	112.246	
0.00794713	112.307	
0.00794768	112.364	
0.00795075	112.273	
0.00795067	112.236	
0.00794767	112.18	
0.00794781	112.054	
0.00794837	112.255	
0.00794677	112.122	
0.0079464	112.115	
0.00794822	112.154	
0.00794761	112.141	
0.00791852	123.389	
0.00794541	112.198	
0.00794598	112.295	
0.00795	112.367	
0.00794615	112.08	
0.00794663	112.117	
0.00794669	112.123	
0.00794148	112.164	
0.00794298	112.052	
0.00794064	112.099	
0.00794707	112.177	
0.00794781	112.305	
0.00794509	112.13	
0.00813669	101.215	
0.00794136	112.179	
0.00794307	112.133	
0.00793793	112.203	
0.00793889	112.241	
0.00791443	123.603	
0.00793824	112.224	
0.00793701	112.148	
0.0079404	112.18	
0.00793598	112.253	
0.00793956	112.35	
0.00789716	122.85	
0.0079393	112.217	
0.0079371	112.266	
0.00793953	112.23	
0.00790529	123.3	
0.00793197	112.232	
0.00793329	112.076	
0.00793713	112.132	
0.0079325	112.158	
0.00793731	112.048	
0.00793819	112.161	
0.00793895	112.232	
0.00793902	112.073	
0.00794018	112.167	
0.00793953	112.157	
0.00793566	112.16	
0.00793831	112.182	
0.00793795	112.244	
0.00792774	124.674	
0.00793451	112.12	
0.00793469	112.101	
0.00790288	123.138	
0.00793707	112.199	
0.00793579	112.043	
0.00793682	112.237	
0.00793818	112.212	
0.00793828	112.202	
0.00793577	112.177	
0.00793403	112.19	
0.00793539	112.049	
0.00793068	112.225	
0.00793376	112.112	
0.00793392	112.307	
0.00790029	123.025	
0.00793223	112.119	
0.00793091	112.002	
0.00793529	112.055	
0.0079054	123.346	
0.00793272	112.096	
0.00793988	112.164	
0.00793059	112.283	
0.00792909	112.393	
0.00793126	112.133	
0.00793132	111.963	
0.00793377	112.101	
0.00793305	112.109	
0.00792929	112.198	
0.00792134	124.452	
0.00793513	112.204	
0.00793466	112.224	
0.00793051	112.107	
0.00793362	112.246	
0.00793289	112.161	
0.00793483	112.16	
0.00792771	112.054	
0.00793532	112.186	
0.00793078	112.089	
0.00793153	112.132	
0.00792981	112.254	
0.00793073	112.289	
0.00792683	112.05	
0.00792778	112.104	
0.00789337	122.915	
0.00789278	122.92	
0.00792493	112.205	
0.0079226	112.229	
0.00792447	112.173	
0.00792155	112.236	
0.00792296	112.281	
0.00792187	112.359	
0.00792311	112.086	
0.00792612	112.26	
0.00792185	112.36	
0.00792572	112.22	
0.00792534	112.154	
