37	2
0.0113359	57.163	
0.00921753	62.5788	
0.00824929	74.3688	
0.00775517	81.8417	
0.00841443	78.2492	
0.00831506	75.7674	
0.00810589	70.4556	
0.00816586	73.4304	
0.00817937	73.5712	
0.00814938	72.675	
0.00811506	72.1275	
0.00813889	72.7216	
0.00803153	69.8968	
0.00811798	72.3441	
0.00807243	71.4194	
0.00804592	72.3837	
0.00808852	71.7898	
0.00809497	72.0548	
0.00808763	70.8935	
0.00804988	70.9412	
0.00812827	73.1119	
0.00806844	71.6212	
0.00801254	70.2797	
0.00807009	71.7096	
0.00808285	72.1489	
0.00805229	71.4838	
0.0080506	71.2473	
0.00809387	72.4344	
0.00810522	72.8565	
0.00811729	73.4201	
0.00813056	73.659	
0.00807282	72.0124	
0.00812301	73.5236	
0.00803851	71.152	
0.00807547	72.1459	
0.00809906	72.7411	
0.00810077	73.0658	
