30	2
4.0906	3.30154e+06	
9.64562	6.97888e+06	
11.387	7.43714e+06	
12.1969	7.75553e+06	
13.0792	8.21594e+06	
13.8167	8.68045e+06	
14.5655	9.16421e+06	
15.2905	9.66133e+06	
16.0121	1.01757e+07	
16.7165	1.06638e+07	
17.3929	1.10662e+07	
18.048	1.14031e+07	
18.6918	1.16959e+07	
19.329	1.1962e+07	
19.9712	1.2242e+07	
20.443	1.24457e+07	
20.5545	1.24427e+07	
20.5064	1.23339e+07	
20.4869	1.22537e+07	
20.4726	1.21966e+07	
20.4701	1.21663e+07	
20.4827	1.21578e+07	
20.5062	1.21584e+07	
20.5326	1.21645e+07	
20.5555	1.21702e+07	
20.574	1.21749e+07	
20.5893	1.21785e+07	
20.6027	1.21814e+07	
20.615	1.21844e+07	
20.6265	1.21872e+07	
