145	2
0.0121472	38308.2	
0.00793388	37962.5	
0.00718553	37900.1	
0.00710579	37828.2	
0.00720294	37824.6	
0.00731703	37837.6	
0.00744812	37849.2	
0.00762664	37861.3	
0.00792401	37875.2	
0.0081715	37889.3	
0.00841662	37903.4	
0.00874139	37915.5	
0.00906811	37926.2	
0.00941044	37934.6	
0.00970739	37942.3	
0.00995996	37948.7	
0.0101937	37954.4	
0.0103656	37958.6	
0.0104769	37962.4	
0.010604	37965.6	
0.0108515	38285.7	
0.0107411	37971.2	
0.010955	38291	
0.0108598	37975.7	
0.0108918	37977.6	
0.0109245	37979.1	
0.0109647	37981.1	
0.0109456	37982.4	
0.010951	37983.3	
0.0110027	37984.6	
0.0110069	37985.6	
0.011233	38304.7	
0.0110433	37987.1	
0.0110128	37988	
0.0109942	37988.1	
0.0110211	37988.8	
0.0110117	37989.2	
0.0110557	37989.5	
0.0110599	37989.9	
0.0110594	37990.1	
0.0110261	37990.1	
0.0110268	37990.7	
0.0110757	37991	
0.011033	37991.2	
0.0110377	37991.3	
0.0110348	37991.2	
0.0110524	37991.4	
0.0110684	37991.6	
0.0110635	37991.6	
0.0110278	37991.8	
0.0110363	37991.9	
0.0110258	37991.7	
0.011075	37991.8	
0.0110355	37992.1	
0.0110662	37992.1	
0.0110152	37991.8	
0.0110648	37992.2	
0.0110628	37992.1	
0.0110304	37991.9	
0.0110647	37992.4	
0.0110712	37992.2	
0.0110303	37992.3	
0.0110322	37992.5	
0.0110318	37991.9	
0.0110211	37992.4	
0.0110591	37992.3	
0.0110357	37992.7	
0.0110585	37992.5	
0.011026	37992.7	
0.0110635	37992.4	
0.0110342	37992.7	
0.0112057	38310.4	
0.0110644	37992.5	
0.0110682	37992.6	
0.0112252	38310.2	
0.0110142	37992.5	
0.011065	37992.7	
0.0110301	37992.9	
0.0110382	37992.8	
0.0110326	37992.7	
0.0110701	37992.7	
0.0111029	37993.1	
0.0111968	38310.9	
0.0110684	37992.9	
0.0110689	37992.8	
0.0110292	37992.8	
0.0112215	38310.5	
0.0110255	37992.7	
0.0112014	38310.7	
0.0110619	37992.7	
0.0110678	37992.8	
0.0110279	37992.8	
0.0110638	37992.7	
0.0110303	37992.9	
0.0111922	38310.6	
0.0110544	37992.8	
0.0110183	37992.8	
0.0110183	37992.7	
0.0110338	37992.4	
0.0110638	37992.8	
0.0112177	38310.5	
0.0110237	37992.7	
0.0110623	37993	
0.0110587	37992.6	
0.01103	37993	
0.0110559	37992.7	
0.0110624	37992.7	
0.0110328	37992.9	
0.011057	37992.8	
0.0110239	37992.8	
0.0110596	37992.7	
0.0110624	37992.8	
0.0110493	37992.6	
0.0110237	37992.8	
0.0110331	37992.7	
0.0110185	37992.9	
0.0110263	37992.6	
0.0110229	37992.5	
0.0110246	37992.6	
0.0110198	37992.6	
0.0110341	37993	
0.0112253	38310.5	
0.0110249	37992.1	
0.0110196	37992.8	
0.0110056	37992.5	
0.011051	37992.3	
0.0112156	38310	
0.0110247	37992.8	
0.0110493	37992.2	
0.011065	37992.6	
0.0110197	37992.5	
0.0110481	37992.4	
0.0110169	37992.5	
0.0110208	37992.6	
0.0110168	37992.6	
0.0110089	37992.3	
0.0112049	38310.9	
0.0112097	38310.1	
0.0110038	37992.4	
0.0112115	38309.8	
0.0111828	38310.5	
0.0110384	37992.1	
0.0110491	37992.3	
0.0111699	38310.3	
0.0111861	38310.4	
