328	2
0.00723664	37320.4	
0.00716194	37347.3	
0.00718593	37381.7	
0.0071998	37401.7	
0.00727582	37419.2	
0.00735337	37438.1	
0.00753158	37455.8	
0.00772083	37468.4	
0.00793107	37479.2	
0.00817933	37490.7	
0.00838698	37499.9	
0.00859972	37507.6	
0.00880831	37514.3	
0.00890557	37520	
0.00903404	37524.2	
0.00916607	37527.8	
0.00919573	37530.3	
0.00933512	37533.8	
0.00936443	37535.7	
0.00947075	37538.4	
0.00951592	37540	
0.009491	37540.7	
0.00958652	37543	
0.00959076	37544.1	
0.00964309	37545.2	
0.00970321	37546.1	
0.00972142	37546.7	
0.00976432	37547.6	
0.00978095	37548.2	
0.00980759	37548.9	
0.00983449	37549.3	
0.00987101	37549.8	
0.00987296	37550	
0.00987604	37550.7	
0.00993369	37551.6	
0.00996574	37551.8	
0.0099699	37552.3	
0.0100275	37552.9	
0.0100574	37553.2	
0.0100673	37553.5	
0.0101016	37554.3	
0.0101321	37554.8	
0.0101569	37554.9	
0.0101796	37555.1	
0.0102107	37556	
0.010223	37556.3	
0.010253	37556.5	
0.0102605	37556.8	
0.0102841	37557.2	
0.0103092	37557.4	
0.0102993	37557.7	
0.0103333	37557.7	
0.0103439	37558.2	
0.0103309	37558.3	
0.0103672	37558.4	
0.0103546	37558.4	
0.0103896	37558.7	
0.0103709	37559	
0.0104039	37559.1	
0.0104141	37559.6	
0.010384	37559	
0.0104136	37559.3	
0.0104011	37559.5	
0.010417	37559.6	
0.0104286	37559.6	
0.0104975	37560.5	
0.0104303	37559.6	
0.0104401	37559.9	
0.0104113	37560	
0.0104526	37560.3	
0.0104477	37560.2	
0.0104269	37560.3	
0.010431	37560.2	
0.0105216	37561.3	
0.0104676	37560.5	
0.0104727	37560.7	
0.010464	37561	
0.0105328	37561.7	
0.0104539	37561	
0.0104765	37561.2	
0.0104755	37561	
0.0104513	37560.9	
0.0104525	37561.1	
0.0104576	37561.1	
0.0104872	37561.3	
0.0104625	37561.3	
0.0104956	37561.5	
0.0104675	37561	
0.0104643	37561.5	
0.0104929	37561.6	
0.0104874	37561.6	
0.010468	37561.8	
0.0104998	37561.8	
0.0104959	37561.9	
0.0104956	37562	
0.0105035	37561.9	
0.0105066	37562	
0.0105002	37562.2	
0.010486	37562	
0.0104996	37562.1	
0.0105136	37562.4	
0.0105033	37562.2	
0.0105102	37562.3	
0.0105117	37562.3	
0.0105074	37562.5	
0.0104912	37562.6	
0.0104849	37562.5	
0.0105092	37562.7	
0.0105167	37562.6	
0.0105211	37562.7	
0.0105219	37562.7	
0.0104932	37562.7	
0.010536	37562.8	
0.010528	37563.2	
0.0105231	37563.1	
0.0105059	37563.2	
0.0104982	37562.7	
0.0105299	37563.5	
0.0105276	37563.3	
0.01051	37563.3	
0.0105258	37563.4	
0.010528	37563.4	
0.0105247	37563.3	
0.0105406	37563.7	
0.0105383	37563.8	
0.010608	37564.8	
0.0105168	37563.9	
0.0105184	37563.8	
0.0105406	37563.8	
0.010521	37563.9	
0.0105228	37564	
0.0105481	37564.1	
0.0105507	37564.4	
0.0105549	37564.2	
0.0105269	37564.1	
0.0105337	37564.3	
0.0105641	37564.5	
0.0105595	37564.5	
0.0105301	37564.8	
0.0105338	37564.6	
0.010537	37564.8	
0.0105622	37564.5	
0.0106315	37565.8	
0.0105538	37564.8	
0.0105753	37564.9	
0.010577	37565.6	
0.0105386	37565	
0.0105493	37565.3	
0.0105692	37565.6	
0.0105746	37565.5	
0.0105813	37565.8	
0.010565	37565.5	
0.0105667	37565.2	
0.0105897	37565.8	
0.0105887	37565.9	
0.0105645	37566.1	
0.0106115	37566.4	
0.010597	37566.2	
0.0105738	37566.5	
0.0105776	37566.4	
0.010597	37566.5	
0.0105688	37566.1	
0.0105868	37566.5	
0.0106071	37566.8	
0.0106121	37566.9	
0.0105906	37567	
0.0106029	37566.8	
0.0105808	37566.8	
0.0105881	37567.1	
0.0105969	37567.6	
0.0106136	37567	
0.0105998	37567	
0.0105876	37567	
0.010612	37567.3	
0.0106152	37567.4	
0.0106033	37568.1	
0.0106308	37567.6	
0.010631	37567.8	
0.0106077	37568	
0.0106305	37568	
0.0106316	37568	
0.0106069	37568.3	
0.0106301	37568.1	
0.0106053	37567.9	
0.0106547	37568.9	
0.0106166	37568.5	
0.0106433	37568.8	
0.0106444	37568.6	
0.0106187	37568.9	
0.0106418	37568.7	
0.0107159	37570	
0.0106609	37569.3	
0.0106551	37569.1	
0.0106319	37569.2	
0.0106535	37569.2	
0.0106264	37569.2	
0.0106412	37569.6	
0.0106557	37569.5	
0.0106637	37569.8	
0.0106545	37569.7	
0.0106762	37569.7	
0.0106517	37570.2	
0.010651	37570.5	
0.010632	37570.2	
0.0106645	37570.7	
0.010765	37571.1	
0.0106517	37570.4	
0.0106821	37570.8	
0.0106766	37570.4	
0.0107031	37571	
0.0106768	37570.9	
0.0106881	37570.8	
0.0106842	37570.9	
0.0106547	37570.8	
0.0106873	37571.3	
0.0106662	37571.5	
0.0106604	37571.2	
0.0106684	37571.3	
0.0106895	37571.5	
0.0106772	37571.3	
0.0106691	37571.5	
0.0107199	37572.2	
0.0106776	37571.6	
0.0106781	37572.1	
0.0107001	37572.4	
0.01067	37572.3	
0.0106801	37572.3	
0.0106827	37572.2	
0.0106786	37572.1	
0.0107086	37572.4	
0.010676	37571.9	
0.0107063	37573.2	
0.0106888	37573.1	
0.0106934	37573.3	
0.0106955	37573.1	
0.0107178	37572.9	
0.0106923	37572.8	
0.0106923	37573.3	
0.0106972	37573.2	
0.0107244	37573.2	
0.010722	37573	
0.0107313	37573.5	
0.0107	37573.7	
0.0107069	37573.5	
0.0107985	37574.5	
0.0107031	37573.2	
0.0107102	37573.3	
0.0107401	37574	
0.0107023	37574	
0.0107328	37573.8	
0.0107302	37573.8	
0.0108102	37575.5	
0.0107161	37574.4	
0.0107338	37573.8	
0.0108079	37575.6	
0.0107365	37574.3	
0.0107318	37573.9	
0.0107098	37574.4	
0.0107375	37574.2	
0.0107475	37574.3	
0.0107565	37575.2	
0.0107427	37575	
0.0107513	37575.1	
0.0108183	37576.2	
0.0107438	37574.9	
0.0107143	37574.8	
0.0107377	37575.1	
0.010726	37575.2	
0.0107242	37575.2	
0.0107576	37575	
0.0107421	37575	
0.0107452	37574.8	
0.0107229	37575	
0.0107216	37574.9	
0.0107425	37574.6	
0.0107445	37575	
0.0107464	37574.9	
0.0107443	37575.1	
0.0108307	37577.1	
0.0107312	37575.4	
0.0107309	37575.6	
0.0107613	37575.7	
0.0107558	37575.5	
0.0107199	37575.4	
0.0107608	37575.7	
0.0108459	37576.4	
0.0108327	37577.1	
0.010731	37575.4	
0.0107453	37575.5	
0.0108238	37576.9	
0.0107211	37575.3	
0.0107542	37575.6	
0.0107252	37575.7	
0.010755	37575.6	
0.010749	37575.2	
0.0107407	37575.9	
0.0107551	37575.4	
0.0108204	37576.6	
0.0107585	37575.7	
0.0108572	37576.4	
0.0107556	37575.7	
0.0107303	37575.9	
0.0107271	37575.8	
0.010726	37575.6	
0.0107474	37575.5	
0.0107474	37575.5	
