46	2
0.0155099	40087.6	
0.00751023	40029.6	
0.00687135	39977.9	
0.0074988	39936.7	
0.00763284	39931.8	
0.00757909	39934.4	
0.00755655	39935.8	
0.00755195	39937.5	
0.00748852	39940	
0.00750473	39941.5	
0.00750344	39943.2	
0.0074835	39945	
0.00748274	39947.7	
0.0074738	39950	
0.00747962	39952.4	
0.0075008	39954.8	
0.00750392	39958.6	
0.00754736	39960.7	
0.00758144	39963.7	
0.00762415	39966.9	
0.00767622	39970.4	
0.0077249	39974	
0.00778843	39976.8	
0.00784325	39980.4	
0.00792631	39983.1	
0.00799832	39985.7	
0.00805235	39988.3	
0.00812136	39990.5	
0.00816564	39992.7	
0.00824374	39994.5	
0.00831155	39996.1	
0.00832912	39998.1	
0.00838882	39999.5	
0.00842969	40001.2	
0.00846245	40002.1	
0.00849184	40003.2	
0.00852777	40004.5	
0.00857599	40005.2	
0.00860592	40006.3	
0.00863849	40007.3	
0.00864773	40007.9	
0.00868987	40008.5	
0.0086924	40008.7	
0.00872249	40009.8	
0.00873968	40010.6	
0.00877323	40011	
