300	2
0.0155117	40087.5	
0.0075016	40029.5	
0.00689964	39976.5	
0.00751857	39936.3	
0.00780827	39925.3	
0.0077136	39928.7	
0.00768594	39930.5	
0.00764864	39932.5	
0.00763532	39933.8	
0.0076134	39935.4	
0.00760278	39937.2	
0.00759775	39938.9	
0.00757675	39941.4	
0.00757526	39942.9	
0.00756614	39945	
0.00756986	39946.9	
0.00758414	39949	
0.00760182	39950.8	
0.00759586	39953.5	
0.00762198	39955.8	
0.00765184	39958.8	
0.00768201	39961.7	
0.00773301	39964.5	
0.00777192	39967.3	
0.0078099	39970.6	
0.00787085	39973.7	
0.0079234	39976.1	
0.00797969	39978.1	
0.00801479	39981	
0.00806662	39982.6	
0.00810416	39984.8	
0.00814418	39986.3	
0.00819305	39987.6	
0.00823758	39989	
0.00825335	39990.4	
0.00829893	39991.2	
0.00832725	39992.2	
0.00834599	39993.2	
0.0083771	39994.1	
0.00838393	39995.1	
0.00840053	39995.6	
0.00842039	39995.6	
0.00843967	39996.7	
0.00846881	39997.3	
0.00845752	39997.7	
0.0084819	39998.1	
0.00849015	39998.3	
0.0084975	39999.1	
0.00852639	39999.2	
0.00851923	39999.7	
0.00853195	39999.9	
0.00855215	40000	
0.00854379	40000.5	
0.00855434	40000.6	
0.00856081	40000.6	
0.00857381	40001	
0.00858889	40001.1	
0.00859864	40001.1	
0.00858756	40001.6	
0.00859661	40001.5	
0.00860616	40002	
0.00859941	40002.2	
0.00861345	40001.9	
0.00863095	40002.2	
0.00861863	40002.4	
0.00862823	40002.4	
0.00862909	40002.6	
0.00864167	40002.8	
0.00863209	40002.8	
0.00864002	40003.1	
0.00865094	40003.1	
0.00864428	40002.7	
0.00865427	40003.1	
0.00868951	40002.9	
0.00866971	40003.1	
0.00867705	40003.2	
0.00868045	40003.5	
0.00866958	40003.6	
0.00866933	40003.6	
0.00869687	40003.1	
0.00870156	40003.7	
0.00868739	40003.8	
0.00870439	40003.3	
0.00869468	40004.1	
0.00870046	40003.6	
0.00868615	40004.1	
0.00869143	40004.1	
0.00871459	40003.6	
0.0085475	39576.1	
0.00869394	40003.9	
0.00870429	40003.8	
0.00871959	40004.4	
0.00870592	40004.2	
0.00870863	40003.8	
0.00870655	40004.3	
0.00870544	40004.3	
0.00869983	40004.1	
0.00870123	40004.3	
0.00872585	40004.2	
0.00870981	40004.2	
0.00871418	40004.5	
0.00871809	40004.8	
0.00871116	40004.5	
0.00872941	40004.4	
0.00871662	40004.4	
0.00871949	40004.4	
0.00871865	40004.7	
0.00873644	40004.4	
0.00872356	40004.6	
0.00872192	40004.7	
0.00871261	40004.4	
0.00872113	40004.9	
0.00872429	40004.5	
0.00873483	40004.7	
0.00873945	40004.6	
0.00873523	40004.5	
0.0087369	40004.6	
0.00873194	40004.9	
0.00872584	40004.9	
0.00873303	40005	
0.00873959	40004.8	
0.00874358	40004.9	
0.00875087	40004.7	
0.00874486	40004.8	
0.00875159	40005	
0.00874069	40005.1	
0.00873766	40005	
0.00873083	40004.9	
0.00874176	40005	
0.00874595	40005.1	
0.00875526	40005.2	
0.00874701	40005.1	
0.00874302	40005.2	
0.00876307	40004.7	
0.00874929	40005.1	
0.00873663	40005.4	
0.00874072	40005.3	
0.00874129	40005.2	
0.00873853	40005.1	
0.00875211	40005.2	
0.00874891	40005.2	
0.00876849	40005	
0.00874391	40005	
0.00875577	40005.1	
0.00874867	40005.3	
0.00876015	40005.3	
0.00875566	40004.9	
0.00876467	40005.2	
0.00874551	40005.4	
0.00877076	40005.2	
0.00876141	40005.1	
0.00874352	40005.3	
0.00876162	40005.7	
0.00861659	39577	
0.0087614	40005.2	
0.00875483	40005.4	
0.008766	40005.1	
0.00877274	40005.3	
0.00875875	40005.5	
0.00875834	40005.4	
0.00879994	40005.5	
0.00876807	40005.6	
0.00876129	40005.6	
0.00876742	40005.4	
0.00878061	40005.3	
0.00877889	40005.1	
0.00875994	40005.2	
0.00876715	40005.8	
0.0087526	40005.6	
0.00875752	40005.8	
0.00877013	40005.4	
0.00876619	40005.3	
0.00875967	40005.2	
0.00877498	40005.1	
0.00876236	40005.5	
0.0087625	40005.4	
0.00876316	40005.4	
0.00877848	40005.7	
0.00877198	40005.7	
0.00876963	40005.6	
0.00877143	40005.7	
0.00875959	40005.5	
0.00877787	40005.4	
0.00877127	40005.4	
0.00876855	40005.5	
0.0086175	39577.8	
0.00876261	40005.3	
0.00876749	40005.6	
0.00877588	40005.6	
0.00875702	40005.8	
0.00876763	40005.6	
0.00877754	40005.3	
0.00878367	40005.7	
0.00876733	40005.4	
