61	2
0.013266	9591.23	
0.00678792	9577.66	
0.00709483	9461.94	
0.00734412	9459.69	
0.00722679	9461.64	
0.00714734	9463.28	
0.00725147	9566.42	
0.0073015	9568.19	
0.00739168	9570.16	
0.00755129	9572.35	
0.00780168	9574.57	
0.00815024	9576.63	
0.00830298	9476.56	
0.0085388	9477.78	
0.00873292	9478.76	
0.00884643	9479.31	
0.00898651	9479.96	
0.00910827	9480.48	
0.00920011	9480.87	
0.00927588	9481.2	
0.00951266	9583.44	
0.00936834	9481.66	
0.00940022	9481.82	
0.00943069	9481.99	
0.0094549	9482.12	
0.00948268	9482.27	
0.00950741	9482.39	
0.00953061	9482.51	
0.00955175	9482.63	
0.00956704	9482.72	
0.00958726	9482.82	
0.00959952	9482.89	
0.00961021	9482.95	
0.00962434	9483.02	
0.00963242	9483.06	
0.0096392	9483.09	
0.00964381	9483.13	
0.00964763	9483.15	
0.00964831	9483.16	
0.00965289	9483.18	
0.0096536	9483.18	
0.00964821	9483.18	
0.00965653	9483.21	
0.00965598	9483.2	
0.00965458	9483.21	
0.00965284	9483.21	
0.00965419	9483.21	
0.00965199	9483.2	
0.0096528	9483.21	
0.00964761	9483.19	
0.00964683	9483.18	
0.00964638	9483.18	
0.00963794	9483.15	
0.00964936	9483.16	
0.00963436	9483.14	
0.00963773	9483.15	
0.00963194	9483.14	
0.0096343	9483.15	
0.00963336	9483.15	
0.00963337	9483.15	
0.00994135	9585.51	
