141	2
0.00822927	5783.41	
0.00584733	5655.61	
0.00760983	5707.57	
0.00743804	5708.71	
0.00725683	5709.92	
0.0070556	5711.23	
0.00669139	5652.27	
0.0064614	5653.96	
0.00622818	5655.91	
0.00601044	5658.15	
0.00583411	5660.37	
0.00574968	5662.73	
0.00579998	5665.45	
0.00609038	5668.47	
0.00641183	5670.4	
0.00657507	5671.37	
0.0067294	5672.2	
0.00689928	5672.99	
0.00711351	5673.84	
0.00732498	5674.62	
0.00752719	5675.31	
0.0078537	5676.09	
0.008091	5676.81	
0.00828463	5677.32	
0.00855457	5677.82	
0.00878556	5678.22	
0.00897695	5678.52	
0.00914853	5678.79	
0.00922867	5678.9	
0.00925358	5678.93	
0.00926497	5678.93	
0.00929728	5678.93	
0.00931872	5678.92	
0.00935326	5678.99	
0.00935629	5678.96	
0.00935962	5678.92	
0.00936111	5678.87	
0.00937348	5678.83	
0.00937548	5678.81	
0.0093781	5678.81	
0.00939735	5678.87	
0.00939611	5678.87	
0.00939306	5678.86	
0.00938882	5678.85	
0.0093836	5678.84	
0.00937734	5678.83	
0.0093709	5678.82	
0.00936463	5678.81	
0.00935891	5678.81	
0.00935384	5678.8	
0.00934985	5678.79	
0.00960212	5739.41	
0.00960019	5739.4	
0.00959934	5739.4	
0.00959762	5739.39	
0.00959541	5739.39	
0.00959263	5739.38	
0.00958943	5739.38	
0.00958549	5739.37	
0.00958064	5739.36	
0.00957487	5739.36	
0.00956807	5739.35	
0.00956006	5739.34	
0.00955056	5739.32	
0.00954014	5739.31	
0.00952844	5739.3	
0.00951614	5739.28	
0.00948581	5739.24	
0.00947157	5739.22	
0.00945712	5739.2	
0.00944365	5739.18	
0.00943201	5739.17	
0.00942077	5739.15	
0.00941199	5739.14	
0.00940431	5739.13	
0.0093982	5739.13	
0.00939265	5739.12	
0.00938817	5739.11	
0.00938338	5739.11	
0.00937957	5739.1	
0.0093762	5739.1	
0.00937218	5739.09	
0.00936875	5739.09	
0.00936589	5739.08	
0.00936333	5739.08	
0.00936053	5739.08	
0.00935816	5739.07	
0.00935595	5739.07	
0.00935411	5739.07	
0.00935219	5739.07	
0.0093502	5739.06	
0.00934861	5739.06	
0.0093469	5739.06	
0.0093453	5739.06	
0.00934364	5739.05	
0.009342	5739.05	
0.00934068	5739.05	
0.00933927	5739.05	
0.00933774	5739.05	
0.00933623	5739.05	
0.00933456	5739.04	
0.00933308	5739.04	
0.0093315	5739.04	
0.00932979	5739.04	
0.00932822	5739.04	
0.0093267	5739.03	
0.00932476	5739.03	
0.00932244	5739.03	
0.00932038	5739.03	
0.00931806	5739.02	
0.00931555	5739.02	
0.00931292	5739.02	
0.00931031	5739.01	
0.00930748	5739.01	
0.00930478	5739.01	
0.00930113	5739	
0.00929809	5739	
0.00929626	5739	
0.00929348	5738.99	
0.0092897	5738.99	
0.00928676	5738.99	
0.00928435	5738.98	
0.00928182	5738.98	
0.00927947	5738.98	
0.00927722	5738.97	
0.00927488	5738.97	
0.00927281	5738.97	
0.0092708	5738.96	
0.00926885	5738.96	
0.00926697	5738.96	
0.00926526	5738.96	
0.00926358	5738.96	
0.00926207	5738.95	
0.00926073	5738.95	
0.00925953	5738.95	
0.00925842	5738.95	
0.00925742	5738.95	
0.00925651	5738.95	
0.00925591	5738.95	
0.00925528	5738.94	
0.00925459	5738.94	
