31	2
424.296	2433.96	
76.12	3776.27	
19.2177	3974.69	
18.405	3486.16	
5.52703	3284.53	
2.88399	3779.78	
37.2288	4157.94	
28.7907	5355.4	
2.90771	4007.78	
176.431	4247.76	
2148.53	7347.19	
56.4866	2504.49	
10.8101	3781.23	
90.5144	5659.49	
43.7512	3732.44	
307.648	3617.35	
44.9031	4627.91	
26.5931	2095.16	
1043.87	-74429.7	
2.34585	3367.96	
11.2315	1688.42	
17.394	4073.72	
437.165	6092.17	
121.401	5455.12	
27335.3	2.02767e+06	
33.5032	4445.18	
70.8202	4347.58	
514.426	13868.3	
9.06125	3624.42	
116.283	-2055.27	
73.0986	1292.32	
