11364 
0 1 2 
 3 0 2 
 1 6 7 
 1 7 2 
 8 3 2 
 8 2 7 
 9 3 8 
 4 12 13 
 5 4 14 
 14 4 13 
 6 5 15 
 7 6 15 
 15 5 14 
 7 15 16 
 17 8 7 
 7 16 17 
 18 9 8 
 18 8 17 
 19 9 18 
 10 20 22 
 11 10 23 
 23 10 22 
 12 11 24 
 13 12 24 
 24 11 23 
 13 24 25 
 14 13 26 
 26 13 25 
 15 14 27 
 16 15 27 
 27 14 26 
 16 27 28 
 28 17 16 
 29 18 17 
 29 17 28 
 30 19 18 
 30 18 29 
 31 19 30 
 20 21 33 
 22 20 33 
 21 32 34 
 33 21 34 
 22 33 35 
 23 22 36 
 36 22 35 
 24 23 37 
 25 24 37 
 37 23 36 
 25 37 38 
 26 25 39 
 39 25 38 
 27 26 40 
 27 40 28 
 40 26 39 
 41 29 28 
 41 28 40 
 42 30 29 
 42 29 41 
 43 31 30 
 43 30 42 
 44 31 43 
 32 45 34 
 45 46 34 
 33 34 46 
 35 33 46 
 46 47 35 
 36 35 48 
 48 35 47 
 37 36 49 
 38 37 49 
 49 36 48 
 38 49 50 
 38 50 51 
 40 39 52 
 39 38 52 
 52 38 51 
 53 41 40 
 40 52 53 
 54 42 41 
 54 41 53 
 55 43 42 
 55 42 54 
 56 44 43 
 56 43 55 
 57 44 56 
 45 58 46 
 46 58 59 
 46 59 47 
 47 59 60 
 47 60 48 
 60 61 48 
 49 48 61 
 50 49 61 
 61 62 50 
 51 50 62 
 51 62 63 
 64 53 52 
 52 51 64 
 51 63 64 
 65 54 53 
 65 53 64 
 66 55 54 
 66 54 65 
 67 56 55 
 67 55 66 
 68 57 56 
 68 56 67 
 69 57 68 
 58 70 59 
 59 70 71 
 59 71 60 
 60 71 72 
 60 72 61 
 61 72 73 
 61 73 62 
 62 73 74 
 62 74 63 
 63 74 75 
 63 75 64 
 76 65 64 
 76 64 75 
 77 66 65 
 77 65 76 
 78 67 66 
 78 66 77 
 79 68 67 
 79 67 78 
 80 69 68 
 80 68 79 
 81 69 80 
 70 82 71 
 71 82 83 
 71 83 72 
 72 83 84 
 72 84 73 
 73 84 85 
 73 85 74 
 74 85 86 
 74 86 75 
 75 86 87 
 88 77 76 
 75 87 88 
 75 88 76 
 89 78 77 
 89 77 88 
 90 79 78 
 90 78 89 
 91 80 79 
 91 79 90 
 92 81 80 
 92 80 91 
 93 81 92 
 82 94 83 
 83 94 95 
 83 95 84 
 84 95 96 
 84 96 85 
 85 96 97 
 85 97 86 
 86 97 98 
 86 98 87 
 87 98 99 
 100 89 88 
 100 88 87 
 87 99 100 
 101 90 89 
 101 89 100 
 102 91 90 
 102 90 101 
 103 92 91 
 103 91 102 
 104 93 92 
 104 92 103 
 105 93 104 
 94 106 95 
 95 106 107 
 95 107 96 
 96 107 108 
 96 108 97 
 97 108 109 
 97 109 98 
 98 109 110 
