11587 
0 1 2 
 3 0 2 
 1 6 7 
 1 7 2 
 8 3 2 
 8 2 7 
 9 3 8 
 4 10 13 
 5 4 14 
 14 4 13 
 6 5 15 
 7 6 15 
 15 5 14 
 7 15 16 
 17 8 7 
 7 16 17 
 18 9 8 
 18 8 17 
 19 9 18 
 10 11 20 
 13 10 20 
 11 12 21 
 20 11 21 
 21 12 22 
 12 23 22 
 13 20 25 
 14 13 26 
 26 13 25 
 15 14 27 
 16 15 27 
 27 14 26 
 16 27 28 
 28 17 16 
 29 18 17 
 29 17 28 
 30 19 18 
 30 18 29 
 31 19 30 
 20 21 32 
 25 20 32 
 21 22 33 
 32 21 33 
 33 22 34 
 23 24 35 
 22 23 35 
 22 35 34 
 35 24 36 
 24 37 36 
 25 32 38 
 26 25 39 
 39 25 38 
 27 26 40 
 27 40 28 
 40 26 39 
 41 29 28 
 41 28 40 
 42 30 29 
 42 29 41 
 43 31 30 
 43 30 42 
 44 31 43 
 32 33 45 
 38 32 45 
 38 45 46 
 33 34 47 
 45 33 47 
 47 34 48 
 35 36 49 
 34 35 49 
 49 48 34 
 37 50 36 
 50 49 36 
 38 46 51 
 40 39 52 
 39 38 52 
 52 38 51 
 53 41 40 
 40 52 53 
 54 42 41 
 54 41 53 
 55 43 42 
 55 42 54 
 56 44 43 
 56 43 55 
 57 44 56 
 51 46 58 
 45 47 59 
 46 45 59 
 59 58 46 
 48 60 47 
 60 59 47 
 49 61 48 
 48 61 60 
 50 62 49 
 49 62 61 
 51 58 63 
 64 53 52 
 52 51 64 
 51 63 64 
 65 54 53 
 65 53 64 
 66 55 54 
 66 54 65 
 67 56 55 
 67 55 66 
 68 57 56 
 68 56 67 
 69 57 68 
 58 70 63 
 59 71 58 
 58 71 70 
 60 72 59 
 59 72 71 
 61 73 60 
 60 73 72 
 62 74 61 
 61 74 73 
 63 70 75 
 76 65 64 
 76 64 63 
 63 75 76 
 77 66 65 
 77 65 76 
 78 67 66 
 78 66 77 
 79 68 67 
 79 67 78 
 80 69 68 
 80 68 79 
 81 69 80 
 70 82 75 
 71 83 70 
 70 83 82 
 72 84 71 
 71 84 83 
 73 85 72 
 72 85 84 
 74 86 73 
 73 86 85 
 75 82 87 
 88 77 76 
 75 87 88 
 88 76 75 
 89 78 77 
 89 77 88 
 90 79 78 
 90 78 89 
 91 80 79 
 91 79 90 
 92 81 80 
 92 80 91 
 93 81 92 
 82 94 87 
 83 95 82 
 82 95 94 
 84 96 83 
 83 96 95 
 85 97 84 
 84 97 96 
 86 98 85 
 85 98 97 
 87 94 99 
 99 88 87 
 100 89 88 
 100 88 99 
 101 90 89 
 101 89 100 
 102 91 90 
 102 90 101 
 103 92 91 
 103 91 102 
 104 93 92 
 104 92 103 
 105 93 104 
 94 106 99 
 95 107 94 
 94 107 106 
 96 108 95 
 95 108 107 
 97 109 96 
 96 109 108 
 98 110 97 
