2078 
0 1 2 
 3 0 2 
 1 5 6 
 1 6 2 
 4 3 7 
 7 3 2 
 7 2 6 
 4 7 8 
 9 4 8 
 5 10 11 
 6 5 11 
 6 11 12 
 7 6 12 
 13 8 7 
 12 13 7 
 14 9 8 
 13 14 8 
 10 15 16 
 11 10 16 
 11 16 17 
 17 12 11 
 18 13 12 
 17 18 12 
 19 14 13 
 18 19 13 
 15 23 24 
 16 15 24 
 16 24 25 
 25 17 16 
 26 18 17 
 25 26 17 
 27 19 18 
 26 27 18 
 20 21 28 
 29 20 30 
 30 20 28 
 21 22 32 
 28 21 32 
 28 32 31 
 31 32 34 
 31 34 33 
 32 22 35 
 22 36 35 
 23 37 38 
 24 23 38 
 24 38 39 
 39 25 24 
 40 26 25 
 39 40 25 
 41 27 26 
 40 41 26 
 30 28 42 
 42 28 31 
 43 29 44 
 44 29 30 
 44 30 45 
 45 30 42 
 42 31 46 
 46 31 33 
 46 33 47 
 33 48 47 
 32 35 49 
 49 34 32 
 49 50 34 
 34 50 33 
 33 50 48 
 36 51 35 
 51 49 35 
 37 52 53 
 38 37 53 
 38 53 54 
 54 39 38 
 55 40 39 
 54 55 39 
 56 41 40 
 55 56 40 
 45 42 57 
 57 42 46 
 57 46 58 
 59 43 60 
 60 43 44 
 60 44 61 
 61 44 45 
 61 45 62 
 62 45 57 
 58 46 65 
 46 47 65 
 48 66 47 
 66 65 47 
 50 67 48 
 48 67 66 
 51 68 49 
 49 68 50 
 50 68 67 
 52 69 70 
 53 52 70 
 71 55 54 
 53 70 71 
 71 54 53 
 72 56 55 
 71 72 55 
 58 65 73 
 62 57 74 
 74 57 58 
 74 58 73 
 63 59 75 
 75 59 60 
 75 60 76 
 76 60 61 
 76 61 77 
 77 61 62 
 77 62 78 
 78 62 74 
 79 63 80 
 80 63 75 
 82 64 83 
 64 84 83 
 66 86 65 
 65 86 87 
 65 87 73 
 87 86 88 
 73 87 89 
 67 90 66 
 66 90 86 
 68 91 67 
 67 91 90 
 68 92 91 
 73 89 94 
 93 94 89 
 69 95 97 
 70 69 97 
 97 98 70 
 98 71 70 
 99 72 71 
 98 99 71 
 72 99 100 
 101 72 100 
 94 102 73 
 78 74 102 
 73 102 74 
 80 75 103 
 103 75 76 
 103 76 104 
 104 76 77 
 104 77 105 
 77 78 105 
 102 105 78 
 81 79 108 
 108 79 80 
 108 80 109 
 109 80 103 
 107 81 110 
 110 81 108 
 116 82 117 
 117 82 83 
 84 85 118 
 84 118 83 
 117 83 118 
 85 115 119 
 118 85 119 
 86 90 122 
 86 122 88 
 88 122 124 
 125 89 87 
 87 88 125 
 88 124 125 
 123 120 126 
 126 120 93 
 125 126 89 
 126 93 89 
 90 91 127 
 90 127 122 
 91 92 128 
 91 128 127 
 92 129 128 
 120 121 130 
 120 130 93 
 121 131 130 
 132 94 93 
 93 130 132 
 132 133 94 
 133 102 94 
 95 96 135 
 97 95 135 
 96 134 136 
 135 96 136 
 142 98 97 
 97 135 142 
 143 99 98 
 142 143 98 
 99 143 144 
 99 144 100 
 138 101 145 
 145 101 100 
 145 100 144 
 133 149 102 
 102 149 105 
 109 103 150 
 150 103 104 
 149 151 105 
 150 104 151 
 105 151 104 
 155 106 156 
 106 107 157 
 156 106 157 
 157 107 110 
 158 109 150 
 110 108 159 
 159 108 109 
 159 109 158 
 157 110 160 
 110 159 160 
 111 137 162 
 112 111 163 
 163 111 162 
 113 112 164 
 164 112 163 
 114 113 165 
 165 113 164 
 115 114 166 
 119 115 166 
 166 114 165 
 161 116 167 
 167 116 117 
 167 117 168 
 168 117 118 
 118 119 169 
 118 169 168 
 119 166 170 
 169 119 170 
 171 172 123 
 123 172 120 
 120 172 121 
 172 173 121 
 121 173 131 
 173 174 131 
 122 127 176 
 122 176 124 
 177 171 123 
 177 123 126 
 124 176 178 
 124 178 125 
 179 177 126 
 179 126 125 
 178 179 125 
 127 128 180 
 127 180 176 
 128 129 181 
 128 181 180 
 129 182 181 
 183 175 171 
 183 171 177 
 131 174 184 
 131 184 130 
 184 132 130 
 184 185 132 
 132 185 133 
 185 186 133 
 133 186 149 
 134 146 187 
 136 134 187 
 135 136 188 
 187 188 136 
 188 142 135 
 137 139 189 
 162 137 189 
 141 138 190 
 190 138 145 
 139 140 191 
 189 139 191 
 140 141 192 
 191 140 192 
 192 141 190 
 193 143 142 
 188 193 142 
 143 193 194 
 144 143 194 
 190 145 195 
 144 194 195 
 195 145 144 
 146 147 196 
 187 146 196 
 147 148 197 
 196 147 197 
 148 152 198 
 197 148 198 
 186 199 149 
 149 199 151 
 199 200 151 
 200 158 150 
 150 151 200 
 152 153 201 
 198 152 201 
 153 154 202 
 201 153 202 
 154 155 203 
 202 154 203 
 203 155 156 
 203 156 204 
 156 157 205 
 205 204 156 
 157 160 205 
 200 206 158 
 159 158 206 
 207 205 160 
 160 159 207 
 206 207 159 
 208 161 209 
 209 161 167 
 162 189 210 
 163 162 211 
 211 162 210 
 164 163 212 
 212 163 211 
 165 164 213 
 213 164 212 
 166 165 214 
 170 166 214 
 214 165 213 
 209 167 215 
 215 167 168 
 215 168 216 
 169 170 216 
 216 168 169 
 170 214 217 
 170 217 216 
 175 218 171 
 171 218 172 
 172 218 173 
 218 219 173 
 173 219 174 
 174 219 220 
 220 184 174 
 221 175 183 
 176 180 222 
 176 222 178 
 223 183 177 
 223 177 179 
 223 179 224 
 224 179 178 
 222 224 178 
 180 181 225 
 180 225 222 
 181 182 226 
 181 226 225 
 182 227 226 
 228 221 183 
 228 183 223 
 220 229 184 
 184 229 185 
 229 230 185 
 185 230 186 
 230 231 186 
 186 231 199 
 232 188 187 
 187 196 232 
 233 193 188 
 232 233 188 
 189 191 234 
 210 189 234 
 192 190 235 
 235 190 195 
 191 192 236 
 234 191 236 
 236 192 235 
 193 233 237 
 194 193 237 
 194 237 238 
 194 238 195 
 235 195 239 
 239 195 238 
 196 197 240 
 196 240 232 
 241 240 197 
 197 198 241 
 198 201 241 
 231 242 199 
 199 242 200 
 242 243 200 
 200 243 206 
 201 202 244 
 201 244 241 
 245 244 202 
 202 203 245 
 204 245 203 
 246 245 204 
 205 246 204 
 247 246 205 
 207 247 205 
 243 248 206 
 248 247 207 
 206 248 207 
 210 234 249 
 250 208 251 
 251 208 209 
 251 209 252 
 252 209 215 
 211 210 253 
 253 210 249 
 212 211 254 
 254 211 253 
 213 212 255 
 255 212 254 
 214 213 256 
 217 214 256 
 256 213 255 
 252 215 257 
 257 215 216 
 257 216 258 
 258 216 217 
 217 256 259 
 217 259 258 
 260 229 220 
 218 261 219 
 219 261 262 
 263 260 220 
 263 220 219 
 219 262 263 
 264 221 228 
 222 225 265 
 222 265 224 
 266 228 223 
 266 223 224 
 266 224 265 
 225 226 267 
 225 267 265 
 226 227 268 
 226 268 267 
 227 269 268 
 270 264 228 
 270 228 266 
 260 271 229 
 229 271 230 
 271 272 230 
 230 272 231 
 271 260 273 
 272 274 231 
 231 274 242 
 275 233 232 
 240 275 232 
 233 275 276 
 237 233 276 
 234 236 277 
 249 234 277 
 236 235 278 
 277 236 278 
 278 235 239 
 237 276 279 
 238 237 279 
 238 279 280 
 238 280 239 
 278 239 280 
 281 275 240 
 241 281 240 
 282 281 241 
 244 282 241 
 274 283 242 
 242 283 243 
 283 284 243 
 243 284 248 
 285 282 244 
 245 285 244 
 286 285 245 
 246 286 245 
 287 286 246 
 247 287 246 
 284 288 248 
 288 287 247 
 248 288 247 
 249 277 289 
 253 249 290 
 290 249 289 
 291 250 292 
 292 250 251 
 292 251 293 
 293 251 252 
 293 252 294 
 294 252 257 
 254 253 295 
 295 253 290 
 255 254 296 
 296 254 295 
 256 255 297 
 259 256 297 
 297 255 296 
 294 257 298 
 298 257 258 
 298 258 259 
 259 297 299 
 259 299 298 
 260 263 300 
 273 260 300 
 261 301 262 
 301 263 262 
 263 301 302 
 300 263 302 
 303 264 270 
 265 267 305 
 305 266 265 
 306 270 266 
 306 266 305 
 267 268 307 
 267 307 305 
 269 304 308 
 268 269 308 
 268 308 307 
 309 303 270 
 309 270 306 
 272 271 310 
 310 271 273 
 274 272 311 
 311 272 310 
 310 273 312 
 273 300 313 
 312 273 313 
 283 274 314 
 314 274 311 
 275 281 315 
 276 275 315 
 276 315 316 
 279 276 316 
 277 278 317 
 289 277 317 
 317 278 280 
 279 316 318 
 280 279 318 
 280 318 317 
 289 317 319 
 281 282 320 
 315 281 320 
 282 285 321 
 320 282 321 
 284 283 322 
 322 283 314 
 288 284 323 
 323 284 322 
 285 286 324 
 321 285 324 
 286 287 325 
 324 286 325 
 287 288 326 
 325 287 326 
 326 288 323 
 290 289 327 
 327 289 319 
 295 290 328 
 328 290 327 
 329 291 330 
 330 291 292 
 330 292 331 
 331 292 293 
 331 293 332 
 332 293 294 
 332 294 333 
 333 294 298 
 296 295 334 
 334 295 328 
 297 296 335 
 299 297 335 
 335 296 334 
 333 298 336 
 336 298 299 
 336 299 337 
 299 335 337 
 300 302 339 
 313 300 339 
 301 338 340 
 302 301 340 
 302 340 341 
 339 302 341 
 342 303 309 
 308 304 343 
 304 344 343 
 345 309 306 
 345 306 305 
 305 307 345 
 308 343 346 
 307 308 346 
 307 346 345 
 347 342 309 
 347 309 345 
 311 310 348 
 348 310 312 
 314 311 349 
 349 311 348 
 312 313 350 
 348 312 351 
 351 312 350 
 313 339 352 
 350 313 352 
 322 314 353 
 353 314 349 
 315 320 355 
 316 315 355 
 316 355 356 
 318 316 356 
 318 356 357 
 357 319 317 
 317 318 357 
 357 358 319 
 327 319 358 
 327 358 354 
 320 321 359 
 355 320 359 
 321 324 360 
 359 321 360 
 323 322 361 
 361 322 353 
 326 323 362 
 362 323 361 
 324 325 363 
 360 324 363 
 325 326 364 
 363 325 364 
 364 326 362 
 328 327 365 
 365 327 354 
 334 328 366 
 366 328 365 
 367 329 368 
 368 329 330 
 368 330 369 
 369 330 331 
 369 331 370 
 370 331 332 
 370 332 371 
 371 332 333 
 371 333 372 
 372 333 336 
 335 334 373 
 335 373 337 
 373 334 366 
 372 336 374 
 374 336 337 
 374 337 373 
 338 375 376 
 340 338 376 
 339 341 377 
 352 339 377 
 340 376 378 
 341 340 378 
 341 378 377 
 379 342 347 
 346 343 380 
 343 344 381 
 343 381 380 
 344 382 381 
 383 347 345 
 383 345 346 
 346 380 383 
 384 379 347 
 384 347 383 
 349 348 385 
 385 348 351 
 353 349 386 
 386 349 385 
 350 352 387 
 351 350 388 
 388 350 387 
 385 351 389 
 389 351 388 
 352 377 390 
 387 352 390 
 390 377 391 
 361 353 392 
 392 353 386 
 358 393 354 
 365 354 393 
 355 359 394 
 356 355 394 
 356 394 395 
 357 356 395 
 357 395 358 
 358 395 396 
 358 396 393 
 359 360 397 
 394 359 397 
 360 363 398 
 397 360 398 
 362 361 399 
 399 361 392 
 364 362 400 
 400 362 399 
 363 364 401 
 398 363 401 
 401 364 400 
 373 366 403 
 366 365 404 
 403 366 404 
 404 365 393 
 393 405 404 
 402 367 406 
 406 367 368 
 406 368 407 
 407 368 369 
 407 369 408 
 408 369 370 
 408 370 409 
 409 370 371 
 409 371 410 
 410 371 372 
 410 372 411 
 411 372 374 
 411 374 412 
 412 374 373 
 373 403 412 
 375 413 414 
 376 375 414 
 376 414 415 
 378 376 415 
 378 415 416 
 378 416 377 
 377 416 391 
 417 379 384 
 380 381 418 
 380 418 383 
 381 382 419 
 381 419 418 
 382 420 419 
 421 384 383 
 418 421 383 
 423 417 384 
 423 384 421 
 386 385 424 
 424 385 389 
 392 386 425 
 425 386 424 
 388 387 426 
 387 390 426 
 389 388 427 
 427 388 426 
 424 389 428 
 428 389 427 
 390 391 429 
 390 429 426 
 416 430 391 
 429 391 430 
 399 392 432 
 432 392 425 
 393 396 433 
 393 433 405 
 394 397 434 
 395 394 434 
 395 434 396 
 396 434 435 
 396 435 433 
 397 398 436 
 434 397 436 
 398 401 437 
 436 398 437 
 400 399 438 
 438 399 432 
 401 400 439 
 437 401 439 
 439 400 438 
 431 402 440 
 440 402 406 
 403 404 441 
 441 412 403 
 405 433 442 
 405 442 443 
 404 405 443 
 404 443 441 
 440 406 444 
 444 406 407 
 444 407 445 
 445 407 408 
 445 408 446 
 446 408 409 
 446 409 447 
 447 409 410 
 447 410 448 
 448 410 411 
 448 411 449 
 449 411 412 
 449 412 441 
 413 450 451 
 414 413 451 
 414 451 452 
 415 414 452 
 415 452 453 
 416 415 453 
 416 453 430 
 454 417 423 
 418 419 455 
 418 455 421 
 420 422 456 
 419 420 456 
 419 456 455 
 457 423 421 
 457 421 455 
 422 458 459 
 456 422 459 
 460 454 423 
 460 423 457 
 425 424 462 
 462 424 428 
 432 425 463 
 463 425 462 
 427 426 464 
 464 426 429 
 428 427 465 
 465 427 464 
 462 428 466 
 466 428 465 
 430 467 429 
 429 467 464 
 467 468 464 
 430 453 469 
 430 469 467 
 461 431 470 
 470 431 440 
 438 432 471 
 471 432 463 
 433 435 472 
 433 472 442 
 434 436 473 
 434 473 435 
 435 473 474 
 472 435 474 
 436 437 475 
 473 436 475 
 437 439 476 
 475 437 476 
 439 438 477 
 476 439 477 
 477 438 471 
 470 440 478 
 478 440 444 
 479 449 441 
 479 441 443 
 442 472 480 
 442 480 481 
 443 442 481 
 443 481 479 
 478 444 482 
 482 444 445 
 482 445 483 
 483 445 446 
 483 446 484 
 484 446 447 
 484 447 485 
 485 447 448 
 485 448 486 
 486 448 449 
 486 449 479 
 450 487 488 
 451 450 488 
 451 488 489 
 452 451 489 
 452 489 490 
 453 452 490 
 453 490 469 
 494 454 460 
 456 459 495 
 455 456 495 
 455 495 457 
 496 460 457 
 496 457 495 
 458 497 498 
 459 458 498 
 459 498 499 
 495 459 499 
 500 494 460 
 500 460 496 
 503 461 504 
 504 461 470 
 463 462 505 
 505 462 466 
 471 463 506 
 506 463 505 
 465 464 507 
 507 464 468 
 505 466 508 
 466 465 508 
 465 507 508 
 467 469 509 
 467 509 468 
 468 509 510 
 468 510 507 
 469 490 511 
 469 511 509 
 504 470 512 
 512 470 478 
 477 471 513 
 513 471 506 
 472 474 514 
 480 472 514 
 473 475 515 
 473 515 474 
 474 515 514 
 475 476 516 
 515 475 516 
 476 477 517 
 516 476 517 
 517 477 513 
 480 514 518 
 512 478 519 
 519 478 482 
 520 486 479 
 481 520 479 
 481 480 521 
 521 480 518 
 481 521 520 
 519 482 522 
 522 482 483 
 522 483 523 
 523 483 484 
 523 484 524 
 524 484 485 
 524 485 525 
 525 485 486 
 525 486 520 
 487 491 526 
 488 487 526 
 488 526 527 
 489 488 527 
 489 527 528 
 490 489 528 
 490 528 511 
 491 492 529 
 526 491 529 
 492 493 530 
 529 492 530 
 493 502 531 
 530 493 531 
 531 502 532 
 533 494 500 
 534 500 496 
 534 496 535 
 495 499 535 
 495 535 496 
 497 501 536 
 498 497 536 
 498 536 537 
 499 498 537 
 499 537 538 
 499 538 535 
 539 533 500 
 539 500 534 
 540 539 534 
 536 501 541 
 501 542 541 
 502 543 532 
 544 503 545 
