1723 
0 1 2 
 3 0 2 
 1 5 6 
 1 6 2 
 4 3 7 
 7 3 2 
 7 2 6 
 4 7 8 
 9 4 8 
 5 10 11 
 6 5 11 
 6 11 12 
 7 6 12 
 13 8 7 
 12 13 7 
 14 9 8 
 13 14 8 
 10 15 16 
 11 10 16 
 11 16 17 
 17 12 11 
 18 13 12 
 17 18 12 
 19 14 13 
 18 19 13 
 15 20 21 
 16 15 21 
 16 21 22 
 22 17 16 
 23 18 17 
 22 23 17 
 24 19 18 
 23 24 18 
 20 25 26 
 21 20 26 
 21 26 27 
 27 22 21 
 28 23 22 
 27 28 22 
 29 24 23 
 28 29 23 
 25 30 31 
 26 25 31 
 26 31 32 
 26 32 27 
 33 28 27 
 33 27 32 
 34 29 28 
 33 34 28 
 30 35 36 
 31 30 36 
 31 36 37 
 32 31 37 
 38 33 32 
 32 37 38 
 39 34 33 
 38 39 33 
 35 42 44 
 36 35 44 
 36 44 45 
 45 38 37 
 37 36 45 
 46 39 38 
 46 38 45 
 39 46 47 
 48 39 47 
 50 40 49 
 40 52 49 
 52 51 49 
 41 54 55 
 56 41 55 
 42 43 58 
 44 42 58 
 43 57 59 
 58 43 59 
 61 45 44 
 44 58 61 
 62 46 45 
 61 62 45 
 46 62 63 
 46 63 47 
 60 48 64 
 64 48 47 
 64 47 63 
 66 50 67 
 67 50 49 
 67 49 51 
 68 67 51 
 51 69 68 
 52 70 51 
 51 70 69 
 53 73 74 
 54 53 75 
 54 75 55 
 75 53 74 
 76 56 55 
 76 55 75 
 77 56 76 
 57 78 85 
 59 57 85 
 58 59 86 
 86 61 58 
 86 59 85 
 84 60 87 
 87 60 64 
 88 62 61 
 86 88 61 
 62 88 89 
 63 62 89 
 87 64 90 
 63 89 90 
 90 64 63 
 91 65 95 
 65 66 96 
 95 65 96 
 96 66 67 
 68 69 97 
 96 67 98 
 98 67 68 
 68 97 99 
 98 68 99 
 69 100 97 
 70 101 69 
 69 101 100 
 71 79 102 
 72 71 103 
 103 71 102 
 73 72 104 
 74 73 104 
 104 72 103 
 74 104 105 
 75 74 106 
 106 74 105 
 107 76 75 
 75 106 107 
 108 77 76 
 108 76 107 
 109 77 108 
 78 93 110 
 85 78 110 
 79 80 111 
 102 79 111 
 80 81 112 
 111 80 112 
 81 82 113 
 112 81 113 
 82 83 114 
 113 82 114 
 83 84 115 
 114 83 115 
 115 84 87 
 85 110 116 
 116 86 85 
 117 88 86 
 116 117 86 
 115 87 118 
 118 87 90 
 88 117 119 
 89 88 119 
 89 119 120 
 89 120 90 
 118 90 121 
 121 90 120 
 92 91 126 
 126 91 95 
 125 92 127 
 127 92 126 
 93 94 128 
 110 93 128 
 94 122 129 
 128 94 129 
 126 95 130 
 95 96 131 
 130 95 131 
 131 96 98 
 97 100 132 
 97 132 133 
 99 97 133 
 131 98 134 
 134 98 99 
 99 133 134 
 100 135 132 
 101 136 100 
 100 136 135 
 102 111 137 
 103 102 138 
 138 102 137 
 104 103 139 
 105 104 139 
 139 103 138 
 105 139 140 
 106 105 141 
 105 140 141 
 141 107 106 
 142 108 107 
 142 107 141 
 143 109 108 
 143 108 142 
 144 109 143 
 145 116 110 
 145 110 128 
 111 112 146 
 137 111 146 
 112 113 147 
 146 112 147 
 113 114 148 
 147 113 148 
 114 115 149 
 148 114 149 
 149 115 118 
 150 117 116 
 145 150 116 
 117 150 151 
 119 117 151 
 149 118 152 
 152 118 121 
 119 151 153 
 120 119 153 
 120 153 154 
 120 154 121 
 152 121 154 
 122 123 155 
 129 122 155 
 123 124 156 
 155 123 156 
 124 125 157 
 156 124 157 
 157 125 127 
 157 127 158 
 126 130 159 
 160 159 130 
 127 126 161 
 161 126 159 
 158 127 161 
 128 129 162 
 162 145 128 
 162 129 155 
 163 160 130 
 130 131 163 
 164 163 131 
 131 134 164 
 132 135 165 
 132 165 166 
 166 133 132 
 166 167 133 
 167 164 134 
 133 167 134 
 135 168 165 
 136 169 135 
 135 169 168 
 137 146 170 
 138 137 171 
 171 137 170 
 139 138 172 
 140 139 172 
 172 138 171 
 140 172 173 
 174 141 140 
 140 173 174 
 175 142 141 
 175 141 174 
 176 143 142 
 176 142 175 
 177 144 143 
 177 143 176 
 178 144 177 
 179 150 145 
 162 179 145 
 146 147 180 
 170 146 180 
 147 148 181 
 180 147 181 
 148 149 182 
 181 148 182 
 182 149 152 
 150 179 183 
 151 150 183 
 151 183 184 
 153 151 184 
 182 152 185 
 185 152 154 
 153 184 186 
 154 153 186 
 154 186 185 
 155 156 187 
 187 162 155 
 188 187 156 
 188 156 157 
 157 158 188 
 163 189 160 
 190 188 158 
 158 161 190 
 189 191 160 
 160 191 159 
 191 161 159 
 191 192 161 
 192 190 161 
 193 179 162 
 187 193 162 
 194 189 163 
 164 194 163 
 195 194 164 
 167 195 164 
 165 168 196 
 196 197 165 
 197 166 165 
 198 195 167 
 197 198 166 
 166 198 167 
 168 199 196 
 169 200 168 
 168 200 199 
 170 180 201 
 171 170 202 
 202 170 201 
 172 171 203 
 173 172 203 
 203 171 202 
 173 203 204 
 205 175 174 
 205 174 173 
 173 204 205 
 206 176 175 
 206 175 205 
 207 177 176 
 207 176 206 
 208 178 177 
 208 177 207 
 209 178 208 
 179 193 210 
 183 179 210 
 180 181 211 
 201 180 211 
 181 182 212 
 211 181 212 
 212 182 185 
 212 185 213 
 183 210 214 
 184 183 214 
 184 214 215 
 186 184 215 
 186 215 216 
 186 216 185 
 213 185 216 
 217 193 187 
 188 217 187 
 194 218 189 
 219 217 188 
 190 219 188 
 218 220 189 
 189 220 191 
 221 219 190 
 192 221 190 
 220 222 191 
 222 221 192 
 191 222 192 
 193 217 223 
 210 193 223 
 224 218 194 
 195 224 194 
 225 196 199 
 226 224 195 
 198 226 195 
 225 227 196 
 196 227 197 
 227 228 197 
 228 226 198 
 197 228 198 
 200 229 199 
 229 225 199 
 201 211 230 
 202 201 231 
 231 201 230 
 203 202 232 
 204 203 232 
 232 202 231 
 204 232 233 
 234 205 204 
 234 204 233 
 235 206 205 
 235 205 234 
 236 207 206 
 236 206 235 
 237 208 207 
 237 207 236 
 238 209 208 
 238 208 237 
 239 209 238 
 210 223 240 
 214 210 240 
 211 212 241 
 230 211 241 
 241 212 213 
 216 242 213 
 241 213 242 
 214 240 243 
 215 214 243 
 215 243 244 
 216 215 244 
 216 244 242 
 217 219 245 
 223 217 245 
 218 224 246 
 220 218 247 
 247 218 246 
 219 221 248 
 245 219 248 
 222 220 249 
 249 220 247 
 221 222 250 
 248 221 250 
 250 222 249 
 223 245 251 
 240 223 251 
 225 229 252 
 224 226 253 
 246 224 253 
 227 225 254 
 254 225 252 
 226 228 255 
 253 226 255 
 228 227 256 
 255 228 256 
 256 227 254 
 229 257 258 
 252 229 258 
 231 230 259 
 230 241 260 
 259 230 260 
 232 231 261 
 232 261 233 
 261 231 259 
 262 234 233 
 262 233 261 
 263 235 234 
 263 234 262 
 264 236 235 
 264 235 263 
 265 237 236 
 265 236 264 
 266 238 237 
 266 237 265 
 267 239 238 
 267 238 266 
 268 239 267 
 240 251 269 
 243 240 269 
 260 241 270 
 242 270 241 
 242 244 271 
 242 271 270 
 243 269 272 
 244 243 272 
 244 272 271 
 246 253 273 
 245 248 274 
 251 245 274 
 247 246 275 
 275 246 273 
 249 247 276 
 276 247 275 
 248 250 277 
 274 248 277 
 250 249 278 
 277 250 278 
 278 249 276 
 251 274 279 
 269 251 279 
 252 258 280 
 254 252 281 
 281 252 280 
 253 255 282 
 273 253 282 
 256 254 283 
 283 254 281 
 255 256 284 
 282 255 284 
 284 256 283 
 273 282 285 
 257 286 287 
 258 257 287 
 258 287 288 
 280 258 288 
 261 259 289 
 259 260 290 
 260 270 290 
 289 259 290 
 291 262 261 
 261 289 291 
 292 263 262 
 292 262 291 
 293 264 263 
 293 263 292 
 294 265 264 
 294 264 293 
 295 266 265 
 295 265 294 
 296 267 266 
 296 266 295 
 297 268 267 
 297 267 296 
 298 268 297 
 269 279 299 
 272 269 299 
 270 300 290 
 270 271 301 
 270 301 300 
 271 272 302 
 271 302 301 
 272 299 303 
 272 303 302 
 302 303 304 
 275 273 305 
 305 273 285 
 274 277 306 
 279 274 306 
 276 275 307 
 307 275 305 
 278 276 308 
 308 276 307 
 277 278 309 
 306 277 309 
 309 278 308 
 279 306 310 
 299 279 310 
 281 280 311 
 280 288 311 
 283 281 312 
 312 281 311 
 282 284 313 
 285 282 313 
 284 283 314 
 313 284 314 
 314 283 312 
 305 285 315 
 285 313 316 
 315 285 316 
 286 317 318 
 287 286 318 
 287 318 319 
 288 287 319 
 288 319 320 
 288 320 311 
 289 290 321 
 321 291 289 
 290 300 322 
 290 322 321 
 323 292 291 
 323 291 321 
 324 293 292 
 324 292 323 
 325 294 293 
 325 293 324 
 326 295 294 
 326 294 325 
 327 296 295 
 327 295 326 
 328 297 296 
 328 296 327 
 329 298 297 
 329 297 328 
 330 298 329 
 299 310 331 
 303 299 331 
 300 301 332 
 300 332 322 
 301 302 333 
 301 333 332 
 333 302 304 
 303 331 334 
 303 334 304 
 333 304 335 
 304 334 335 
 307 305 336 
 336 305 315 
 306 309 337 
 310 306 337 
 308 307 338 
 338 307 336 
 309 308 339 
 337 309 339 
 339 308 338 
 336 315 340 
 310 337 341 
 331 310 341 
 311 320 342 
 314 312 343 
 312 311 343 
 343 311 342 
 313 314 344 
 316 313 344 
 344 314 343 
 315 316 345 
 340 315 345 
 316 344 346 
 345 316 346 
 320 347 342 
 317 348 349 
 318 317 349 
 318 349 350 
 319 318 350 
 319 350 351 
 320 319 351 
 320 351 347 
 352 323 321 
 352 321 322 
 322 332 353 
 322 353 352 
 354 324 323 
 354 323 352 
 355 325 324 
 355 324 354 
 356 326 325 
 356 325 355 
 357 327 326 
 357 326 356 
 358 328 327 
 358 327 357 
 359 329 328 
 359 328 358 
 360 330 329 
 360 329 359 
 361 330 360 
 331 341 362 
 334 331 362 
 332 333 363 
 332 363 353 
 363 333 335 
 334 362 364 
 334 364 335 
 363 335 364 
 340 345 365 
 338 336 366 
 366 336 340 
 337 339 367 
 341 337 367 
 339 338 368 
 367 339 368 
 368 338 366 
 366 340 369 
 369 340 365 
 341 367 370 
 362 341 370 
 343 342 371 
 342 347 371 
 344 343 372 
 346 344 372 
 372 343 371 
 345 346 373 
 365 345 373 
 346 372 374 
 373 346 374 
 347 375 371 
 347 351 376 
 347 376 375 
 348 377 379 
 349 348 379 
 349 379 380 
 350 349 380 
 350 380 381 
 351 350 381 
 351 381 376 
 385 354 352 
 353 385 352 
 353 363 386 
 353 386 385 
 387 355 354 
 387 354 385 
 388 356 355 
 388 355 387 
 389 357 356 
 389 356 388 
 390 358 357 
 390 357 389 
 391 359 358 
 391 358 390 
 392 360 359 
 392 359 391 
 393 361 360 
 393 360 392 
 394 361 393 
 362 370 395 
 364 362 395 
 386 363 396 
 364 396 363 
 364 395 397 
 364 397 396 
 365 373 398 
 369 365 399 
 399 365 398 
 367 368 400 
 368 366 400 
 370 367 400 
 366 369 400 
 400 369 401 
 369 399 401 
 370 400 402 
 395 370 402 
 372 371 403 
 403 371 375 
 374 372 403 
 373 374 404 
 374 403 404 
 398 373 404 
 375 376 405 
 375 405 403 
 376 381 406 
 376 406 405 
 377 378 407 
 379 377 407 
 378 382 408 
 407 378 408 
 379 407 409 
 380 379 409 
 380 409 410 
 381 380 410 
 381 410 406 
 382 383 411 
 408 382 411 
 383 384 412 
 411 383 412 
 412 384 413 
 384 414 413 
 413 414 415 
 416 387 385 
 416 385 386 
 416 386 396 
 417 388 387 
 417 387 416 
 418 389 388 
 418 388 417 
 419 390 389 
 419 389 418 
 420 391 390 
 420 390 419 
 421 392 391 
 421 391 420 
 422 393 392 
 422 392 421 
 423 394 393 
 423 393 422 
 424 394 423 
 395 402 425 
 397 395 425 
 396 397 426 
 426 416 396 
 397 425 427 
 397 427 426 
 398 404 428 
 399 398 429 
 429 398 428 
 401 399 430 
 399 429 430 
 402 400 431 
 431 400 401 
 431 401 430 
 402 431 432 
 425 402 432 
 406 410 433 
 405 434 403 
 403 434 404 
 434 428 404 
 406 433 435 
 405 406 435 
 405 435 434 
 407 408 436 
 409 407 436 
 408 411 437 
 436 408 437 
 409 436 438 
 410 409 438 
 410 438 433 
 433 438 439 
 411 412 440 
 437 411 440 
 412 413 441 
 440 412 441 
 413 415 442 
 441 413 442 
 442 415 443 
 414 444 415 
 415 444 445 
 415 445 443 
 446 417 416 
 446 416 426 
 447 418 417 
 447 417 446 
 448 419 418 
 448 418 447 
 449 420 419 
 449 419 448 
 450 421 420 
 450 420 449 
 451 422 421 
 451 421 450 
 452 423 422 
 452 422 451 
 453 424 423 
 453 423 452 
 454 424 453 
 425 432 455 
 427 425 455 
 456 446 426 
 456 426 427 
 427 455 457 
 457 456 427 
 437 440 458 
 434 459 428 
 428 459 429 
 459 460 429 
 429 460 430 
 432 431 461 
 461 431 430 
 461 430 460 
 432 461 462 
 455 432 462 
 433 439 463 
 435 433 463 
 435 463 464 
 434 435 464 
 434 464 459 
 463 439 465 
 436 437 466 
 438 436 466 
 466 437 458 
 438 466 467 
 438 467 439 
 439 467 465 
 440 441 468 
 458 440 468 
 441 442 469 
 468 441 469 
 442 443 470 
 469 442 470 
 443 445 471 
 443 471 472 
 470 443 472 
 444 473 445 
 445 473 474 
 445 474 471 
 475 447 446 
 475 446 456 
 476 448 447 
 476 447 475 
 477 449 448 
 477 448 476 
 478 450 449 
 478 449 477 
 479 451 450 
 479 450 478 
 480 452 451 
 480 451 479 
 481 453 452 
 481 452 480 
 482 454 453 
 482 453 481 
 483 454 482 
 455 462 484 
 455 484 457 
 485 475 456 
 485 456 457 
 486 485 457 
 486 457 484 
 466 458 487 
 458 468 488 
 487 458 488 
 459 464 489 
 459 489 460 
 460 489 490 
 460 490 461 
 462 461 490 
 490 491 462 
 462 491 484 
 463 465 492 
 464 463 492 
 464 492 489 
 467 493 465 
 492 465 493 
 467 466 494 
 466 487 494 
 467 494 493 
 471 474 495 
 468 469 496 
 488 468 496 
 469 470 497 
 496 469 497 
 497 470 498 
 470 472 499 
 470 499 498 
 471 495 500 
 472 471 500 
 472 500 501 
 499 472 501 
 473 503 474 
 474 503 504 
 474 504 495 
 505 476 475 
 505 475 485 
 506 477 476 
 506 476 505 
 507 478 477 
 507 477 506 
 508 479 478 
 508 478 507 
 509 480 479 
 509 479 508 
 510 481 480 
 510 480 509 
 512 482 481 
 512 481 510 
 511 483 513 
 513 483 482 
 513 482 512 
 491 515 484 
 484 515 486 
 516 505 485 
 516 485 486 
 517 516 486 
 515 517 486 
 494 487 518 
 488 496 519 
 487 488 520 
 487 520 518 
 520 488 519 
 489 492 521 
 489 521 490 
 490 521 491 
 521 522 491 
 491 522 515 
 493 523 492 
 492 523 521 
 493 494 524 
 493 524 523 
 524 494 518 
 495 504 525 
 495 525 500 
 519 496 526 
 496 497 527 
 496 527 526 
 497 498 528 
 527 497 528 
 519 526 529 
 499 501 530 
 528 498 530 
 499 530 498 
