10608 
0 1 2 
 3 0 2 
 1 9 10 
 1 10 2 
 11 3 2 
 11 2 10 
 12 3 11 
 4 13 15 
 5 4 16 
 16 4 15 
 6 5 17 
 17 5 16 
 7 6 18 
 18 6 17 
 8 7 19 
 19 7 18 
 9 8 20 
 10 9 20 
 20 8 19 
 10 20 21 
 22 11 10 
 10 21 22 
 23 12 11 
 23 11 22 
 24 12 23 
 13 14 26 
 15 13 26 
 14 25 27 
 26 14 27 
 15 26 28 
 16 15 29 
 29 15 28 
 17 16 30 
 30 16 29 
 18 17 31 
 31 17 30 
 31 30 32 
 19 18 33 
 33 18 31 
 20 19 34 
 21 20 34 
 34 19 33 
 21 34 35 
 35 22 21 
 36 23 22 
 36 22 35 
 37 24 23 
 37 23 36 
 38 24 37 
 25 39 27 
 39 40 27 
 26 27 40 
 28 26 40 
 40 41 28 
 29 28 42 
 42 28 41 
 30 29 43 
 32 30 43 
 43 29 42 
 32 43 44 
 33 31 45 
 45 31 32 
 45 32 46 
 46 32 44 
 34 33 47 
 34 47 35 
 47 33 45 
 48 36 35 
 48 35 47 
 49 37 36 
 49 36 48 
 50 38 37 
 50 37 49 
 51 38 50 
 39 52 40 
 40 52 53 
 40 53 41 
 41 53 54 
 41 54 42 
 54 55 42 
 43 42 55 
 44 43 55 
 55 56 44 
 46 44 57 
 57 44 56 
 47 45 58 
 58 45 46 
 58 46 59 
 59 46 57 
 60 48 47 
 47 58 60 
 61 49 48 
 61 48 60 
 62 50 49 
 62 49 61 
 63 51 50 
 63 50 62 
 64 51 63 
 52 65 53 
 53 65 66 
 53 66 54 
 54 66 67 
 54 67 55 
 55 67 68 
 55 68 56 
 56 68 69 
 56 69 70 
 56 70 57 
 59 57 70 
 71 60 58 
 58 59 71 
 70 71 59 
 72 61 60 
 72 60 71 
 73 62 61 
 73 61 72 
 74 63 62 
 74 62 73 
 75 64 63 
 75 63 74 
 76 64 75 
 65 77 66 
 66 77 78 
 66 78 67 
 67 78 79 
 67 79 68 
 68 79 80 
 68 80 69 
 69 80 81 
 69 81 82 
 70 69 82 
 83 72 71 
 83 71 70 
 70 82 83 
 84 73 72 
 84 72 83 
