10264 
0 1 2 
 3 0 2 
 1 4 5 
 1 5 2 
 6 3 2 
 6 2 5 
 7 3 6 
 4 8 9 
 5 4 9 
 5 9 10 
 11 6 5 
 5 10 11 
 12 7 6 
 12 6 11 
 13 7 12 
 8 14 15 
 9 8 15 
 9 15 16 
 10 9 16 
 10 16 17 
 17 11 10 
 18 12 11 
 18 11 17 
 19 13 12 
 19 12 18 
 20 13 19 
 14 21 22 
 15 14 22 
 15 22 23 
 16 15 23 
 16 23 24 
 16 24 17 
 25 17 24 
 26 18 17 
 26 17 25 
 27 19 18 
 27 18 26 
 28 20 19 
 28 19 27 
 29 20 28 
 21 31 32 
 22 21 32 
 22 32 33 
 23 22 33 
 23 33 34 
 24 23 34 
 24 34 35 
 24 35 25 
 36 26 25 
 36 25 35 
 37 27 26 
 37 26 36 
 38 28 27 
 38 27 37 
 30 29 39 
 39 29 28 
 39 28 38 
 40 30 39 
 41 30 40 
 31 43 44 
 32 31 44 
 32 44 45 
 33 32 45 
 33 45 46 
 34 33 46 
 34 46 47 
 35 34 47 
 35 47 48 
 49 36 35 
 35 48 49 
 50 37 36 
 50 36 49 
 51 38 37 
 51 37 50 
 40 39 52 
 52 39 38 
 52 38 51 
 53 40 52 
 42 41 54 
 54 41 40 
 54 40 53 
 55 42 54 
 56 42 55 
 43 58 59 
 44 43 59 
 44 59 60 
 45 44 60 
 45 60 61 
 46 45 61 
 46 61 62 
 47 46 62 
 47 62 63 
 48 47 63 
 48 63 64 
 64 49 48 
 65 50 49 
 65 49 64 
 66 51 50 
 66 50 65 
 53 52 67 
 67 52 51 
 67 51 66 
 68 53 67 
 55 54 69 
 69 54 53 
 69 53 68 
 70 55 69 
 57 56 71 
 71 56 55 
 71 55 70 
 72 57 71 
 73 57 72 
 58 75 76 
 59 58 76 
 59 76 77 
 60 59 77 
 60 77 78 
 61 60 78 
 61 78 79 
 62 61 79 
 62 79 80 
 63 62 80 
 63 80 81 
 64 63 81 
 81 82 64 
 83 65 64 
 83 64 82 
 84 66 65 
 84 65 83 
 68 67 85 
 85 67 66 
 85 66 84 
 86 68 85 
 70 69 87 
 87 69 68 
 87 68 86 
 88 70 87 
 72 71 89 
 89 71 70 
 89 70 88 
 90 72 89 
 74 73 91 
 91 73 72 
 91 72 90 
 92 74 91 
 93 74 92 
 75 95 96 
 76 75 96 
 76 96 97 
 77 76 97 
 77 97 98 
 78 77 98 
 78 98 99 
 79 78 99 
 79 99 100 
 80 79 100 
 80 100 101 
 81 80 101 
 81 101 102 
 81 102 82 
 103 83 82 
 103 82 102 
 104 84 83 
 104 83 103 
 86 85 105 
 105 85 84 
 105 84 104 
 106 86 105 
 88 87 107 
 107 87 86 
 107 86 106 
 108 88 107 
 90 89 109 
 109 89 88 
 109 88 108 
 110 90 109 
 92 91 111 
 111 91 90 
 111 90 110 
 112 92 111 
 94 93 113 
 113 93 92 
 113 92 112 
 94 113 114 
 115 94 114 
 95 116 117 
 96 95 117 
 96 117 118 
 97 96 118 
 97 118 119 
 98 97 119 
 98 119 120 
 99 98 120 
 99 120 121 
 100 99 121 
 100 121 122 
 101 100 122 
 101 122 123 
 102 101 123 
 102 123 124 
 125 103 102 
 102 124 125 
 126 104 103 
 126 103 125 
 106 105 127 
 127 105 104 
 127 104 126 
 128 106 127 
 108 107 129 
 129 107 106 
 129 106 128 
 130 108 129 
 110 109 131 
 131 109 108 
 131 108 130 
 110 131 132 
 112 111 133 
 111 110 133 
 132 133 110 
 113 112 134 
 133 134 112 
 135 114 113 
 134 135 113 
 136 115 114 
 135 136 114 
 116 137 138 
 117 116 138 
 117 138 139 
 118 117 139 
 118 139 140 
 119 118 140 
 119 140 141 
 120 119 141 
 120 141 142 
 121 120 142 
 121 142 143 
 122 121 143 
 122 143 144 
 123 122 144 
 123 144 145 
 124 123 145 
 124 145 146 
 147 125 124 
 124 146 147 
 126 125 148 
 148 125 147 
 128 127 149 
 149 127 126 
 149 126 148 
 149 148 150 
 128 149 151 
 130 129 152 
 128 151 152 
 152 129 128 
 131 130 153 
 152 153 130 
 154 132 131 
 153 154 131 
 155 133 132 
 154 155 132 
 156 134 133 
 155 156 133 
 157 135 134 
 156 157 134 
 158 136 135 
 157 158 135 
 137 159 160 
 138 137 160 
 138 160 161 
 139 138 161 
 139 161 162 
 140 139 162 
 140 162 163 
 141 140 163 
 141 163 164 
 142 141 164 
 142 164 165 
 143 142 165 
 143 165 166 
 144 143 166 
 144 166 167 
 145 144 167 
 145 167 168 
 146 145 168 
 146 168 169 
 169 147 146 
 170 150 148 
 170 148 147 
 147 169 170 
 171 151 149 
 170 171 150 
 171 149 150 
 172 152 151 
 171 172 151 
 173 153 152 
 172 173 152 
 174 154 153 
 173 174 153 
 175 155 154 
 174 175 154 
 176 156 155 
 175 176 155 
 177 157 156 
 176 177 156 
 178 158 157 
 177 178 157 
 159 179 180 
 160 159 180 
 160 180 181 
 161 160 181 
 161 181 182 
 162 161 182 
 162 182 183 
 163 162 183 
 163 183 184 
 164 163 184 
 164 184 185 
 165 164 185 
 165 185 186 
 166 165 186 
 166 186 187 
 167 166 187 
 167 187 188 
 168 167 188 
 189 169 168 
 168 188 189 
 190 170 169 
 189 190 169 
 191 171 170 
 190 191 170 
 192 172 171 
 191 192 171 
 193 173 172 
 192 193 172 
 194 174 173 
 193 194 173 
 195 175 174 
 194 195 174 
 196 176 175 
 195 196 175 
 197 177 176 
 196 197 176 
 198 178 177 
 197 198 177 
 179 199 200 
 180 179 200 
 180 200 201 
 181 180 201 
 181 201 202 
 182 181 202 
 182 202 203 
 183 182 203 
 183 203 204 
 184 183 204 
 184 204 205 
 185 184 205 
 185 205 206 
 186 185 206 
 186 206 207 
 187 186 207 
 187 207 208 
 188 187 208 
 188 208 209 
 209 189 188 
 210 190 189 
 209 210 189 
 211 191 190 
 210 211 190 
 212 192 191 
 211 212 191 
 213 193 192 
 212 213 192 
 214 194 193 
 213 214 193 
 215 195 194 
 214 215 194 
 216 196 195 
 215 216 195 
 217 197 196 
 216 217 196 
 218 198 197 
 217 218 197 
 199 219 220 
 200 199 220 
 200 220 221 
 201 200 221 
 201 221 222 
 202 201 222 
 202 222 223 
 203 202 223 
 203 223 224 
 204 203 224 
 204 224 225 
 205 204 225 
 205 225 226 
 206 205 226 
 206 226 227 
 207 206 227 
 207 227 228 
 208 207 228 
 229 209 208 
 208 228 229 
 230 210 209 
 229 230 209 
 231 211 210 
 230 231 210 
 232 212 211 
 231 232 211 
 233 213 212 
 232 233 212 
 234 214 213 
 233 234 213 
 235 215 214 
 234 235 214 
 236 216 215 
 235 236 215 
 237 217 216 
