2341 
0 1 2 
 3 0 2 
 1 5 6 
 1 6 2 
 4 3 7 
 7 3 2 
 7 2 6 
 4 7 8 
 9 4 8 
 5 10 11 
 6 5 11 
 6 11 12 
 7 6 12 
 13 8 7 
 12 13 7 
 14 9 8 
 13 14 8 
 10 15 16 
 11 10 16 
 11 16 17 
 17 12 11 
 18 13 12 
 17 18 12 
 19 14 13 
 18 19 13 
 15 20 21 
 16 15 21 
 16 21 22 
 22 17 16 
 23 18 17 
 22 23 17 
 24 19 18 
 23 24 18 
 20 25 26 
 21 20 26 
 21 26 27 
 27 22 21 
 28 23 22 
 27 28 22 
 29 24 23 
 28 29 23 
 25 30 31 
 26 25 31 
 26 31 32 
 32 27 26 
 33 28 27 
 32 33 27 
 34 29 28 
 33 34 28 
 30 35 36 
 31 30 36 
 31 36 37 
 37 32 31 
 38 33 32 
 37 38 32 
 39 34 33 
 38 39 33 
 35 40 41 
 36 35 41 
 36 41 42 
 42 37 36 
 43 38 37 
 42 43 37 
 45 39 38 
 43 45 38 
 44 39 46 
 39 45 46 
 40 47 48 
 41 40 48 
 41 48 50 
 50 42 41 
 51 43 42 
 50 51 42 
 52 45 43 
 51 52 43 
 49 44 53 
 53 44 46 
 45 52 54 
 45 54 46 
 53 46 54 
 47 55 56 
 48 47 56 
 48 56 57 
 57 50 48 
 58 49 59 
 59 49 53 
 60 51 50 
 57 60 50 
 61 52 51 
 60 61 51 
 52 61 62 
 54 52 62 
 59 53 63 
 63 53 54 
 54 62 64 
 54 64 63 
 55 68 69 
 56 55 69 
 56 69 70 
 70 57 56 
 71 60 57 
 70 71 57 
 65 58 72 
 72 58 59 
 72 59 73 
 73 59 63 
 74 61 60 
 71 74 60 
 61 74 75 
 62 61 75 
 62 75 76 
 64 62 76 
 73 63 77 
 64 76 77 
 77 63 64 
 66 65 78 
 78 65 72 
 67 66 81 
 81 66 78 
 79 67 82 
 82 67 81 
 68 83 84 
 69 68 84 
 69 84 85 
 85 70 69 
 86 71 70 
 85 86 70 
 87 74 71 
 86 87 71 
 78 72 88 
 88 72 73 
 88 73 89 
 89 73 77 
 74 87 90 
 75 74 90 
 75 90 91 
 76 75 91 
 76 91 92 
 76 92 77 
 89 77 93 
 93 77 92 
 81 78 94 
 94 78 88 
 80 79 96 
 96 79 82 
 95 80 97 
 97 80 96 
 82 81 98 
 98 81 94 
 96 82 99 
 99 82 98 
 83 100 101 
 84 83 101 
 84 101 102 
 102 85 84 
 103 86 85 
 102 103 85 
 104 87 86 
 103 104 86 
 87 104 105 
 90 87 105 
 94 88 106 
 106 88 89 
 106 89 107 
 107 89 93 
 90 105 108 
 91 90 108 
 91 108 109 
 92 91 109 
 92 109 110 
 92 110 93 
 107 93 110 
 98 94 111 
 111 94 106 
 112 95 115 
 115 95 97 
 97 96 116 
 116 96 99 
 115 97 117 
 117 97 116 
 99 98 118 
 118 98 111 
 116 99 119 
 119 99 118 
 100 120 121 
 101 100 121 
 101 121 122 
 122 102 101 
 123 103 102 
 122 123 102 
 124 104 103 
 123 124 103 
 104 124 125 
 105 104 125 
 105 125 126 
 108 105 126 
 111 106 127 
 127 106 107 
 127 107 128 
 128 107 110 
 108 126 129 
 109 108 129 
 109 129 130 
 110 109 130 
 110 130 131 
 110 131 128 
 118 111 132 
 132 111 127 
 113 112 134 
 134 112 115 
 114 113 135 
 135 113 134 
 133 114 136 
 136 114 135 
 134 115 137 
 137 115 117 
 117 116 138 
 138 116 119 
 137 117 139 
 139 117 138 
 119 118 140 
 140 118 132 
 138 119 141 
 141 119 140 
 120 142 143 
 121 120 143 
 121 143 144 
 144 122 121 
 145 123 122 
 144 145 122 
 146 124 123 
 145 146 123 
 124 146 147 
 125 124 147 
 125 147 148 
 126 125 148 
 126 148 149 
 129 126 149 
 132 127 150 
 150 127 128 
 150 128 151 
 151 128 131 
 129 149 152 
 130 129 152 
 130 152 153 
 131 130 153 
 131 153 151 
 153 154 151 
 140 132 155 
 155 132 150 
 156 133 158 
 158 133 136 
 135 134 159 
 159 134 137 
 136 135 160 
 160 135 159 
 158 136 161 
 161 136 160 
 159 137 162 
 162 137 139 
 139 138 163 
 163 138 141 
 162 139 164 
 164 139 163 
 141 140 165 
 165 140 155 
 163 141 166 
 166 141 165 
 142 167 168 
 143 142 168 
 143 168 169 
 169 144 143 
 170 145 144 
 169 170 144 
 171 146 145 
 170 171 145 
 146 171 172 
 147 146 172 
 147 172 173 
 148 147 173 
 148 173 174 
 149 148 174 
 149 174 175 
 152 149 175 
 155 150 176 
 176 150 151 
 176 151 154 
 152 175 177 
 153 152 177 
 153 177 178 
 153 178 154 
 154 178 179 
 154 179 176 
 165 155 180 
 180 155 176 
 157 156 183 
 183 156 158 
 181 157 184 
 184 157 183 
 183 158 185 
 185 158 161 
 160 159 186 
 186 159 162 
 161 160 187 
 187 160 186 
 185 161 188 
 188 161 187 
 186 162 189 
 189 162 164 
 164 163 191 
 191 163 166 
 189 164 192 
 192 164 191 
 166 165 193 
 193 165 180 
 191 166 194 
 194 166 193 
 167 190 195 
 168 167 195 
 168 195 196 
 196 169 168 
 197 170 169 
 196 197 169 
 198 171 170 
 197 198 170 
 171 198 199 
 172 171 199 
 172 199 200 
 173 172 200 
 173 200 201 
 174 173 201 
 174 201 202 
 175 174 202 
 175 202 203 
 177 175 203 
 180 176 204 
 204 176 179 
 177 203 205 
 178 177 205 
 178 205 206 
 179 178 206 
 204 179 206 
 193 180 207 
 207 180 204 
 182 181 210 
 210 181 184 
 208 182 211 
 211 182 210 
 184 183 212 
 212 183 185 
 210 184 213 
 213 184 212 
 212 185 214 
 214 185 188 
 187 186 215 
 215 186 189 
 188 187 216 
 216 187 215 
 214 188 217 
 217 188 216 
 215 189 218 
 218 189 192 
 190 219 220 
 195 190 220 
 192 191 221 
 221 191 194 
 218 192 222 
 222 192 221 
 194 193 223 
 223 193 207 
 221 194 224 
 224 194 223 
 195 220 225 
 225 196 195 
 226 197 196 
 225 226 196 
 227 198 197 
 226 227 197 
 198 227 228 
 199 198 228 
 199 228 229 
 200 199 229 
 200 229 230 
 201 200 230 
 201 230 231 
 202 201 231 
 202 231 232 
 203 202 232 
 203 232 233 
 205 203 233 
 207 204 234 
 234 204 206 
 205 233 235 
 206 205 235 
 206 235 236 
 206 236 234 
 223 207 237 
 237 207 234 
 209 208 238 
 238 208 211 
 239 209 238 
 240 209 239 
 211 210 241 
 241 210 213 
 238 211 242 
 242 211 241 
 213 212 243 
 243 212 214 
 241 213 244 
 213 243 244 
 243 214 245 
 245 214 217 
 216 215 246 
 246 215 218 
 217 216 247 
 247 216 246 
 245 217 248 
 248 217 247 
 246 218 249 
 249 218 222 
 219 250 251 
 220 219 251 
 220 251 252 
 252 225 220 
 222 221 253 
 253 221 224 
 249 222 254 
 254 222 253 
 224 223 255 
 255 223 237 
 253 224 256 
 256 224 255 
 257 226 225 
 252 257 225 
 258 227 226 
 257 258 226 
 227 258 259 
 228 227 259 
 228 259 260 
 229 228 260 
 229 260 261 
 230 229 261 
 230 261 262 
 231 230 262 
 231 262 263 
 232 231 263 
 232 263 264 
 233 232 264 
 233 264 265 
 235 233 265 
 237 234 266 
 266 234 236 
 235 265 267 
 236 235 267 
 236 267 266 
 255 237 268 
 268 237 266 
 238 242 269 
 270 239 238 
 269 270 238 
 271 240 239 
 270 271 239 
 242 241 272 
 272 241 244 
 242 272 269 
 243 245 273 
 243 273 244 
 272 244 274 
 274 244 273 
 273 245 275 
 275 245 248 
 275 248 276 
 247 246 277 
 277 246 249 
 248 247 278 
 248 278 276 
 278 247 277 
 277 249 279 
 279 249 254 
 250 280 281 
 251 250 281 
 251 281 282 
 282 252 251 
 283 257 252 
 282 283 252 
 254 253 284 
 284 253 256 
 279 254 285 
 285 254 284 
 284 256 286 
 256 255 287 
 286 256 287 
 287 255 268 
 288 258 257 
 283 288 257 
 258 288 289 
 259 258 289 
 259 289 290 
 260 259 290 
 260 290 291 
 261 260 291 
 261 291 292 
 262 261 292 
 262 292 293 
 263 262 293 
 263 293 294 
 264 263 294 
 264 294 295 
 265 264 295 
 265 295 296 
 267 265 296 
 268 266 297 
 297 266 267 
 267 296 298 
 267 298 297 
 287 268 299 
 299 268 297 
 300 269 272 
 301 270 269 
 301 269 300 
 302 271 270 
 301 302 270 
 303 300 272 
 303 272 274 
 304 303 274 
 304 274 273 
 273 275 304 
 305 304 275 
 305 275 276 
 306 305 276 
 306 276 278 
 278 277 307 
 307 277 279 
 306 278 308 
 278 307 308 
 307 279 309 
 309 279 285 
 280 310 311 
 281 280 311 
 281 311 312 
 312 282 281 
 313 283 282 
 312 313 282 
 314 288 283 
 313 314 283 
 285 284 315 
 315 284 286 
 309 285 316 
 316 285 315 
 315 286 317 
 286 287 318 
 286 318 317 
 318 287 299 
 288 314 319 
 289 288 319 
 289 319 320 
 290 289 320 
 290 320 321 
 291 290 321 
 291 321 322 
 292 291 322 
 292 322 323 
 293 292 323 
 293 323 324 
 294 293 324 
 294 324 325 
 295 294 325 
 295 325 326 
 296 295 326 
 296 326 327 
 298 296 327 
 298 327 328 
 298 328 297 
 299 297 328 
 318 299 329 
 328 329 299 
 330 300 303 
 331 301 300 
 330 331 300 
 332 302 301 
 331 332 301 
 333 330 303 
 333 303 304 
 334 333 304 
 334 304 305 
 335 334 305 
 335 305 306 
 336 335 306 
 336 306 308 
 337 336 308 
 337 308 307 
 307 309 337 
 338 337 309 
 338 309 339 
 309 316 339 
 310 340 341 
 311 310 341 
 311 341 342 
 342 312 311 
 343 313 312 
 342 343 312 
 344 314 313 
 343 344 313 
 314 344 345 
 319 314 345 
 316 315 346 
 346 315 317 
 316 346 339 
 346 317 347 
 347 317 318 
 318 329 348 
 318 348 347 
 348 329 349 
 319 345 350 
 320 319 350 
 320 350 351 
 321 320 351 
 321 351 352 
 322 321 352 
 322 352 353 
 323 322 353 
 323 353 354 
 324 323 354 
 324 354 355 
 325 324 355 
 325 355 356 
 326 325 356 
 326 356 357 
 327 326 357 
 327 357 358 
 328 327 358 
 328 358 359 
 328 359 329 
 329 359 349 
 360 330 333 
 361 331 330 
 360 361 330 
 362 332 331 
 361 362 331 
 363 360 333 
 363 333 334 
 364 363 334 
 364 334 335 
 365 364 335 
 365 335 336 
 366 365 336 
 366 336 337 
 367 366 337 
 367 337 338 
 367 338 368 
 368 338 339 
 369 368 339 
 369 339 346 
 340 370 372 
 341 340 372 
 341 372 373 
 373 342 341 
 374 343 342 
 373 374 342 
 375 344 343 
 374 375 343 
 344 375 376 
 345 344 376 
 345 376 377 
 350 345 377 
 378 369 346 
 378 346 347 
 379 378 347 
 379 347 348 
 379 348 349 
 359 380 349 
 380 379 349 
 350 377 381 
 351 350 381 
 351 381 382 
 352 351 382 
 352 382 383 
 353 352 383 
 353 383 384 
 354 353 384 
 354 384 385 
 355 354 385 
 355 385 386 
 356 355 386 
 356 386 387 
 357 356 387 
 357 387 388 
 358 357 388 
 358 388 389 
 358 389 359 
 359 389 380 
 390 360 363 
 391 361 360 
 390 391 360 
 392 362 361 
 391 392 361 
 393 390 363 
 393 363 364 
 394 393 364 
 394 364 365 
 395 394 365 
 395 365 366 
 396 395 366 
 396 366 367 
 397 396 367 
 397 367 368 
 398 397 368 
 398 368 369 
 399 398 369 
 399 369 378 
 370 371 401 
 372 370 401 
 371 400 402 
 401 371 402 
 372 401 403 
 403 373 372 
 404 374 373 
 403 404 373 
 405 375 374 
 404 405 374 
 375 405 406 
 376 375 406 
 376 406 407 
 377 376 407 
 377 407 408 
 381 377 408 
 409 399 378 
 409 378 379 
 410 409 379 
 410 379 380 
 380 389 411 
 380 411 410 
 381 408 412 
 382 381 412 
 382 412 413 
 383 382 413 
 383 413 414 
 384 383 414 
 384 414 415 
 385 384 415 
 385 415 416 
 386 385 416 
 386 416 417 
 387 386 417 
 387 417 418 
 388 387 418 
 388 418 419 
 389 388 419 
 389 419 411 
 420 390 393 
 421 391 390 
 420 421 390 
 422 392 391 
 421 422 391 
 423 420 393 
 423 393 394 
 424 423 394 
 424 394 395 
 425 424 395 
 425 395 396 
 426 425 396 
 426 396 397 
 427 426 397 
 427 397 398 
 428 427 398 
 428 398 399 
 429 428 399 
 429 399 409 
 400 430 431 
 402 400 431 
 401 402 432 
 432 403 401 
 402 431 433 
 402 433 432 
 434 404 403 
 432 434 403 
 435 405 404 
 434 435 404 
 405 435 436 
 406 405 436 
 406 436 437 
 407 406 437 
 407 437 438 
 408 407 438 
 408 438 439 
 412 408 439 
 440 429 409 
 440 409 410 
 441 440 410 
 441 410 411 
 411 419 442 
 411 442 441 
 412 439 443 
 413 412 443 
 413 443 444 
 414 413 444 
 414 444 445 
 415 414 445 
 415 445 446 
 416 415 446 
 416 446 447 
 417 416 447 
 417 447 448 
 418 417 448 
 418 448 449 
 419 418 449 
 419 449 442 
 450 420 423 
 451 421 420 
 450 451 420 
 452 422 421 
 451 452 421 
 453 450 423 
 453 423 424 
 454 453 424 
 454 424 425 
 455 454 425 
 455 425 426 
 456 455 426 
 456 426 427 
 457 456 427 
 457 427 428 
 458 457 428 
 458 428 429 
 459 458 429 
 459 429 440 
 430 460 461 
 431 430 461 
 431 461 462 
 431 462 433 
 463 434 432 
 462 463 433 
 463 432 433 
 464 435 434 
 463 464 434 
 435 464 465 
 436 435 465 
 436 465 466 
 437 436 466 
 437 466 467 
 438 437 467 
 438 467 468 
 439 438 468 
 439 468 469 
 443 439 469 
 470 459 440 
 470 440 441 
 471 470 441 
 471 441 442 
 442 449 472 
 442 472 471 
 443 469 473 
 444 443 473 
 444 473 474 
 445 444 474 
 445 474 475 
 446 445 475 
 446 475 476 
 447 446 476 
 447 476 477 
 448 447 477 
 448 477 478 
 449 448 478 
 449 478 472 
 480 450 453 
 481 451 450 
 480 481 450 
 482 452 451 
 481 482 451 
 483 480 453 
 483 453 454 
 484 483 454 
 484 454 455 
 485 484 455 
 485 455 456 
 486 485 456 
 486 456 457 
 487 486 457 
 487 457 458 
 488 487 458 
 488 458 459 
 489 488 459 
 489 459 470 
 460 479 490 
 461 460 490 
 461 490 491 
 491 462 461 
 492 463 462 
 491 492 462 
 493 464 463 
 492 493 463 
 464 493 494 
 465 464 494 
 465 494 495 
 466 465 495 
 466 495 496 
 467 466 496 
 467 496 497 
 468 467 497 
 468 497 498 
 469 468 498 
 469 498 499 
 473 469 499 
 500 489 470 
 500 470 471 
 501 500 471 
 501 471 472 
 472 478 502 
 472 502 501 
 473 499 503 
 474 473 503 
 474 503 504 
 475 474 504 
 475 504 505 
 476 475 505 
 476 505 506 
 477 476 506 
 477 506 507 
 478 477 507 
 478 507 502 
 479 508 509 
 490 479 509 
 512 480 483 
 513 481 480 
 512 513 480 
 514 482 481 
 513 514 481 
 515 512 483 
 515 483 484 
 516 515 484 
 516 484 485 
 517 516 485 
 517 485 486 
 518 517 486 
 518 486 487 
 519 518 487 
 519 487 488 
 520 519 488 
 520 488 489 
 521 520 489 
 521 489 500 
 490 509 522 
 522 491 490 
 523 492 491 
 522 523 491 
