3366 
0 1 2 
 3 0 2 
 1 4 5 
 1 5 2 
 6 3 2 
 6 2 5 
 7 3 6 
 4 8 9 
 5 4 9 
 5 9 10 
 5 10 6 
 12 6 10 
 11 7 13 
 13 7 6 
 13 6 12 
 8 14 15 
 9 8 15 
 9 15 16 
 10 9 16 
 12 10 17 
 10 16 17 
 18 11 19 
 19 11 13 
 20 12 17 
 19 13 21 
 21 13 12 
 21 12 20 
 14 22 23 
 15 14 23 
 15 23 24 
 16 15 24 
 16 24 25 
 16 25 17 
 20 17 25 
 26 18 27 
 27 18 19 
 27 19 28 
 28 19 21 
 29 20 25 
 28 21 30 
 30 21 20 
 30 20 29 
 22 31 32 
 23 22 32 
 23 32 33 
 24 23 33 
 24 33 34 
 25 24 34 
 25 34 29 
 34 35 29 
 37 26 38 
 38 26 27 
 38 27 39 
 39 27 28 
 39 28 40 
 40 28 30 
 40 30 41 
 41 30 29 
 41 29 35 
 31 36 42 
 32 31 42 
 32 42 43 
 33 32 43 
 33 43 44 
 34 33 44 
 34 44 45 
 34 45 35 
 35 45 46 
 35 46 41 
 36 47 48 
 42 36 48 
 49 37 50 
 50 37 38 
 50 38 52 
 52 38 39 
 52 39 53 
 53 39 40 
 53 40 54 
 54 40 41 
 54 41 55 
 55 41 46 
 42 48 56 
 43 42 56 
 43 56 57 
 44 43 57 
 44 57 58 
 45 44 58 
 45 58 59 
 46 45 59 
 55 46 59 
 47 60 61 
 48 47 61 
 48 61 62 
 56 48 62 
 51 49 65 
 65 49 50 
 65 50 66 
 66 50 52 
 63 51 67 
 67 51 65 
 66 52 68 
 68 52 53 
 68 53 69 
 69 53 54 
 69 54 70 
 70 54 55 
 70 55 71 
 71 55 59 
 56 62 72 
 57 56 72 
 57 72 73 
 58 57 73 
 58 73 74 
 59 58 74 
 59 74 75 
 59 75 71 
 60 76 77 
 61 60 77 
 61 77 78 
 62 61 78 
 62 78 79 
 72 62 79 
 64 63 82 
 82 63 67 
 81 64 83 
 83 64 82 
 67 65 84 
 84 65 66 
 84 66 85 
 85 66 68 
 82 67 86 
 86 67 84 
 85 68 87 
 87 68 69 
 87 69 88 
 88 69 70 
 88 70 89 
 89 70 71 
 89 71 90 
 90 71 75 
 72 79 91 
 73 72 91 
 73 91 92 
 74 73 92 
 74 92 93 
 75 74 93 
 75 93 94 
 75 94 90 
 76 80 95 
 77 76 95 
 77 95 96 
 78 77 96 
 78 96 97 
 79 78 97 
 79 97 98 
 91 79 98 
 80 99 100 
 95 80 100 
 102 81 104 
 104 81 83 
 83 82 105 
 105 82 86 
 104 83 106 
 106 83 105 
 86 84 107 
 107 84 85 
 107 85 108 
 108 85 87 
 105 86 109 
 109 86 107 
 108 87 110 
 110 87 88 
 110 88 111 
 111 88 89 
 111 89 112 
 112 89 90 
 112 90 94 
 91 98 113 
 92 91 113 
 92 113 114 
 93 92 114 
 93 114 115 
 94 93 115 
 94 115 116 
 94 116 112 
 95 100 117 
 96 95 117 
 96 117 118 
 97 96 118 
 97 118 119 
 98 97 119 
 98 119 120 
 113 98 120 
 99 101 121 
 100 99 121 
 100 121 122 
 117 100 122 
 101 123 124 
 121 101 124 
 103 102 125 
 125 102 104 
 126 103 127 
 127 103 125 
 125 104 129 
 129 104 106 
 106 105 130 
 130 105 109 
 129 106 131 
 131 106 130 
 109 107 132 
 132 107 108 
 132 108 133 
 133 108 110 
 130 109 134 
 134 109 132 
 133 110 135 
 135 110 111 
 135 111 136 
 136 111 112 
 136 112 137 
 137 112 116 
 113 120 138 
 114 113 138 
 114 138 139 
 115 114 139 
 115 139 140 
 116 115 140 
 137 116 141 
 116 140 141 
 117 122 142 
 118 117 142 
 118 142 143 
 119 118 143 
 119 143 144 
 120 119 144 
 120 144 145 
 138 120 145 
 121 124 146 
 122 121 146 
 122 146 147 
 142 122 147 
 123 148 149 
 124 123 149 
 124 149 150 
 146 124 150 
 127 125 153 
 153 125 129 
 128 126 154 
 154 126 127 
 154 127 155 
 155 127 153 
 156 128 157 
 157 128 154 
 153 129 159 
 159 129 131 
 131 130 160 
 160 130 134 
 159 131 161 
 161 131 160 
 134 132 162 
 162 132 133 
 162 133 163 
 163 133 135 
 160 134 164 
 164 134 162 
 163 135 165 
 165 135 136 
 165 136 166 
 166 136 137 
 166 137 167 
 167 137 141 
 138 145 168 
 139 138 168 
 139 168 169 
 140 139 169 
 140 169 170 
 140 170 141 
 167 141 170 
 142 147 171 
 143 142 171 
 143 171 172 
 144 143 172 
 144 172 173 
 145 144 173 
 145 173 174 
 168 145 174 
 146 150 175 
 147 146 175 
 147 175 176 
 171 147 176 
 148 151 177 
 149 148 177 
 149 177 178 
 150 149 178 
 150 178 179 
 175 150 179 
 151 152 180 
 177 151 180 
 152 181 182 
 180 152 182 
 155 153 183 
 183 153 159 
 157 154 184 
 184 154 155 
 184 155 185 
 185 155 183 
 158 156 186 
 186 156 157 
 186 157 187 
 187 157 184 
 188 158 189 
 189 158 186 
 183 159 191 
 191 159 161 
 161 160 192 
 192 160 164 
 191 161 193 
 193 161 192 
 164 162 194 
 194 162 163 
 194 163 195 
 195 163 165 
 192 164 196 
 196 164 194 
 195 165 197 
 197 165 166 
 197 166 198 
 198 166 167 
 198 167 199 
 199 167 170 
 168 174 200 
 169 168 200 
 169 200 201 
 170 169 201 
 170 201 202 
 170 202 199 
 171 176 203 
 172 171 203 
 172 203 204 
 173 172 204 
 173 204 205 
 174 173 205 
 174 205 206 
 200 174 206 
 175 179 207 
 176 175 207 
 176 207 208 
 203 176 208 
 177 180 209 
 178 177 209 
 178 209 210 
 179 178 210 
 179 210 211 
 207 179 211 
 180 182 212 
 209 180 212 
 181 213 214 
 182 181 214 
 182 214 215 
 212 182 215 
 185 183 217 
 217 183 191 
 187 184 218 
 218 184 185 
 218 185 219 
 219 185 217 
 189 186 220 
 220 186 187 
 220 187 221 
 221 187 218 
 190 188 222 
 222 188 189 
 222 189 223 
 223 189 220 
 224 190 225 
 225 190 222 
 217 191 227 
 227 191 193 
 193 192 228 
 228 192 196 
 227 193 229 
 229 193 228 
 196 194 230 
 230 194 195 
 230 195 231 
 231 195 197 
 228 196 232 
 232 196 230 
 231 197 233 
 233 197 198 
 233 198 234 
 234 198 199 
 234 199 202 
 200 206 235 
 201 200 235 
 201 235 236 
 202 201 236 
 202 236 237 
 202 237 234 
 203 208 238 
 204 203 238 
 204 238 239 
 205 204 239 
 205 239 240 
 206 205 240 
 206 240 241 
 235 206 241 
 207 211 242 
 208 207 242 
 208 242 243 
 238 208 243 
 209 212 244 
 210 209 244 
 210 244 245 
 211 210 245 
 211 245 246 
 242 211 246 
