392 7
0 56
3 6 0 
5 7 0 
3 0 7 
16 5 2 
16 7 5 
19 16 2 
19 2 20 
3 7 29 
3 30 6 
3 29 30 
37 7 16 
29 7 41 
37 41 7 
56 41 37 
45 59 46 
45 57 59 
19 61 16 
37 16 61 
56 37 61 
59 62 46 
62 59 63 
69 63 59 
59 57 69 
58 69 57 
58 70 69 
58 41 70 
56 70 41 
19 20 80 
19 80 61 
58 57 96 
96 29 41 
58 96 41 
29 97 30 
97 29 96 
45 116 57 
117 57 116 
96 117 97 
96 57 117 
45 124 116 
45 46 124 
56 61 141 
56 141 70 
80 142 61 
141 61 142 
141 146 70 
63 69 146 
70 146 69 
151 63 146 
63 152 62 
151 152 63 
151 146 237 
141 142 238 
238 237 146 
141 238 146 
151 237 246 
151 246 152 

1 56
8 4 6 
8 6 30 
33 32 4 
8 33 4 
8 30 44 
8 44 33 
30 97 44 
102 33 44 
32 104 34 
33 104 32 
102 104 33 
105 103 34 
105 34 104 
114 102 44 
118 97 117 
118 44 97 
114 44 118 
127 116 124 
117 116 128 
118 117 128 
127 128 116 
118 128 129 
114 118 129 
102 198 104 
114 129 198 
114 198 102 
105 199 103 
105 200 199 
105 104 200 
200 104 198 
127 124 217 
223 198 129 
127 217 225 
127 225 128 
225 226 128 
129 128 226 
223 129 226 
289 200 198 
223 289 198 
200 290 199 
290 200 289 
225 217 303 
223 309 289 
223 226 309 
303 310 225 
226 225 310 
310 309 226 
289 359 290 
289 309 359 
359 309 373 
310 303 374 
376 373 309 
376 310 374 
376 309 310 
376 412 373 
376 374 412 

2 68
1 2 5 
9 5 0 
1 5 9 
10 0 6 
10 9 0 
1 9 14 
10 15 9 
14 9 15 
18 2 1 
1 14 18 
18 20 2 
21 20 18 
22 21 18 
22 18 14 
22 14 23 
14 15 23 
15 25 23 
17 23 25 
26 6 4 
10 6 26 
10 26 15 
15 26 25 
28 26 4 
28 24 25 
28 25 26 
28 4 32 
28 32 24 
24 32 34 
53 25 24 
17 25 53 
55 24 34 
55 54 53 
55 53 24 
22 72 21 
72 22 23 
72 23 73 
73 23 76 
17 76 23 
53 54 77 
17 77 76 
17 53 77 
21 78 20 
82 78 21 
72 82 21 
72 73 82 
82 88 78 
89 88 82 
89 82 73 
89 73 90 
86 90 76 
73 76 90 
89 91 88 
89 90 91 
99 77 54 
99 54 100 
54 103 100 
55 34 103 
55 103 54 
86 76 166 
99 166 77 
77 166 76 
86 166 167 
166 168 167 
99 100 168 
99 168 166 
86 167 177 
90 177 91 
86 177 90 

3 86
65 46 62 
64 46 65 
66 65 62 
67 65 66 
64 124 46 
64 125 124 
131 125 64 
66 62 152 
153 66 152 
131 64 154 
154 64 65 
67 154 65 
154 67 155 
67 156 155 
67 66 156 
66 153 156 
155 215 154 
131 154 215 
131 215 216 
131 216 125 
125 217 124 
219 217 125 
216 219 125 
220 219 216 
153 152 246 
153 246 247 
153 247 156 
252 155 156 
252 156 253 
253 156 247 
215 300 216 
220 216 300 
219 303 217 
219 306 303 
220 306 219 
220 300 307 
220 307 306 
246 326 247 
327 247 326 
253 247 327 
331 253 327 
252 253 333 
331 333 253 
368 307 300 
371 307 368 
306 374 303 
375 374 306 
371 375 307 
307 375 306 
327 326 383 
384 327 383 
331 327 384 
331 386 333 
331 384 386 
333 386 387 
368 388 408 
371 368 408 
371 410 375 
371 408 410 
375 412 374 
410 412 375 
414 408 388 
384 383 419 
421 384 419 
386 384 421 
422 387 386 
422 386 421 
387 423 388 
414 388 423 
422 423 387 
414 432 408 
408 432 410 
410 433 412 
432 433 410 
414 434 432 
414 423 434 
421 419 436 
437 421 436 
422 437 423 
422 421 437 
423 437 434 
432 440 433 
432 434 440 
437 436 441 
434 441 440 
434 437 441 

4 14
251 215 155 
251 155 252 
251 299 215 
300 215 299 
251 252 332 
251 332 299 
333 332 252 
334 299 332 
300 299 368 
334 368 299 
333 387 332 
334 332 387 
334 387 388 
334 388 368 

5 56
81 80 20 
81 20 78 
88 170 78 
81 78 170 
171 142 80 
81 171 80 
81 170 171 
179 88 91 
179 170 88 
180 91 177 
180 179 91 
183 170 179 
142 171 236 
236 238 142 
245 246 237 
238 266 237 
245 237 266 
236 266 238 
236 171 267 
171 170 267 
183 267 170 
268 266 236 
268 236 267 
180 177 274 
180 274 275 
180 275 179 
183 179 275 
277 183 275 
277 267 183 
245 266 325 
245 326 246 
245 325 326 
325 266 346 
268 346 266 
268 347 346 
268 267 347 
277 347 267 
274 351 275 
352 275 351 
277 275 352 
277 352 347 
346 382 325 
325 383 326 
383 325 382 
352 399 347 
382 346 399 
347 399 346 
352 351 400 
352 400 399 
418 382 399 
382 419 383 
418 419 382 
400 428 399 
418 399 428 
418 428 436 
418 436 419 

6 56
194 168 100 
195 100 103 
195 194 100 
195 103 199 
262 177 167 
168 263 167 
262 167 263 
194 263 168 
265 263 194 
262 274 177 
195 199 288 
195 288 194 
265 194 288 
199 290 288 
318 265 288 
262 342 274 
262 263 342 
342 263 344 
265 344 263 
318 344 265 
342 351 274 
358 288 290 
318 288 358 
358 290 359 
318 358 380 
318 380 344 
351 342 396 
396 342 344 
397 396 344 
397 344 380 
396 400 351 
359 373 405 
358 359 405 
358 405 380 
411 405 373 
411 373 412 
380 405 416 
397 380 416 
396 427 400 
397 427 396 
397 416 427 
400 427 428 
411 431 405 
431 416 405 
411 412 433 
411 433 431 
416 431 435 
435 427 416 
439 436 428 
439 428 427 
439 427 435 
431 433 440 
440 435 431 
435 440 441 
439 441 436 
439 435 441 

