1568 7
0 224
3 442 444 
6 443 442 
0 444 443 
442 443 444 
5 445 447 
7 446 445 
0 447 446 
445 446 447 
3 444 448 
0 446 444 
7 448 446 
444 446 448 
16 449 451 
5 450 449 
2 451 450 
449 450 451 
16 452 449 
7 445 452 
5 449 445 
452 445 449 
19 453 454 
16 451 453 
2 454 451 
453 451 454 
19 454 456 
2 455 454 
20 456 455 
454 455 456 
3 448 458 
7 457 448 
29 458 457 
448 457 458 
3 459 442 
30 460 459 
6 442 460 
459 460 442 
3 458 459 
29 461 458 
30 459 461 
458 461 459 
37 462 463 
7 452 462 
16 463 452 
462 452 463 
29 457 465 
7 464 457 
41 465 464 
457 464 465 
37 466 462 
41 464 466 
7 462 464 
466 464 462 
56 467 468 
41 466 467 
37 468 466 
467 466 468 
45 469 471 
59 470 469 
46 471 470 
469 470 471 
45 472 469 
57 473 472 
59 469 473 
472 473 469 
19 474 453 
61 475 474 
16 453 475 
474 475 453 
37 463 476 
16 475 463 
61 476 475 
463 475 476 
56 468 477 
37 476 468 
61 477 476 
468 476 477 
59 478 470 
62 479 478 
46 470 479 
478 479 470 
62 478 481 
59 480 478 
63 481 480 
478 480 481 
69 482 483 
63 480 482 
59 483 480 
482 480 483 
59 473 483 
57 484 473 
69 483 484 
473 484 483 
58 485 486 
69 484 485 
57 486 484 
485 484 486 
58 487 485 
70 488 487 
69 485 488 
487 488 485 
58 489 487 
41 490 489 
70 487 490 
489 490 487 
56 491 467 
70 490 491 
41 467 490 
491 490 467 
19 456 493 
20 492 456 
80 493 492 
456 492 493 
19 493 474 
80 494 493 
61 474 494 
493 494 474 
58 486 496 
57 495 486 
96 496 495 
486 495 496 
96 497 498 
29 465 497 
41 498 465 
497 465 498 
58 496 489 
96 498 496 
41 489 498 
496 498 489 
29 499 461 
97 500 499 
30 461 500 
499 500 461 
97 499 501 
29 497 499 
96 501 497 
499 497 501 
45 502 472 
116 503 502 
57 472 503 
502 503 472 
117 504 505 
57 503 504 
116 505 503 
504 503 505 
96 506 501 
117 507 506 
97 501 507 
506 507 501 
96 495 506 
57 504 495 
117 506 504 
495 504 506 
45 508 502 
124 509 508 
116 502 509 
508 509 502 
45 471 508 
46 510 471 
124 508 510 
471 510 508 
56 477 512 
61 511 477 
141 512 511 
477 511 512 
56 512 491 
141 513 512 
70 491 513 
512 513 491 
80 514 494 
142 515 514 
61 494 515 
514 515 494 
141 511 516 
61 515 511 
142 516 515 
511 515 516 
141 517 513 
146 518 517 
70 513 518 
517 518 513 
63 482 520 
69 519 482 
146 520 519 
482 519 520 
70 518 488 
146 519 518 
69 488 519 
518 519 488 
151 521 522 
63 520 521 
146 522 520 
521 520 522 
