2742 7
0 440
1 11 9 
5 12 4 
0 13 3 
9 14 0 
14 13 0 
11 14 9 
14 17 13 
2 18 1 
18 11 1 
4 28 2 
28 18 2 
12 28 4 
3 37 15 
13 37 3 
13 39 37 
17 39 13 
44 5 6 
44 12 5 
46 44 6 
46 6 50 
28 54 18 
18 58 11 
54 58 18 
11 60 14 
60 17 14 
58 60 11 
12 44 61 
12 62 28 
62 54 28 
61 62 12 
63 54 62 
15 67 40 
67 15 37 
39 17 71 
46 50 74 
60 75 17 
75 71 17 
72 71 75 
54 76 58 
63 76 54 
58 77 60 
77 75 60 
76 77 58 
46 74 98 
46 98 44 
44 98 61 
99 61 98 
37 122 67 
68 67 122 
122 37 39 
124 122 39 
124 39 71 
68 122 125 
124 125 122 
126 71 72 
73 126 72 
124 71 127 
124 127 125 
127 71 126 
40 132 41 
67 132 40 
68 132 67 
133 131 41 
133 41 132 
68 167 132 
68 125 167 
178 76 63 
62 61 179 
62 179 63 
99 179 61 
183 63 179 
183 178 63 
77 184 75 
72 75 184 
184 199 72 
73 72 199 
73 201 126 
73 199 203 
73 203 201 
205 98 74 
208 98 205 
99 98 208 
76 209 77 
209 184 77 
178 209 76 
209 210 184 
199 184 210 
99 208 211 
99 211 179 
211 212 179 
183 179 212 
183 212 213 
183 213 178 
209 178 214 
210 209 214 
213 214 178 
215 210 214 
286 167 125 
286 125 287 
287 125 127 
127 288 287 
126 288 127 
126 201 288 
133 293 131 
133 294 293 
133 132 294 
294 132 167 
167 356 294 
167 286 356 
210 374 199 
203 199 374 
215 374 210 
203 374 204 
215 389 374 
203 396 201 
396 203 204 
204 398 396 
201 399 288 
399 201 396 
396 400 399 
400 396 398 
204 374 407 
389 407 374 
398 204 408 
407 408 204 
410 208 205 
208 410 413 
413 211 208 
410 414 413 
417 214 213 
211 413 421 
421 212 211 
212 421 423 
213 212 423 
423 417 213 
417 423 427 
215 430 389 
215 214 430 
417 430 214 
389 430 431 
427 432 417 
430 417 432 
432 431 430 
414 420 433 
413 414 433 
413 433 421 
421 433 435 
421 435 423 
423 435 427 
288 540 287 
288 399 540 
356 286 541 
286 542 541 
286 287 542 
287 540 542 
294 549 293 
294 356 549 
549 356 552 
356 541 552 
681 431 432 
431 682 389 
407 389 682 
431 681 685 
682 431 685 
408 407 686 
682 686 407 
408 687 398 
552 541 698 
542 540 699 
400 398 704 
398 687 704 
540 706 699 
540 399 706 
399 400 706 
706 400 707 
400 704 707 
699 706 708 
706 707 708 
685 715 682 
686 682 715 
687 408 716 
686 716 408 
681 734 685 
420 738 739 
433 420 739 
433 739 435 
739 738 740 
739 740 741 
435 739 741 
435 741 427 
681 742 734 
741 740 743 
741 743 751 
427 741 751 
751 743 742 
432 427 751 
751 742 681 
751 681 432 
743 828 742 
740 829 743 
743 829 828 
738 830 740 
740 830 829 
541 906 698 
541 542 906 
542 699 906 
698 906 923 
704 687 1038 
685 734 1092 
715 685 1092 
734 1093 1092 
742 828 1096 
742 1096 734 
734 1096 1093 
715 1097 686 
716 686 1097 
1098 1038 687 
716 1098 687 
1098 1099 1038 
1098 716 1100 
1097 1100 716 
1099 1098 1101 
1100 1101 1098 
1092 1102 715 
1097 715 1102 
707 704 1115 
704 1038 1115 
906 1118 923 
906 699 1118 
699 708 1118 
923 1118 1120 
708 707 1129 
707 1115 1129 
1118 1133 1120 
1118 708 1133 
708 1129 1133 
1194 1093 1193 
1093 1194 1092 
1102 1092 1194 
1193 1195 1194 
1096 1275 1093 
1093 1275 1193 
828 1277 1096 
1096 1277 1275 
1275 1278 1193 
829 1284 828 
828 1284 1277 
830 1286 829 
829 1286 1284 
1115 1038 1524 
1038 1099 1524 
1129 1115 1525 
1115 1524 1525 
1099 1101 1526 
1524 1099 1527 
1526 1527 1099 
1133 1129 1534 
1129 1525 1534 
1120 1133 1536 
1133 1534 1536 
1286 1553 1284 
1284 1553 1554 
1284 1554 1277 
1102 1590 1097 
1100 1097 1590 
1591 1194 1195 
1194 1591 1102 
1591 1590 1102 
1101 1100 1592 
1592 1100 1590 
1593 1526 1101 
1593 1101 1592 
1593 1600 1526 
1592 1590 1601 
1593 1602 1600 
1592 1601 1602 
1593 1592 1602 
1602 1601 1603 
1603 1604 1602 
1604 1600 1602 
1653 1652 1527 
1527 1526 1653 
1600 1653 1526 
1653 1600 1654 
1655 1654 1600 
1655 1600 1604 
1655 1604 1656 
1724 1278 1562 
1724 1193 1278 
1722 1724 1562 
1195 1193 1724 
1601 1590 1730 
1591 1730 1590 
1731 1730 1591 
1731 1591 1195 
1733 1724 1722 
1733 1195 1724 
1731 1195 1733 
1735 1603 1601 
1730 1735 1601 
1731 1733 1736 
1735 1730 1736 
1731 1736 1730 
1721 1737 1738 
1721 1738 1722 
1733 1738 1736 
1722 1738 1733 
1737 1740 1738 
1742 1656 1604 
1604 1603 1742 
1743 1657 1656 
1656 1742 1743 
1744 1742 1603 
1735 1744 1603 
1747 1746 1745 
1740 1747 1745 
1740 1745 1749 
1749 1738 1740 
1749 1745 1744 
1749 1744 1735 
1736 1738 1749 
1736 1749 1735 
1746 1741 1750 
1746 1750 1751 
1745 1746 1751 
1751 1750 1743 
1745 1751 1744 
1751 1743 1742 
1744 1751 1742 
1277 1554 1836 
1277 1836 1275 
1275 1836 1278 
1836 1837 1278 
1278 1837 1562 
1554 1838 1836 
1836 1838 1837 
1854 1752 1737 
1721 1854 1737 
1721 1855 1854 
1562 1855 1722 
1721 1722 1855 
1837 1857 1562 
1857 1855 1562 
1857 1858 1855 
1859 1854 1855 
1859 1855 1858 
1859 1858 1860 
1861 1753 1752 
1859 1860 1861 
1752 1854 1861 
1859 1861 1854 
1838 1864 1837 
1837 1864 1857 
1553 1865 1554 
1554 1865 1838 
1865 1866 1838 
1838 1866 1864 
1866 1872 1864 
1536 1534 2117 
2120 1527 1652 
1525 1524 2120 
1524 1527 2120 
2120 1652 2121 
1534 2122 2117 
2122 2120 2121 
1534 1525 2122 
1525 2120 2122 
2117 2122 2124 
2122 2121 2124 
2121 1652 2127 
1872 1871 2168 
1864 1872 2168 
1864 2168 1857 
1858 1857 2168 
2215 1741 1746 
1747 2215 1746 
1752 2216 1737 
2216 1747 1740 
1737 2216 1740 
1753 2217 1752 
1752 2217 2216 
2217 2218 2216 
2218 2215 1747 
2216 2218 1747 
1750 2268 1743 
1743 2268 1657 
1741 2269 1750 
1750 2269 2268 
1657 2273 1656 
1655 1656 2273 
1655 2273 1654 
2275 2127 1652 
1652 1653 2275 
1654 2275 1653 
2275 1654 2277 
2277 1654 2273 
2268 2280 1657 
2269 2282 2268 
2282 2281 2280 
2268 2282 2280 
2283 1657 2280 
1657 2283 2273 
2277 2273 2286 
2286 2273 2283 
1753 1861 2411 
1861 1860 2411 
2411 1860 2412 
2520 2168 1871 
1858 2168 2520 
2520 1860 1858 
2522 2412 1860 
2522 1860 2520 
2520 1871 2552 
2522 2520 2552 
2522 2552 2560 
2522 2560 2412 
2286 2740 2277 
2286 2741 2740 
2286 2283 2741 
2742 2280 2281 
2280 2742 2283 
2742 2741 2283 
2742 2281 2743 
2801 2802 2799 
2740 2799 2802 
2127 2802 2801 
2802 2277 2740 
2127 2275 2802 
2277 2802 2275 
2808 2127 2801 
2124 2121 2808 
2121 2127 2808 
2799 2740 3441 
2740 2741 3441 
3443 2742 2743 
3443 2741 2742 
3441 2741 3444 
3443 3444 2741 
3443 3447 3444 
3443 2743 3447 

1 440
137 134 131 
137 131 293 
296 140 134 
137 296 134 
137 293 299 
137 299 296 
140 313 310 
296 313 140 
313 296 544 
296 299 544 
549 299 293 
553 544 299 
552 554 549 
554 299 549 
