10968 7
0 1760
1 8045 8047 
11 8046 8045 
9 8047 8046 
8045 8046 8047 
5 8048 8050 
12 8049 8048 
4 8050 8049 
8048 8049 8050 
0 8051 8053 
13 8052 8051 
3 8053 8052 
8051 8052 8053 
9 8054 8056 
14 8055 8054 
0 8056 8055 
8054 8055 8056 
14 8057 8055 
13 8051 8057 
0 8055 8051 
8057 8051 8055 
11 8058 8046 
14 8054 8058 
9 8046 8054 
8058 8054 8046 
14 8059 8057 
17 8060 8059 
13 8057 8060 
8059 8060 8057 
2 8061 8063 
18 8062 8061 
1 8063 8062 
8061 8062 8063 
18 8064 8062 
11 8045 8064 
1 8062 8045 
8064 8045 8062 
4 8065 8067 
28 8066 8065 
2 8067 8066 
8065 8066 8067 
28 8068 8066 
18 8061 8068 
2 8066 8061 
8068 8061 8066 
12 8069 8049 
28 8065 8069 
4 8049 8065 
8069 8065 8049 
3 8070 8072 
37 8071 8070 
15 8072 8071 
8070 8071 8072 
13 8073 8052 
37 8070 8073 
3 8052 8070 
8073 8070 8052 
13 8074 8073 
39 8075 8074 
37 8073 8075 
8074 8075 8073 
17 8076 8060 
39 8074 8076 
13 8060 8074 
8076 8074 8060 
44 8077 8079 
5 8078 8077 
6 8079 8078 
8077 8078 8079 
44 8080 8077 
12 8048 8080 
5 8077 8048 
8080 8048 8077 
46 8081 8082 
44 8079 8081 
6 8082 8079 
8081 8079 8082 
46 8082 8084 
6 8083 8082 
50 8084 8083 
8082 8083 8084 
28 8085 8068 
54 8086 8085 
18 8068 8086 
8085 8086 8068 
18 8087 8064 
58 8088 8087 
11 8064 8088 
8087 8088 8064 
54 8089 8086 
58 8087 8089 
18 8086 8087 
8089 8087 8086 
11 8090 8058 
60 8091 8090 
14 8058 8091 
8090 8091 8058 
60 8092 8091 
17 8059 8092 
14 8091 8059 
8092 8059 8091 
58 8093 8088 
60 8090 8093 
11 8088 8090 
8093 8090 8088 
12 8080 8095 
44 8094 8080 
61 8095 8094 
8080 8094 8095 
12 8096 8069 
62 8097 8096 
28 8069 8097 
8096 8097 8069 
62 8098 8097 
54 8085 8098 
28 8097 8085 
8098 8085 8097 
61 8099 8095 
62 8096 8099 
12 8095 8096 
8099 8096 8095 
63 8100 8101 
