1222 
0 1 2 
 3 0 2 
 1 4 5 
 1 5 2 
 6 3 2 
 6 2 5 
 7 3 6 
 4 9 10 
 5 4 10 
 5 10 11 
 12 6 5 
 5 11 12 
 8 7 13 
 13 7 6 
 13 6 12 
 14 8 13 
 15 8 14 
 9 16 17 
 10 9 17 
 10 17 18 
 11 10 18 
 11 18 19 
 12 11 19 
 20 14 13 
 19 20 12 
 13 12 20 
 22 15 14 
 20 22 14 
 21 15 23 
 15 22 23 
 16 24 25 
 17 16 25 
 17 25 26 
 18 17 26 
 27 19 18 
 27 18 26 
 28 20 19 
 28 19 27 
 29 22 20 
 28 29 20 
 30 21 31 
 31 21 23 
 22 29 32 
 22 32 23 
 31 23 32 
 24 35 36 
 25 24 36 
 25 36 37 
 26 25 37 
 38 27 26 
 26 37 38 
 39 28 27 
 38 39 27 
 40 29 28 
 39 40 28 
 29 40 41 
 32 29 41 
 33 30 42 
 42 30 31 
 42 31 43 
 43 31 32 
 32 41 44 
 32 44 43 
 34 33 45 
 45 33 42 
 46 34 45 
 47 34 46 
 35 48 49 
 36 35 49 
 36 49 50 
 37 36 50 
 37 50 51 
 51 38 37 
 52 39 38 
 51 52 38 
 53 40 39 
 52 53 39 
 40 53 54 
 41 40 54 
 41 54 55 
 44 41 55 
 45 42 56 
 56 42 43 
 56 43 57 
 44 55 57 
 57 43 44 
 46 45 58 
 58 45 56 
 59 46 58 
 60 47 46 
 60 46 59 
 61 47 60 
 48 63 64 
 49 48 64 
 49 64 65 
 50 49 65 
 66 51 50 
 66 50 65 
 67 52 51 
 66 67 51 
 68 53 52 
 67 68 52 
 53 68 69 
 54 53 69 
 54 69 70 
 55 54 70 
 55 70 71 
 55 71 57 
 58 56 72 
 72 56 57 
 72 57 73 
 73 57 71 
 59 58 74 
 74 58 72 
 59 74 75 
 76 60 59 
 76 59 75 
 62 61 77 
 77 61 60 
 77 60 76 
 78 62 77 
 79 62 78 
 63 80 81 
 64 63 81 
 64 81 82 
 65 64 82 
 65 82 83 
 83 66 65 
 84 67 66 
 83 84 66 
 85 68 67 
 84 85 67 
 68 85 86 
 69 68 86 
 69 86 87 
 70 69 87 
 70 87 88 
 71 70 88 
 71 88 89 
 71 89 73 
 74 72 90 
 90 72 73 
 90 73 89 
 74 90 91 
 92 75 74 
 91 92 74 
 93 76 75 
 92 93 75 
 94 78 77 
 93 94 76 
 77 76 94 
 95 79 78 
 94 95 78 
 79 95 96 
 97 79 96 
 80 98 99 
 81 80 99 
 81 99 100 
 82 81 100 
 101 83 82 
 101 82 100 
 102 84 83 
 101 102 83 
 103 85 84 
 102 103 84 
 85 103 104 
 86 85 104 
 86 104 105 
 87 86 105 
 87 105 106 
 88 87 106 
 88 106 107 
 89 88 107 
 89 107 108 
 109 91 90 
 90 89 109 
 89 108 109 
 110 92 91 
 109 110 91 
 111 93 92 
 110 111 92 
 112 94 93 
 112 93 111 
 113 95 94 
 112 113 94 
 95 113 114 
 95 114 96 
 115 97 96 
 115 96 114 
 116 97 115 
 98 118 119 
 99 98 119 
 99 119 120 
 100 99 120 
 100 120 121 
 121 101 100 
 122 102 101 
 121 122 101 
 123 103 102 
 122 123 102 
 103 123 124 
 104 103 124 
 104 124 125 
 105 104 125 
 105 125 126 
 106 105 126 
 106 126 127 
 107 106 127 
 107 127 128 
 108 107 128 
 129 109 108 
 128 129 108 
 130 110 109 
 129 130 109 
 131 111 110 
 130 131 110 
 132 112 111 
 131 132 111 
 133 113 112 
 132 133 112 
 113 133 134 
 114 113 134 
 114 134 135 
 136 115 114 
 114 135 136 
 117 116 137 
 137 116 115 
 137 115 136 
 138 117 137 
 139 117 138 
 118 140 141 
 119 118 141 
 119 141 142 
 120 119 142 
 143 121 120 
 143 120 142 
 144 122 121 
 143 144 121 
 145 123 122 
 144 145 122 
 123 145 146 
 124 123 146 
 124 146 147 
 125 124 147 
 125 147 148 
 126 125 148 
 126 148 149 
 127 126 149 
 127 149 150 
 128 127 150 
 151 129 128 
 150 151 128 
 152 130 129 
 151 152 129 
 153 131 130 
 152 153 130 
 154 132 131 
 153 154 131 
 155 133 132 
 154 155 132 
 133 155 156 
 134 133 156 
 134 156 157 
 135 134 157 
 135 157 158 
 136 135 158 
 159 138 137 
 158 159 136 
 137 136 159 
 160 139 138 
 159 160 138 
 140 161 162 
 141 140 162 
 141 162 163 
 142 141 163 
 142 163 164 
 164 143 142 
 165 144 143 
 164 165 143 
 166 145 144 
 165 166 144 
 145 166 167 
 146 145 167 
 146 167 168 
 147 146 168 
 147 168 169 
 148 147 169 
 148 169 170 
 149 148 170 
 149 170 171 
 150 149 171 
 172 151 150 
 171 172 150 
 173 152 151 
 172 173 151 
 174 153 152 
 173 174 152 
 175 154 153 
 174 175 153 
 176 155 154 
 175 176 154 
 155 176 177 
 156 155 177 
 156 177 178 
 157 156 178 
 179 158 157 
 179 157 178 
 180 159 158 
 180 158 179 
 181 160 159 
 180 181 159 
 161 182 183 
 162 161 183 
 162 183 184 
 163 162 184 
 185 164 163 
 185 163 184 
 186 165 164 
 185 186 164 
 187 166 165 
 186 187 165 
 166 187 188 
 167 166 188 
 167 188 189 
 168 167 189 
 168 189 190 
 169 168 190 
 169 190 191 
 170 169 191 
 170 191 192 
 171 170 192 
 193 172 171 
 192 193 171 
 194 173 172 
 193 194 172 
 195 174 173 
 194 195 173 
 196 175 174 
 195 196 174 
 197 176 175 
 196 197 175 
 176 197 198 
 177 176 198 
 177 198 199 
 178 177 199 
 200 179 178 
 178 199 200 
 201 180 179 
 200 201 179 
 202 181 180 
 201 202 180 
 182 203 204 
 183 182 204 
 183 204 205 
 184 183 205 
 184 205 206 
 206 185 184 
 207 186 185 
 206 207 185 
 208 187 186 
 207 208 186 
 187 208 209 
 188 187 209 
 188 209 210 
 189 188 210 
 189 210 211 
 190 189 211 
 190 211 212 
 191 190 212 
 191 212 213 
 192 191 213 
 214 193 192 
 213 214 192 
 215 194 193 
 214 215 193 
 216 195 194 
 215 216 194 
 217 196 195 
 216 217 195 
 218 197 196 
 217 218 196 
 197 218 219 
 198 197 219 
 198 219 220 
 199 198 220 
 199 220 221 
 221 200 199 
 222 201 200 
 221 222 200 
 223 202 201 
 222 223 201 
 203 224 225 
 204 203 225 
 204 225 226 
 205 204 226 
 227 206 205 
 227 205 226 
 228 207 206 
 227 228 206 
 229 208 207 
 228 229 207 
 208 229 230 
 209 208 230 
 209 230 231 
 210 209 231 
 210 231 232 
 211 210 232 
 211 232 233 
 212 211 233 
 212 233 234 
 213 212 234 
 235 214 213 
 234 235 213 
 236 215 214 
 235 236 214 
 237 216 215 
 236 237 215 
