19094 
0 1 2 
 3 0 2 
 1 4 5 
 1 5 2 
 6 3 2 
 6 2 5 
 7 3 6 
 4 8 9 
 5 4 9 
 5 9 11 
 12 6 5 
 5 11 12 
 10 7 13 
 13 7 6 
 13 6 12 
 8 14 15 
 9 8 15 
 9 15 16 
 11 9 16 
 17 10 18 
 18 10 13 
 11 16 19 
 19 12 11 
 18 13 20 
 20 13 12 
 20 12 19 
 14 22 23 
 15 14 23 
 15 23 26 
 16 15 26 
 16 26 27 
 16 27 19 
 21 17 28 
 28 17 18 
 28 18 29 
 29 18 20 
 29 20 30 
 30 20 19 
 30 19 27 
 31 21 33 
 33 21 28 
 22 24 34 
 23 22 34 
 23 34 35 
 26 23 35 
 24 36 37 
 34 24 37 
 39 25 40 
 25 41 40 
 26 35 45 
 27 26 45 
 27 45 46 
 47 30 27 
 27 46 47 
 33 28 48 
 48 28 29 
 48 29 49 
 49 29 30 
 49 30 47 
 32 31 50 
 50 31 33 
 43 32 51 
 51 32 50 
 50 33 52 
 52 33 48 
 34 37 53 
 35 34 53 
 35 53 54 
 45 35 54 
 36 38 56 
 37 36 56 
 37 56 57 
 53 37 57 
 38 55 58 
 56 38 58 
 59 39 61 
 61 39 40 
 41 42 62 
 40 41 62 
 61 40 62 
 42 60 63 
 62 42 63 
 44 43 70 
 70 43 51 
 67 44 71 
 71 44 70 
 45 54 72 
 46 45 72 
 46 72 73 
 73 47 46 
 74 49 47 
 74 47 73 
 52 48 75 
 75 48 49 
 75 49 74 
 51 50 76 
 76 50 52 
 70 51 77 
 77 51 76 
 76 52 78 
 78 52 75 
 53 57 79 
 54 53 79 
 54 79 80 
 72 54 80 
 55 69 81 
 58 55 81 
 56 58 82 
 57 56 82 
 57 82 83 
 79 57 83 
 58 81 84 
 82 58 84 
 89 59 90 
 90 59 61 
 60 64 91 
 63 60 91 
 90 61 92 
 92 61 62 
 62 63 93 
 62 93 92 
 63 91 94 
 93 63 94 
 64 66 95 
 91 64 95 
 65 85 96 
 66 65 97 
 95 66 97 
 97 65 96 
 68 67 99 
 99 67 71 
 100 68 101 
 101 68 99 
 69 103 104 
 81 69 104 
 71 70 106 
 106 70 77 
 99 71 107 
 107 71 106 
 72 80 108 
 72 108 73 
 109 74 73 
 109 73 108 
 78 75 110 
 110 75 74 
 110 74 109 
 77 76 111 
 111 76 78 
 106 77 112 
 112 77 111 
 111 78 113 
 113 78 110 
 79 83 114 
 80 79 114 
 80 114 115 
 108 80 115 
 81 104 116 
 84 81 116 
 82 84 117 
 83 82 117 
 83 117 118 
 114 83 118 
 84 116 119 
 117 84 119 
 85 86 121 
 96 85 121 
 86 87 122 
 121 86 122 
 87 88 123 
 122 87 123 
 88 120 124 
 123 88 124 
 98 89 125 
 125 89 90 
 125 90 126 
 90 92 126 
 91 95 127 
 94 91 127 
 126 92 128 
 93 94 128 
 93 128 92 
 128 94 129 
 94 127 129 
 95 97 130 
 127 95 130 
 96 121 131 
 97 96 132 
 130 97 132 
 132 96 131 
 133 98 134 
 134 98 125 
 101 99 135 
 135 99 107 
 102 100 136 
 136 100 101 
 136 101 137 
 137 101 135 
 138 102 139 
 139 102 136 
 103 105 143 
 104 103 143 
 104 143 144 
 116 104 144 
 105 141 145 
 143 105 145 
 107 106 146 
 146 106 112 
 135 107 147 
 147 107 146 
 108 115 148 
 149 109 108 
 108 148 149 
 113 110 150 
 150 110 109 
 150 109 149 
 112 111 151 
 151 111 113 
 146 112 152 
 152 112 151 
 151 113 153 
 153 113 150 
 114 118 154 
 115 114 154 
 115 154 148 
 116 144 155 
 119 116 155 
 117 119 156 
 118 117 156 
 118 156 157 
 154 118 157 
 119 155 158 
 156 119 158 
 120 159 160 
 124 120 160 
 121 122 161 
 131 121 161 
 122 123 162 
 161 122 162 
 123 124 163 
 162 123 163 
 124 160 164 
 163 124 164 
 134 125 165 
 165 125 126 
 165 126 166 
 166 126 128 
 127 130 167 
 127 167 129 
 166 128 168 
 128 129 168 
 168 129 167 
 130 132 169 
 167 130 169 
 131 161 170 
 132 131 171 
 169 132 171 
 171 131 170 
 172 133 173 
 173 133 134 
 173 134 174 
 174 134 165 
 137 135 175 
 175 135 147 
 139 136 176 
 176 136 137 
 176 137 177 
 177 137 175 
 140 138 178 
 178 138 139 
 178 139 179 
 179 139 176 
 180 140 181 
 181 140 178 
 141 142 184 
 145 141 184 
 142 182 185 
 184 142 185 
 143 145 186 
 144 143 186 
 144 186 187 
 155 144 187 
 145 184 188 
 186 145 188 
 147 146 189 
 189 146 152 
 175 147 190 
 190 147 189 
 148 154 191 
 149 148 192 
 148 191 192 
 189 152 193 
 153 150 194 
 150 149 194 
 194 149 192 
 152 151 195 
 193 152 195 
 195 151 153 
 195 153 194 
 154 157 196 
 154 196 191 
 155 187 197 
 158 155 197 
 156 158 198 
 157 156 198 
 157 198 196 
 158 197 199 
 198 158 199 
 159 200 201 
 160 159 201 
 160 201 202 
 164 160 202 
 161 162 203 
 170 161 203 
 162 163 204 
 203 162 204 
 164 202 205 
 163 164 206 
 204 163 206 
 206 164 205 
 174 165 207 
 207 165 166 
 207 166 208 
 208 166 168 
 167 169 209 
 209 208 168 
 168 167 209 
 169 171 210 
 209 169 210 
 170 203 211 
 171 170 212 
 210 171 212 
 212 170 211 
 210 212 213 
 214 172 215 
 215 172 173 
 215 173 216 
 216 173 174 
 216 174 217 
 217 174 207 
 177 175 218 
 218 175 190 
 179 176 219 
 219 176 177 
 219 177 220 
 220 177 218 
 181 178 221 
 221 178 179 
 221 179 222 
 222 179 219 
 223 180 224 
 224 180 181 
 224 181 225 
 225 181 221 
 182 183 229 
 185 182 229 
 183 226 230 
 229 183 230 
 184 185 231 
 188 184 231 
 185 229 232 
 231 185 232 
 186 188 233 
 187 186 233 
 187 233 234 
 197 187 234 
 188 231 235 
 233 188 235 
 190 189 236 
 236 189 193 
 218 190 237 
 237 190 236 
 191 196 238 
 239 194 192 
 191 238 239 
 239 192 191 
 236 193 240 
 193 195 240 
 195 194 241 
 240 195 241 
 241 194 239 
 196 198 242 
 196 242 238 
 197 234 243 
 199 197 243 
 198 199 244 
 199 243 244 
 198 244 242 
 238 242 245 
 200 246 247 
 201 200 247 
 201 247 248 
 202 201 248 
 202 248 249 
 205 202 249 
 204 206 251 
 203 204 252 
 211 203 252 
 252 204 251 
 211 252 253 
 205 249 254 
 206 205 255 
 251 206 255 
 255 205 254 
 217 207 256 
 256 207 208 
 256 208 257 
 257 208 209 
 209 210 258 
 209 258 257 
 258 210 213 
 212 211 259 
 213 212 259 
 259 211 253 
 258 213 260 
 213 259 260 
 250 214 261 
 261 214 215 
